"session_id","timestamp","messages_sent","messages_received","bytes_in","bytes_out"
"WS01818","2025-05-28T15:01:01","2","4","7151","6315"
"WS01990","2025-08-16T16:08:26","5","5","2310","7232"
"WS01198","2025-06-02T00:22:34","5","1","1013","3632"
"WS01133","2025-07-20T22:27:40","1","3","7763","5103"
"WS00169","2025-08-05T18:43:25","2","3","712","2508"
"WS01494","2025-05-25T05:45:26","6","2","6467","5345"
"WS00180","2025-07-23T21:29:28","6","1","1521","5785"
"WS01764","2025-07-20T17:28:17","5","6","4317","6308"
"WS01624","2025-06-02T18:02:17","5","4","6940","6760"
"WS00247","2025-05-22T21:38:59","3","1","948","4411"
"WS01521","2025-08-13T01:27:01","6","2","1202","7982"
"WS00054","2025-07-06T19:35:51","3","5","1581","723"
"WS01177","2025-06-02T21:59:00","3","1","7381","4983"
"WS00779","2025-06-22T01:13:33","4","1","7451","3074"
"WS01470","2025-06-03T22:19:06","4","4","2443","4304"
"WS00114","2025-08-10T03:47:31","4","5","6522","4779"
"WS01896","2025-06-01T10:02:36","2","3","6871","5077"
"WS00092","2025-07-22T09:36:27","2","2","3571","4498"
"WS00022","2025-08-22T11:20:23","6","1","6421","6809"
"WS00856","2025-06-30T01:09:25","4","2","6006","5237"
"WS00915","2025-07-19T13:08:38","3","1","5245","7608"
"WS00972","2025-05-03T19:44:42","4","3","1094","5612"
"WS01070","2025-08-28T09:14:12","1","6","6615","2130"
"WS01300","2025-07-29T01:47:35","1","5","3023","3948"
"WS00274","2025-07-06T16:48:00","3","1","7173","2396"
"WS00878","2025-06-06T05:42:02","3","1","4798","7121"
"WS00509","2025-08-16T06:11:40","6","1","1596","3274"
"WS01506","2025-07-22T10:54:35","6","1","2636","7346"
"WS01950","2025-05-22T16:16:03","3","2","5367","972"
"WS01500","2025-06-04T14:14:05","4","1","2037","3708"
"WS01872","2025-06-23T21:32:40","3","3","1354","7586"
"WS01272","2025-05-09T02:32:55","3","5","5507","3968"
"WS01239","2025-07-06T08:00:53","5","5","3849","5584"
"WS00893","2025-07-20T22:16:34","5","5","5976","2329"
"WS00176","2025-05-30T08:17:08","4","2","6197","5656"
"WS01254","2025-05-27T00:43:50","3","2","1845","7088"
"WS00804","2025-06-05T07:10:59","1","2","1221","1437"
"WS00749","2025-06-10T15:39:38","6","3","7597","2158"
"WS00817","2025-06-07T23:27:21","2","4","527","1695"
"WS01286","2025-08-02T10:53:35","5","4","2618","2334"
"WS00097","2025-07-09T13:56:57","4","3","2674","1573"
"WS01584","2025-06-17T12:16:29","4","2","6893","4999"
"WS01144","2025-07-17T16:47:02","6","3","4109","7484"
"WS00239","2025-05-13T11:55:41","5","3","6263","976"
"WS01978","2025-08-14T11:35:51","4","3","5285","4065"
"WS01961","2025-06-27T11:58:26","2","6","5909","6658"
"WS01491","2025-06-22T04:38:38","6","6","6463","2095"
"WS01098","2025-07-16T21:45:39","6","6","6630","5640"
"WS00297","2025-07-12T11:56:52","4","6","1248","7564"
"WS01269","2025-05-18T22:07:38","6","3","7758","5176"
"WS01057","2025-07-26T04:59:29","3","2","3497","4899"
"WS01416","2025-08-05T17:03:44","3","1","4664","5548"
"WS00607","2025-07-21T04:46:43","6","2","7241","1510"
"WS01606","2025-08-09T06:27:43","6","1","5724","2662"
"WS00620","2025-05-14T04:32:10","5","2","4302","4770"
"WS00630","2025-08-01T14:36:09","5","3","577","2422"
"WS01573","2025-05-30T10:23:40","2","5","984","7192"
"WS01392","2025-07-04T16:42:30","4","4","6857","4909"
"WS00555","2025-08-21T19:12:16","2","6","7228","5591"
"WS01101","2025-07-07T12:57:32","2","5","4067","3983"
"WS01263","2025-08-13T20:55:25","2","2","4044","7740"
"WS01609","2025-07-31T05:05:30","1","2","6838","2247"
"WS00306","2025-07-16T04:17:33","4","1","4322","5120"
"WS01919","2025-08-11T21:10:22","4","5","4598","2585"
"WS01803","2025-07-18T17:07:45","5","6","7659","2151"
"WS01453","2025-06-18T17:48:28","4","5","535","7016"
"WS00474","2025-07-23T18:48:28","6","1","3651","2030"
"WS01493","2025-07-12T23:17:41","4","5","4134","1937"
"WS00245","2025-07-28T01:47:17","3","3","3862","7171"
"WS01783","2025-07-21T04:00:16","2","3","5631","7263"
"WS01991","2025-08-13T04:28:06","5","5","5195","2102"
"WS00129","2025-07-26T18:52:56","4","1","5784","5566"
"WS00765","2025-07-23T10:30:04","4","5","3669","1311"
"WS00462","2025-08-05T12:56:39","5","2","7688","7103"
"WS01813","2025-05-12T04:29:47","4","4","6000","3425"
"WS00728","2025-06-13T10:20:42","3","6","904","6159"
"WS01989","2025-06-08T09:21:29","4","5","7379","3306"
"WS01307","2025-06-21T18:58:11","5","6","7520","6319"
"WS01680","2025-07-08T22:42:19","4","2","4623","7246"
"WS01140","2025-06-11T05:40:11","5","6","2803","943"
"WS00554","2025-08-05T14:11:29","6","2","5267","6289"
"WS01378","2025-07-07T01:52:11","1","4","5493","2496"
"WS00751","2025-07-27T02:18:46","4","6","3520","6539"
"WS01538","2025-08-18T08:23:38","1","1","2533","3883"
"WS01759","2025-05-25T04:07:22","5","2","1929","2935"
"WS00297","2025-08-04T04:37:06","6","4","2079","6566"
"WS01758","2025-05-20T04:49:37","1","1","3174","7167"
"WS01987","2025-06-05T08:06:33","2","5","4436","6966"
"WS00637","2025-05-11T04:17:07","1","5","5645","6577"
"WS00428","2025-08-03T16:59:49","6","5","2191","5630"
"WS01816","2025-07-12T08:03:01","3","2","1786","2340"
"WS00904","2025-08-07T20:56:28","5","1","997","3998"
"WS01547","2025-08-27T05:41:49","5","6","5749","7948"
"WS00658","2025-06-27T19:22:30","6","6","4323","4620"
"WS01430","2025-05-15T16:33:06","2","3","6445","1232"
"WS00210","2025-08-04T05:37:08","6","5","7580","2726"
"WS01352","2025-06-03T10:59:14","3","1","1895","7912"
"WS00124","2025-05-05T12:52:37","6","4","2428","3443"
"WS00263","2025-05-13T22:58:35","3","4","3838","2149"
"WS00334","2025-08-20T04:42:02","6","1","3341","3343"
"WS01840","2025-08-28T21:40:27","1","4","671","2631"
"WS01445","2025-06-09T23:00:39","6","6","1607","1398"
"WS01988","2025-05-14T00:03:42","1","4","6171","6777"
"WS01452","2025-08-21T20:40:37","5","1","563","2299"
"WS00622","2025-07-14T22:43:39","4","3","5602","7970"
"WS00069","2025-05-04T17:01:32","6","4","3233","7257"
"WS00254","2025-05-11T09:41:38","1","6","7985","6433"
"WS01188","2025-05-01T03:35:30","5","2","5999","5678"
"WS01974","2025-07-18T03:49:24","6","6","6307","2059"
"WS00864","2025-08-15T01:10:39","1","6","7024","2291"
"WS01668","2025-05-19T19:39:09","5","6","2827","1318"
"WS00098","2025-05-24T08:42:25","2","1","2817","6421"
"WS00587","2025-06-16T17:55:02","1","6","1457","3019"
"WS01237","2025-07-07T11:41:24","4","1","7432","5245"
"WS00327","2025-08-16T16:52:16","2","2","4715","1675"
"WS01795","2025-06-30T14:17:39","2","6","7027","4709"
"WS00228","2025-06-05T12:37:28","5","1","6143","4677"
"WS00919","2025-08-11T23:53:21","2","4","1808","4414"
"WS01127","2025-08-17T10:45:37","3","6","7082","7369"
"WS01462","2025-08-01T18:19:04","5","4","7827","2587"
"WS01564","2025-08-01T08:16:44","3","6","4307","1184"
"WS01527","2025-07-30T10:20:14","4","5","3194","2567"
"WS01411","2025-05-16T03:07:27","3","2","3230","571"
"WS00157","2025-07-04T09:07:10","3","2","3340","2605"
"WS01907","2025-06-12T23:56:39","3","5","6959","2245"
"WS01449","2025-08-28T01:20:30","1","6","5706","2104"
"WS00063","2025-07-18T17:47:16","1","2","5557","785"
"WS01963","2025-05-28T22:29:20","6","6","2648","3719"
"WS00315","2025-06-28T18:37:11","2","1","828","7250"
"WS01057","2025-06-18T17:31:25","1","5","2773","5534"
"WS01417","2025-05-04T20:16:23","6","3","1043","3064"
"WS01976","2025-08-21T08:43:28","2","2","5075","4687"
"WS00048","2025-06-17T17:13:17","6","6","6370","1553"
"WS00662","2025-06-07T03:44:08","3","6","7608","1657"
"WS01494","2025-05-19T12:12:47","4","3","2669","5660"
"WS01871","2025-05-21T12:54:05","5","1","7584","6552"
"WS00363","2025-05-29T00:57:49","6","4","7486","6308"
"WS00672","2025-05-17T18:14:23","2","6","3954","3994"
"WS00463","2025-06-15T16:53:16","3","1","7201","1870"
"WS00379","2025-06-17T04:13:56","4","3","4039","2286"
"WS01904","2025-05-10T08:38:51","3","4","5722","5563"
"WS00968","2025-08-03T21:21:53","4","4","5133","685"
"WS01025","2025-06-06T14:53:36","3","2","5636","2038"
"WS01483","2025-07-25T17:16:21","6","4","1993","7229"
"WS01913","2025-08-25T20:37:04","5","6","4836","2603"
"WS01551","2025-07-29T08:54:01","4","4","6771","2557"
"WS00263","2025-06-18T22:01:39","3","4","514","4425"
"WS00974","2025-06-13T04:55:22","3","3","5820","862"
"WS01828","2025-05-12T23:08:00","6","2","7395","7604"
"WS01615","2025-06-24T05:43:39","6","5","7910","1934"
"WS01429","2025-05-16T16:11:07","4","5","3681","2499"
"WS01900","2025-07-11T08:23:29","2","6","2822","1696"
"WS01748","2025-06-17T22:14:50","2","4","5552","6437"
"WS01585","2025-07-04T10:03:46","6","5","1489","3322"
"WS00376","2025-07-03T08:38:17","5","6","1551","3816"
"WS00596","2025-06-30T04:50:33","3","4","5564","3833"
"WS01507","2025-05-03T09:43:04","4","6","2271","6043"
"WS01195","2025-06-19T20:20:11","3","1","7542","2370"
"WS01642","2025-06-11T13:28:19","5","4","5893","1531"
"WS01211","2025-07-31T01:59:21","1","6","3378","3752"
"WS01692","2025-05-30T22:19:35","6","1","7165","1189"
"WS01456","2025-07-18T01:15:48","6","6","4933","7424"
"WS00782","2025-08-13T21:56:40","5","3","4172","4788"
"WS00018","2025-06-10T21:09:29","5","2","6867","3455"
"WS01378","2025-05-03T07:02:40","3","4","1123","1057"
"WS01822","2025-08-16T04:42:48","1","5","5054","2992"
"WS00742","2025-07-27T13:46:27","4","5","2480","1495"
"WS00559","2025-05-04T06:07:27","3","1","3989","653"
"WS00375","2025-06-26T19:19:48","6","2","5793","5409"
"WS00169","2025-08-08T07:08:34","1","3","1549","7179"
"WS01391","2025-05-05T11:29:29","1","4","5601","3210"
"WS00038","2025-05-15T01:45:53","5","3","3137","2320"
"WS01321","2025-08-04T06:10:57","2","6","627","7617"
"WS00363","2025-06-03T23:06:16","6","3","6793","4942"
"WS00891","2025-06-30T19:03:18","6","5","2548","3106"
"WS01962","2025-05-14T05:49:54","3","1","1057","6478"
"WS01597","2025-08-22T12:02:41","6","5","6168","4645"
"WS01302","2025-06-25T12:16:57","4","5","7225","1880"
"WS01294","2025-08-05T04:02:22","4","4","6811","4999"
"WS00297","2025-08-25T12:44:21","1","1","5584","5823"
"WS01378","2025-05-19T21:43:58","2","5","599","5353"
"WS00699","2025-05-16T16:09:01","2","5","7966","4684"
"WS01246","2025-08-12T22:58:23","2","2","6983","1681"
"WS01397","2025-05-26T05:31:26","6","3","3880","1143"
"WS00789","2025-07-07T11:40:16","4","2","7328","6209"
"WS01455","2025-06-05T22:51:35","4","1","5533","1112"
"WS00429","2025-05-24T00:14:29","3","5","1445","2676"
"WS01315","2025-08-25T21:47:53","1","1","1766","3875"
"WS00558","2025-05-11T07:23:09","5","1","6955","7332"
"WS01952","2025-05-04T15:52:39","1","4","7789","1851"
"WS00037","2025-06-08T14:32:51","2","5","1879","3211"
"WS00771","2025-07-12T15:31:18","1","6","7440","592"
"WS00612","2025-05-08T14:41:15","3","6","2835","1397"
"WS01210","2025-07-11T15:39:42","6","4","1937","6591"
"WS00999","2025-06-01T02:33:41","5","4","4173","656"
"WS01588","2025-05-27T01:02:31","5","1","5925","7345"
"WS01196","2025-07-03T07:25:05","3","1","7327","3012"
"WS00824","2025-08-03T03:08:39","3","2","1750","6056"
"WS01977","2025-05-31T14:58:10","6","2","5210","786"
"WS01962","2025-05-23T20:02:14","6","3","6119","2180"
"WS01310","2025-07-26T22:33:15","4","6","3070","1808"
"WS01303","2025-08-24T22:26:51","4","1","3153","2469"
"WS01431","2025-07-04T17:31:54","6","1","1286","657"
"WS01660","2025-06-17T08:46:01","1","2","6167","4577"
"WS00474","2025-07-05T06:48:50","5","6","6987","4931"
"WS00765","2025-08-10T00:53:59","6","2","7965","7586"
"WS00925","2025-07-28T21:53:17","6","5","5438","3218"
"WS00946","2025-07-01T13:43:21","5","3","2430","916"
"WS01635","2025-05-24T05:57:51","4","2","6717","7681"
"WS01354","2025-05-31T16:37:11","3","2","5601","505"
"WS00459","2025-07-26T04:21:55","4","2","3976","6142"
"WS01190","2025-07-10T16:17:51","6","4","7852","4955"
"WS00658","2025-05-14T00:25:36","4","5","7392","2851"
"WS01830","2025-05-22T08:03:38","1","5","2324","3096"
"WS01062","2025-08-25T21:17:33","1","1","3778","5064"
"WS00868","2025-05-19T04:05:23","4","2","3508","6138"
"WS01303","2025-05-31T10:43:17","5","5","4114","5364"
"WS00644","2025-07-01T10:20:20","3","2","6186","2480"
"WS01947","2025-05-21T02:15:50","2","3","6174","3655"
"WS01491","2025-07-03T10:17:26","5","5","4845","3133"
"WS01596","2025-05-10T16:47:35","6","2","3033","3233"
"WS01038","2025-07-07T20:03:12","3","1","593","1815"
"WS01375","2025-07-11T04:04:12","6","5","6426","4014"
"WS01757","2025-05-04T02:34:13","5","1","5067","6631"
"WS00778","2025-07-16T13:03:23","5","4","1877","3631"
"WS01007","2025-08-09T09:29:20","5","6","7867","6712"
"WS00420","2025-05-19T04:50:00","4","5","926","7393"
"WS00589","2025-07-18T02:55:34","2","4","2030","7161"
"WS00457","2025-05-03T16:43:34","6","3","7402","2102"
"WS01566","2025-06-22T00:13:49","5","4","4578","6421"
"WS00916","2025-05-14T21:49:31","3","1","998","5368"
"WS00411","2025-06-18T19:44:31","1","5","3909","1108"
"WS00073","2025-06-23T12:30:25","4","2","7481","1306"
"WS00623","2025-06-03T23:47:30","2","6","7020","7140"
"WS00259","2025-08-01T17:46:17","2","1","5162","1470"
"WS01672","2025-07-30T11:40:49","3","4","1017","1047"
"WS00862","2025-05-03T11:53:08","5","1","5272","6035"
"WS00715","2025-05-20T10:15:51","2","2","4366","6768"
"WS00396","2025-06-02T09:43:20","3","4","2771","7473"
"WS00128","2025-05-27T01:59:13","5","6","791","6689"
"WS01290","2025-05-14T12:24:53","4","2","4053","730"
"WS01625","2025-06-30T03:30:01","4","4","7149","5110"
"WS01137","2025-06-24T22:44:28","5","3","6073","1496"
"WS00959","2025-05-23T04:12:27","6","5","7407","5205"
"WS00392","2025-06-21T00:35:13","3","3","7602","7135"
"WS01541","2025-06-27T15:18:36","5","5","3292","5513"
"WS01358","2025-07-07T18:55:55","2","6","5382","2987"
"WS01474","2025-07-01T02:38:32","3","3","7878","593"
"WS01164","2025-07-25T14:06:47","3","2","7551","4451"
"WS01569","2025-07-30T12:16:36","2","3","6184","1045"
"WS00116","2025-05-12T19:51:02","6","2","1549","2466"
"WS01641","2025-07-17T10:48:26","4","3","7058","5087"
"WS00297","2025-06-21T04:30:09","6","2","4161","5778"
"WS01033","2025-07-02T09:41:44","1","1","7153","1179"
"WS01298","2025-05-21T12:44:42","3","2","1069","6258"
"WS00828","2025-08-15T14:39:28","4","1","3123","6804"
"WS01300","2025-07-26T22:15:53","2","2","1556","2259"
"WS00770","2025-08-26T18:53:48","2","2","4113","5711"
"WS01382","2025-08-05T01:03:38","6","6","2719","2590"
"WS00829","2025-08-19T01:21:17","3","1","7124","7304"
"WS00548","2025-07-09T17:21:09","4","3","6029","6631"
"WS01408","2025-06-29T08:38:07","2","6","5763","4833"
"WS00442","2025-06-16T17:38:43","2","1","787","6113"
"WS01517","2025-08-22T00:36:27","5","4","7320","2296"
"WS01597","2025-08-14T21:33:05","2","3","3562","4535"
"WS00409","2025-05-23T13:25:59","3","1","653","2317"
"WS01063","2025-05-27T02:37:54","5","5","4424","1401"
"WS01613","2025-07-02T01:26:14","5","3","3696","3822"
"WS00514","2025-08-16T12:58:30","5","5","5696","5722"
"WS01618","2025-06-25T03:38:48","5","5","7711","1905"
"WS01639","2025-05-09T10:48:45","5","6","4433","4579"
"WS00010","2025-05-31T22:32:09","6","5","7757","3079"
"WS00115","2025-08-02T15:05:10","6","4","4582","3553"
"WS01286","2025-05-06T13:31:48","1","5","2133","6945"
"WS00154","2025-06-29T08:19:17","4","2","2733","5755"
"WS00051","2025-06-18T05:59:31","2","3","2458","6026"
"WS00620","2025-05-18T03:42:18","2","2","6642","3288"
"WS00486","2025-07-17T01:37:50","5","1","6148","7908"
"WS01691","2025-08-24T22:21:00","4","1","4448","3188"
"WS00062","2025-06-14T04:58:49","6","6","6372","7927"
"WS01659","2025-07-11T07:46:43","6","3","1334","6419"
"WS00949","2025-06-04T20:02:06","3","4","1304","6510"
"WS00580","2025-08-08T07:21:31","2","3","7018","5318"
"WS01896","2025-07-08T13:57:17","2","5","4412","1100"
"WS00182","2025-08-25T12:05:35","1","3","1457","7145"
"WS01041","2025-07-14T01:13:03","1","5","6093","6218"
"WS01269","2025-07-18T13:34:28","1","6","5847","6387"
"WS00060","2025-06-18T20:33:21","3","5","5499","2603"
"WS00470","2025-06-10T01:11:12","1","2","7623","6061"
"WS00730","2025-07-02T10:40:58","2","6","2143","6447"
"WS00309","2025-07-21T03:36:10","4","5","3535","2061"
"WS00804","2025-06-18T05:19:42","2","1","4864","4580"
"WS01442","2025-07-16T18:10:58","2","2","4955","1982"
"WS01607","2025-08-10T05:47:01","5","1","3621","3258"
"WS01079","2025-06-15T19:11:58","1","1","1463","6955"
"WS00164","2025-05-05T12:13:02","6","6","762","5437"
"WS00769","2025-06-08T16:13:12","3","2","1364","4386"
"WS00213","2025-06-20T07:10:03","5","1","1491","5498"
"WS01428","2025-05-22T17:11:07","2","6","1504","1792"
"WS00668","2025-05-14T12:03:54","4","5","6902","1117"
"WS01650","2025-08-05T11:22:33","1","3","2548","5694"
"WS01167","2025-07-07T09:52:50","3","3","1278","667"
"WS00939","2025-06-23T07:36:30","2","4","3267","2486"
"WS00971","2025-07-11T02:16:33","2","1","3389","7577"
"WS01836","2025-08-03T23:59:14","5","6","4177","6749"
"WS00537","2025-05-11T01:18:10","6","5","4512","2083"
"WS01600","2025-05-20T18:05:15","3","3","1388","5773"
"WS01391","2025-05-28T12:10:48","4","6","6682","1680"
"WS00101","2025-07-08T08:47:59","2","2","565","2684"
"WS01330","2025-08-18T05:48:49","2","3","3408","7521"
"WS00997","2025-07-20T13:29:12","2","5","3718","7661"
"WS00299","2025-05-27T06:17:31","5","2","2290","3313"
"WS00591","2025-05-03T16:21:43","1","4","6914","3968"
"WS00122","2025-07-30T20:14:24","6","6","6131","730"
"WS00396","2025-07-20T06:34:35","6","2","2472","2854"
"WS00540","2025-08-23T08:35:37","6","6","5046","4607"
"WS01683","2025-08-15T09:07:45","5","1","6346","4163"
"WS00699","2025-05-12T03:05:19","3","6","2662","6667"
"WS00923","2025-08-11T05:35:50","2","1","3846","1984"
"WS00145","2025-07-07T14:57:49","3","3","1966","1147"
"WS01846","2025-05-24T05:14:56","1","3","1626","5986"
"WS01238","2025-05-11T22:25:51","6","1","1579","6418"
"WS00686","2025-06-09T06:36:35","3","4","5796","6346"
"WS01518","2025-05-11T14:56:52","3","1","673","2261"
"WS01872","2025-08-16T21:45:17","6","4","6400","1151"
"WS01454","2025-06-05T23:47:00","4","4","1343","7397"
"WS01291","2025-06-20T06:14:17","1","1","2152","1962"
"WS00099","2025-06-04T08:51:01","5","4","7259","1339"
"WS00172","2025-07-31T10:35:50","4","2","5324","7027"
"WS01000","2025-05-15T12:07:01","3","1","2461","1457"
"WS00968","2025-06-19T02:02:05","2","1","769","4333"
"WS01079","2025-05-22T07:54:41","4","5","1653","2552"
"WS01228","2025-06-27T10:46:18","5","4","2271","1109"
"WS00337","2025-07-15T06:59:13","4","5","2789","1645"
"WS00354","2025-06-01T11:04:48","1","5","7617","3735"
"WS00307","2025-06-23T05:32:11","6","1","3724","1356"
"WS00015","2025-08-17T22:56:10","2","5","1767","2107"
"WS01102","2025-06-19T20:02:33","3","6","5233","3246"
"WS01518","2025-06-22T05:41:35","5","3","2220","759"
"WS00089","2025-05-19T21:38:27","5","4","6086","5264"
"WS01532","2025-07-20T00:54:58","6","4","2062","5226"
"WS01013","2025-08-15T13:45:00","2","5","3859","6441"
"WS00495","2025-08-08T01:17:34","4","1","967","4628"
"WS00111","2025-05-08T01:32:18","5","5","1445","5200"
"WS01206","2025-07-15T05:43:48","4","1","7964","6911"
"WS01199","2025-08-16T07:33:41","6","1","6550","5104"
"WS01293","2025-05-16T08:09:21","2","5","2998","2501"
"WS00058","2025-07-08T17:36:34","1","6","1391","722"
"WS00405","2025-08-07T19:26:36","5","4","2734","1003"
"WS00250","2025-06-09T07:04:21","2","5","2557","3433"
"WS01964","2025-06-03T11:48:19","1","6","4851","7242"
"WS01103","2025-08-23T20:55:25","2","6","5626","6629"
"WS01716","2025-07-22T21:59:20","6","5","3945","7431"
"WS00582","2025-06-04T22:04:59","5","4","7796","915"
"WS01598","2025-05-07T01:11:02","4","1","3882","4100"
"WS01920","2025-07-21T09:48:29","3","2","6408","7006"
"WS01523","2025-07-08T01:19:36","1","1","6253","4018"
"WS01041","2025-06-04T23:23:11","3","3","6230","4532"
"WS00051","2025-06-06T20:42:53","1","4","3584","2998"
"WS00735","2025-08-05T06:01:39","5","1","3554","1536"
"WS01800","2025-08-21T15:54:59","4","1","2846","6802"
"WS01152","2025-05-12T18:06:47","6","6","3979","7467"
"WS00087","2025-08-02T02:08:54","3","5","5995","1287"
"WS01906","2025-07-27T15:07:28","6","1","4865","4160"
"WS01807","2025-06-29T16:50:54","2","2","3326","5400"
"WS00632","2025-07-26T16:58:37","1","6","3081","5883"
"WS00296","2025-05-30T08:10:25","6","6","4209","5674"
"WS00883","2025-06-30T17:07:13","2","2","6417","4026"
"WS00057","2025-08-16T04:25:55","6","5","5316","5629"
"WS01796","2025-08-08T07:56:19","4","1","7180","6836"
"WS00281","2025-06-13T03:29:18","5","5","1652","817"
"WS01317","2025-08-09T14:26:27","1","4","7610","6702"
"WS00213","2025-06-06T16:17:05","1","1","1840","5411"
"WS01431","2025-07-05T15:07:33","2","2","4583","6405"
"WS01154","2025-05-15T05:15:08","1","4","7774","6070"
"WS01965","2025-08-11T14:17:30","2","5","4795","5995"
"WS01572","2025-07-02T17:38:45","6","3","2857","3086"
"WS00333","2025-05-07T18:55:03","6","5","5001","1895"
"WS01215","2025-08-27T23:33:18","6","3","6043","651"
"WS01438","2025-05-22T08:55:23","4","2","3670","2632"
"WS01446","2025-08-13T04:46:50","1","5","7634","7177"
"WS01862","2025-07-30T18:10:16","5","5","5923","7196"
"WS01977","2025-08-21T17:39:38","1","4","7987","4126"
"WS00254","2025-08-17T09:54:57","3","3","5647","5237"
