"lead_id","region","industry","rfm_score","preferences_json","last_updated_at"
"L0000024","LATAM","Media","0.435","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Web""], ""interests"": [""case_studies""]}","2025-07-07T19:05:16"
"L0000026","MEA","Media","0.752","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Web""], ""interests"": [""security""]}","2025-06-28T09:45:28"
"L0000029","India","SaaS","0.391","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""SMS"", ""Web""], ""interests"": [""security"", ""integration""]}","2025-06-09T14:18:19"
"L0000030","MEA","Manufacturing","0.605","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Ads"", ""Social""], ""interests"": [""security"", ""case_studies""]}","2025-08-02T23:21:09"
"L0000031","US","Media","0.203","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Email"", ""Social""], ""interests"": [""integration"", ""case_studies"", ""pricing""]}","2025-08-15T01:24:28"
"L0000033","APAC","E‑commerce","0.051","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Web""], ""interests"": [""roi"", ""roadmap"", ""pricing""]}","2025-07-25T13:02:20"
"L0000034","LATAM","HealthTech","0.623","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""SMS""], ""interests"": [""security"", ""roadmap"", ""roi""]}","2025-06-18T13:07:29"
"L0000036","MEA","SaaS","0.134","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Social"", ""SMS""], ""interests"": [""roadmap"", ""roi""]}","2025-06-25T16:37:39"
"L0000037","US","FinTech","0.241","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Call"", ""Web""], ""interests"": [""case_studies""]}","2025-08-21T06:07:06"
"L0000038","EU","Media","0.264","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Ads"", ""Web""], ""interests"": [""roi"", ""security"", ""pricing""]}","2025-08-16T01:52:17"
"L0000039","LATAM","HealthTech","0.762","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Social""], ""interests"": [""integration""]}","2025-08-15T05:56:53"
"L0000040","US","SaaS","0.385","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""SMS"", ""Social""], ""interests"": [""security"", ""case_studies"", ""integration""]}","2025-08-17T18:05:16"
"L0000042","India","Retail","0.341","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Email""], ""interests"": [""pricing"", ""security"", ""integration""]}","2025-08-26T02:26:15"
"L0000043","MEA","Media","0.376","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Ads""], ""interests"": [""security""]}","2025-06-06T10:55:43"
"L0000045","MEA","EdTech","0.771","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Social"", ""Email""], ""interests"": [""roadmap"", ""integration""]}","2025-07-04T11:01:11"
"L0000046","LATAM","FinTech","0.231","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Web"", ""Call""], ""interests"": [""security""]}","2025-07-15T05:05:01"
"L0000049","EU","Media","0.215","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Email""], ""interests"": [""case_studies""]}","2025-08-03T19:17:29"
"L0000050","US","EdTech","0.297","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""SMS""], ""interests"": [""security"", ""pricing"", ""roi""]}","2025-07-03T03:18:14"
"L0000051","MEA","E‑commerce","0.938","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Web"", ""Social""], ""interests"": [""integration"", ""security"", ""case_studies""]}","2025-08-19T16:40:37"
"L0000052","MEA","Media","0.453","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""SMS"", ""Call""], ""interests"": [""case_studies"", ""roi""]}","2025-08-12T19:23:49"
"L0000055","US","Retail","0.486","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Email"", ""Social""], ""interests"": [""security"", ""integration"", ""roadmap""]}","2025-08-04T20:25:54"
"L0000056","LATAM","HealthTech","0.452","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Call"", ""SMS""], ""interests"": [""pricing"", ""roadmap"", ""case_studies""]}","2025-07-24T03:15:55"
"L0000058","LATAM","Retail","0.463","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Social"", ""Ads""], ""interests"": [""security"", ""roi"", ""case_studies""]}","2025-08-27T09:28:17"
"L0000061","EU","Retail","0.529","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""SMS"", ""Email""], ""interests"": [""case_studies"", ""roi"", ""roadmap""]}","2025-08-19T02:44:43"
"L0000063","India","SaaS","0.408","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Ads"", ""Web""], ""interests"": [""case_studies"", ""security""]}","2025-08-18T02:55:55"
"L0000064","MEA","E‑commerce","0.863","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Email""], ""interests"": [""pricing"", ""roadmap""]}","2025-08-20T02:11:38"
"L0000065","MEA","E‑commerce","0.849","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Email"", ""SMS""], ""interests"": [""case_studies"", ""roadmap"", ""security""]}","2025-08-06T20:36:51"
"L0000070","APAC","FinTech","0.675","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Call""], ""interests"": [""security""]}","2025-08-23T09:28:37"
"L0000071","MEA","Retail","0.777","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Web""], ""interests"": [""security"", ""integration"", ""pricing""]}","2025-08-12T02:29:19"
"L0000073","APAC","EdTech","0.09","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Web"", ""Email""], ""interests"": [""case_studies"", ""pricing"", ""integration""]}","2025-07-10T07:57:58"
"L0000076","India","E‑commerce","0.606","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Web"", ""Call""], ""interests"": [""security""]}","2025-07-11T20:04:41"
"L0000077","India","FinTech","0.39","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Ads""], ""interests"": [""roadmap""]}","2025-08-16T18:02:21"
"L0000080","EU","SaaS","0.634","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""SMS"", ""Email""], ""interests"": [""roadmap""]}","2025-07-04T19:11:40"
"L0000081","LATAM","Media","0.996","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Ads""], ""interests"": [""roadmap""]}","2025-08-06T12:16:38"
"L0000083","India","FinTech","0.914","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Email""], ""interests"": [""roadmap"", ""integration"", ""security""]}","2025-07-31T07:05:47"
"L0000084","EU","Retail","0.224","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Ads"", ""Web""], ""interests"": [""pricing"", ""security""]}","2025-07-25T03:32:44"
"L0000085","India","Media","0.969","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Web""], ""interests"": [""security"", ""roadmap""]}","2025-08-17T14:05:04"
"L0000086","India","SaaS","0.739","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Ads""], ""interests"": [""roi"", ""security""]}","2025-08-20T04:52:54"
"L0000087","MEA","FinTech","0.168","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Ads"", ""Social""], ""interests"": [""pricing"", ""roadmap""]}","2025-06-15T01:31:43"
"L0000089","LATAM","FinTech","0.506","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Email""], ""interests"": [""roi"", ""integration""]}","2025-08-23T07:06:57"
"L0000091","MEA","Manufacturing","0.262","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Social"", ""Web""], ""interests"": [""roi"", ""pricing""]}","2025-08-23T03:09:19"
"L0000092","India","Retail","0.89","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Call"", ""Email""], ""interests"": [""roi"", ""integration""]}","2025-08-24T08:45:54"
"L0000095","India","E‑commerce","0.16","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Web""], ""interests"": [""roi""]}","2025-08-28T16:34:49"
"L0000097","APAC","HealthTech","0.942","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Web""], ""interests"": [""security"", ""integration"", ""roi""]}","2025-08-18T22:15:19"
"L0000098","EU","EdTech","0.526","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Email""], ""interests"": [""security""]}","2025-06-27T20:31:29"
"L0000101","APAC","SaaS","0.513","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Web"", ""Email""], ""interests"": [""integration"", ""pricing"", ""roadmap""]}","2025-07-13T22:19:08"
"L0000102","LATAM","E‑commerce","0.489","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Email"", ""Ads""], ""interests"": [""roi"", ""pricing"", ""case_studies""]}","2025-07-15T08:45:07"
"L0000103","MEA","Retail","0.524","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Web"", ""Ads""], ""interests"": [""case_studies"", ""roi""]}","2025-06-29T14:28:21"
"L0000104","LATAM","HealthTech","0.693","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Email"", ""Web""], ""interests"": [""roadmap""]}","2025-08-19T21:21:33"
"L0000105","EU","Manufacturing","0.85","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""SMS""], ""interests"": [""case_studies"", ""pricing"", ""security""]}","2025-08-25T20:30:02"
"L0000106","India","SaaS","0.084","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Ads"", ""Call""], ""interests"": [""roadmap""]}","2025-06-20T13:35:14"
"L0000107","APAC","HealthTech","0.093","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Email""], ""interests"": [""security""]}","2025-05-20T00:10:23"
"L0000109","LATAM","SaaS","0.998","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Call""], ""interests"": [""roi"", ""security"", ""integration""]}","2025-07-20T07:35:04"
"L0000111","MEA","HealthTech","0.625","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Ads"", ""Web""], ""interests"": [""roi""]}","2025-08-01T19:36:35"
"L0000113","MEA","Manufacturing","0.51","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Social"", ""SMS""], ""interests"": [""pricing""]}","2025-07-14T20:00:55"
"L0000118","LATAM","Retail","0.022","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Call""], ""interests"": [""roadmap""]}","2025-07-20T19:15:15"
"L0000119","APAC","HealthTech","0.381","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""SMS"", ""Web""], ""interests"": [""roi"", ""integration""]}","2025-08-13T18:13:35"
"L0000120","LATAM","FinTech","0.491","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Call"", ""Ads""], ""interests"": [""case_studies""]}","2025-08-12T21:59:30"
"L0000121","MEA","Media","0.91","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""SMS""], ""interests"": [""pricing"", ""roadmap""]}","2025-08-28T21:48:32"
"L0000123","APAC","Manufacturing","0.156","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Social"", ""Email""], ""interests"": [""security"", ""roi"", ""roadmap""]}","2025-08-17T12:52:06"
"L0000124","EU","EdTech","0.258","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Email"", ""Ads""], ""interests"": [""roi""]}","2025-08-15T18:24:45"
"L0000126","US","Manufacturing","0.407","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Email"", ""Web""], ""interests"": [""integration"", ""roadmap""]}","2025-08-11T22:24:51"
"L0000127","APAC","Retail","0.871","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""SMS"", ""Social""], ""interests"": [""integration""]}","2025-08-27T13:26:11"
"L0000128","EU","EdTech","0.78","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Call"", ""SMS""], ""interests"": [""roi"", ""pricing"", ""roadmap""]}","2025-08-16T07:44:14"
"L0000129","US","SaaS","0.776","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Web"", ""Social""], ""interests"": [""integration"", ""case_studies""]}","2025-08-24T14:27:26"
"L0000130","MEA","FinTech","0.273","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""SMS""], ""interests"": [""roi"", ""roadmap""]}","2025-08-27T00:09:57"
"L0000132","LATAM","E‑commerce","0.765","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""SMS"", ""Email""], ""interests"": [""roi""]}","2025-06-21T14:51:05"
"L0000133","EU","Retail","0.423","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""SMS""], ""interests"": [""case_studies"", ""security""]}","2025-07-05T13:32:09"
"L0000134","APAC","Media","0.19","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Call""], ""interests"": [""roi""]}","2025-08-09T22:16:30"
"L0000135","US","EdTech","0.865","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Social"", ""Ads""], ""interests"": [""integration"", ""security"", ""roi""]}","2025-07-12T17:40:17"
"L0000136","India","Media","0.66","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Social"", ""Ads""], ""interests"": [""security""]}","2025-08-27T23:03:18"
"L0000141","APAC","Retail","0.659","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Ads""], ""interests"": [""case_studies"", ""security"", ""pricing""]}","2025-07-27T18:47:32"
"L0000142","India","SaaS","0.169","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Call""], ""interests"": [""integration"", ""roadmap""]}","2025-08-27T10:29:35"
"L0000145","APAC","SaaS","0.65","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Email"", ""Ads""], ""interests"": [""security"", ""roadmap""]}","2025-07-28T22:01:30"
"L0000146","India","EdTech","0.788","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Web"", ""Ads""], ""interests"": [""security""]}","2025-08-26T22:14:09"
"L0000147","MEA","HealthTech","0.565","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""SMS"", ""Ads""], ""interests"": [""pricing""]}","2025-08-17T20:57:28"
"L0000148","LATAM","SaaS","0.933","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Email"", ""Web""], ""interests"": [""security"", ""integration"", ""case_studies""]}","2025-08-04T09:09:01"
"L0000149","APAC","Manufacturing","0.621","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""SMS""], ""interests"": [""roi"", ""pricing""]}","2025-07-26T01:46:02"
"L0000151","US","SaaS","0.009","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Call""], ""interests"": [""pricing"", ""case_studies"", ""integration""]}","2025-05-22T12:45:10"
"L0000152","US","EdTech","0.693","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""SMS""], ""interests"": [""integration""]}","2025-07-16T20:40:23"
"L0000153","APAC","EdTech","0.057","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Ads"", ""Email""], ""interests"": [""security""]}","2025-08-25T20:31:30"
"L0000154","LATAM","Manufacturing","0.718","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Social""], ""interests"": [""integration""]}","2025-08-16T11:54:55"
"L0000156","LATAM","E‑commerce","0.326","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Email""], ""interests"": [""security"", ""pricing"", ""roadmap""]}","2025-08-23T14:33:18"
"L0000157","India","Manufacturing","0.514","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Email"", ""Call""], ""interests"": [""roadmap"", ""roi""]}","2025-07-20T14:34:48"
"L0000161","EU","EdTech","0.176","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Call"", ""SMS""], ""interests"": [""security""]}","2025-08-22T02:04:37"
"L0000162","EU","E‑commerce","0.216","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Email""], ""interests"": [""integration"", ""pricing"", ""security""]}","2025-08-21T08:07:52"
"L0000164","India","FinTech","0.229","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Ads""], ""interests"": [""roadmap"", ""integration""]}","2025-08-10T00:12:38"
"L0000165","LATAM","SaaS","0.12","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Web"", ""SMS""], ""interests"": [""roadmap""]}","2025-08-08T09:59:06"
"L0000166","India","Manufacturing","0.234","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Call""], ""interests"": [""pricing"", ""security""]}","2025-07-23T02:08:02"
"L0000167","APAC","Manufacturing","0.432","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""SMS"", ""Web""], ""interests"": [""roi"", ""security""]}","2025-07-14T09:00:08"
"L0000172","LATAM","EdTech","0.022","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Web"", ""SMS""], ""interests"": [""pricing""]}","2025-08-06T05:39:54"
"L0000174","India","HealthTech","0.741","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Social""], ""interests"": [""integration"", ""roadmap""]}","2025-07-15T03:51:39"
"L0000176","US","FinTech","0.823","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Call"", ""Web""], ""interests"": [""pricing"", ""integration""]}","2025-08-18T03:48:19"
"L0000177","India","HealthTech","0.551","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""SMS""], ""interests"": [""roi"", ""integration"", ""pricing""]}","2025-08-02T10:00:07"
"L0000179","APAC","Media","0.126","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Ads""], ""interests"": [""pricing"", ""roadmap"", ""case_studies""]}","2025-06-12T14:18:23"
"L0000181","MEA","Retail","0.838","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Ads"", ""SMS""], ""interests"": [""roi"", ""case_studies""]}","2025-07-16T11:02:41"
"L0000182","LATAM","SaaS","0.311","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Social"", ""Web""], ""interests"": [""roadmap""]}","2025-08-21T08:05:30"
"L0000186","EU","E‑commerce","0.182","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Call""], ""interests"": [""roadmap""]}","2025-08-14T20:36:21"
"L0000187","MEA","FinTech","0.986","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Ads""], ""interests"": [""pricing""]}","2025-06-30T12:27:47"
"L0000188","US","Retail","0.986","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Ads"", ""Call""], ""interests"": [""integration"", ""roi"", ""security""]}","2025-08-02T14:10:16"
"L0000190","LATAM","Media","0.967","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Ads""], ""interests"": [""security""]}","2025-06-26T03:10:25"
"L0000192","LATAM","FinTech","0.717","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Call"", ""Ads""], ""interests"": [""security"", ""case_studies"", ""roi""]}","2025-06-23T11:40:20"
"L0000193","EU","Media","0.261","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Web"", ""SMS""], ""interests"": [""roadmap""]}","2025-08-01T15:00:17"
"L0000194","LATAM","Media","0.141","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Ads"", ""Web""], ""interests"": [""roadmap"", ""security""]}","2025-08-09T04:03:28"
"L0000196","US","Retail","0.061","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Call""], ""interests"": [""security"", ""roi"", ""pricing""]}","2025-08-23T11:30:04"
"L0000200","MEA","Manufacturing","0.961","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Call""], ""interests"": [""pricing"", ""integration""]}","2025-05-10T07:47:50"
"L0000201","LATAM","Retail","0.361","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Ads"", ""Email""], ""interests"": [""integration"", ""roadmap"", ""roi""]}","2025-07-19T09:39:39"
"L0000203","EU","SaaS","0.931","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Web""], ""interests"": [""pricing"", ""case_studies""]}","2025-07-11T15:14:20"
"L0000205","EU","SaaS","0.798","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Email""], ""interests"": [""case_studies"", ""roi""]}","2025-05-16T20:28:45"
"L0000206","LATAM","Media","0.407","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Ads""], ""interests"": [""integration"", ""pricing"", ""security""]}","2025-07-15T22:43:44"
"L0000207","India","EdTech","0.992","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""SMS""], ""interests"": [""pricing""]}","2025-06-18T19:22:51"
"L0000209","US","FinTech","0.021","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Social""], ""interests"": [""security""]}","2025-08-28T19:41:45"
"L0000211","EU","EdTech","0.951","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Social""], ""interests"": [""integration"", ""roadmap"", ""roi""]}","2025-08-13T15:51:07"
"L0000212","LATAM","Manufacturing","0.656","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""SMS""], ""interests"": [""case_studies""]}","2025-07-27T10:48:43"
"L0000222","EU","FinTech","0.874","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Web"", ""Ads""], ""interests"": [""roadmap""]}","2025-08-12T09:57:20"
"L0000223","APAC","E‑commerce","0.571","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""SMS"", ""Ads""], ""interests"": [""roadmap"", ""integration"", ""case_studies""]}","2025-07-15T01:01:05"
"L0000225","India","FinTech","0.689","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Social""], ""interests"": [""pricing"", ""integration""]}","2025-08-17T17:46:16"
"L0000226","EU","HealthTech","0.51","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Ads""], ""interests"": [""case_studies""]}","2025-08-14T07:46:08"
"L0000227","US","HealthTech","0.565","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Email"", ""SMS""], ""interests"": [""integration"", ""pricing"", ""case_studies""]}","2025-08-22T16:25:08"
"L0000230","US","FinTech","0.249","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""SMS"", ""Ads""], ""interests"": [""roadmap"", ""pricing"", ""security""]}","2025-08-05T03:28:31"
"L0000231","APAC","Retail","0.453","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Call"", ""Social""], ""interests"": [""security"", ""roi""]}","2025-08-27T03:03:55"
"L0000233","India","EdTech","0.733","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Ads""], ""interests"": [""pricing""]}","2025-08-27T21:38:50"
"L0000235","US","FinTech","0.562","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Call"", ""Email""], ""interests"": [""roadmap"", ""case_studies"", ""roi""]}","2025-08-05T17:43:10"
"L0000236","LATAM","FinTech","0.756","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""SMS"", ""Social""], ""interests"": [""case_studies""]}","2025-07-30T07:29:21"
"L0000239","APAC","E‑commerce","0.579","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Ads""], ""interests"": [""case_studies"", ""pricing""]}","2025-07-13T18:08:16"
"L0000242","APAC","EdTech","0.294","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Web""], ""interests"": [""security"", ""roi"", ""case_studies""]}","2025-08-04T04:21:41"
"L0000243","US","E‑commerce","0.437","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Social""], ""interests"": [""roadmap"", ""case_studies""]}","2025-08-04T02:33:09"
"L0000245","EU","EdTech","0.152","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Web"", ""Ads""], ""interests"": [""case_studies"", ""security"", ""roadmap""]}","2025-06-22T00:43:24"
"L0000246","US","EdTech","0.72","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Social""], ""interests"": [""pricing"", ""security"", ""roadmap""]}","2025-07-29T19:55:07"
"L0000248","India","SaaS","0.139","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""SMS"", ""Social""], ""interests"": [""roi"", ""case_studies"", ""integration""]}","2025-06-23T18:36:03"
"L0000251","India","Retail","0.006","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Web"", ""Email""], ""interests"": [""roi"", ""case_studies"", ""roadmap""]}","2025-05-27T02:50:27"
"L0000253","EU","FinTech","0.247","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Web""], ""interests"": [""roadmap"", ""pricing""]}","2025-07-02T01:59:04"
"L0000256","MEA","Retail","0.718","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Call""], ""interests"": [""roadmap"", ""roi""]}","2025-07-21T10:43:15"
"L0000257","EU","SaaS","0.714","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Web""], ""interests"": [""case_studies""]}","2025-07-22T00:27:04"
"L0000258","APAC","Media","0.073","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""SMS""], ""interests"": [""case_studies""]}","2025-06-24T05:46:51"
