"lead_id","campaign_id","converted_at","conversion_value_usd","conversion_type"
"L0001165","CMP0005","2025-07-19T12:58:42","1156.11","trial_started"
"L0001174","CMP0017","2025-07-20T07:09:02","1272.37","demo_booked"
"L0001201","CMP0011","2025-06-28T00:40:49","1807.65","purchase"
"L0001239","CMP0008","2025-08-14T08:33:57","504.55","trial_started"
"L0001246","CMP0003","2025-08-08T18:39:01","1295.99","demo_booked"
"L0001247","CMP0021","2025-08-23T22:40:46","1945.41","trial_started"
"L0001250","CMP0029","2025-06-25T23:13:46","194.92","purchase"
"L0001255","CMP0030","2025-06-13T07:03:59","904.83","purchase"
"L0001256","CMP0005","2025-05-09T19:56:49","1376.46","meeting_scheduled"
"L0001257","CMP0020","2025-06-23T08:25:08","87.8","trial_started"
"L0001259","CMP0026","2025-07-25T08:50:10","986.1","meeting_scheduled"
"L0001267","CMP0022","2025-07-04T10:15:34","1547.31","meeting_scheduled"
"L0001276","CMP0021","2025-08-01T14:18:46","1949.69","meeting_scheduled"
"L0001282","CMP0018","2025-08-07T02:44:38","1579.54","purchase"
"L0001283","CMP0015","2025-07-20T01:25:07","570.18","purchase"
"L0001286","CMP0024","2025-08-06T13:24:44","673.78","meeting_scheduled"
"L0001291","CMP0002","2025-06-16T15:35:30","1997.21","trial_started"
"L0001293","CMP0016","2025-07-01T02:53:23","1235.82","meeting_scheduled"
"L0001298","CMP0030","2025-08-28T01:34:40","1456.74","purchase"
"L0001300","CMP0015","2025-08-28T00:48:18","1188.71","demo_booked"
"L0001302","CMP0012","2025-07-08T23:58:41","160.8","demo_booked"
"L0001304","CMP0010","2025-07-13T07:42:24","680.23","demo_booked"
"L0001312","CMP0030","2025-07-24T18:31:26","967.14","meeting_scheduled"
"L0001314","CMP0030","2025-07-31T12:02:30","440.78","purchase"
"L0001315","CMP0012","2025-07-19T01:11:41","937.98","purchase"
"L0001324","CMP0029","2025-08-07T12:07:13","945.33","purchase"
"L0001326","CMP0016","2025-05-26T21:49:25","1583.53","trial_started"
"L0001327","CMP0021","2025-05-29T02:51:27","1879.64","purchase"
"L0001331","CMP0030","2025-08-06T21:58:22","1006.24","demo_booked"
"L0001336","CMP0017","2025-07-29T01:30:06","1150.92","purchase"
"L0001337","CMP0023","2025-07-13T10:59:00","809.98","purchase"
"L0001339","CMP0030","2025-08-25T23:45:57","740.81","trial_started"
"L0001340","CMP0009","2025-06-14T11:10:46","838.09","demo_booked"
"L0001347","CMP0009","2025-07-02T14:13:07","1062.23","trial_started"
"L0001356","CMP0012","2025-07-22T22:11:42","1997.71","meeting_scheduled"
"L0001358","CMP0001","2025-06-19T18:30:51","1663.8","purchase"
"L0001359","CMP0005","2025-06-25T00:36:15","1355.09","meeting_scheduled"
"L0001365","CMP0010","2025-06-01T14:08:43","1076.22","demo_booked"
"L0001368","CMP0025","2025-08-24T07:34:21","898.33","purchase"
"L0001383","CMP0014","2025-08-20T09:01:22","862.33","demo_booked"
"L0001384","CMP0027","2025-08-10T13:24:33","1939.88","purchase"
"L0001385","CMP0022","2025-08-06T05:20:58","491.71","trial_started"
"L0001388","CMP0016","2025-06-30T17:34:39","1821.94","trial_started"
"L0001402","CMP0012","2025-05-17T16:48:00","1077.31","demo_booked"
"L0001403","CMP0021","2025-07-03T05:50:53","77.53","meeting_scheduled"
"L0001404","CMP0027","2025-06-08T21:10:19","123.29","demo_booked"
"L0001409","CMP0012","2025-08-26T18:01:37","1504.97","purchase"
"L0001412","CMP0014","2025-07-28T23:14:04","1119.7","demo_booked"
"L0001413","CMP0026","2025-08-04T15:56:15","1822.14","demo_booked"
"L0001420","CMP0026","2025-05-23T05:43:17","1171.25","meeting_scheduled"
"L0001429","CMP0015","2025-06-03T22:40:22","1193.02","trial_started"
"L0001440","CMP0009","2025-06-26T00:38:12","1434.63","trial_started"
"L0001446","CMP0003","2025-07-13T23:33:45","568.37","demo_booked"
"L0001449","CMP0005","2025-06-09T04:31:06","1551.37","trial_started"
"L0001453","CMP0009","2025-08-16T01:46:59","1474.97","trial_started"
"L0001454","CMP0010","2025-06-06T21:20:12","422.49","trial_started"
"L0001461","CMP0015","2025-08-09T21:31:48","1338.55","demo_booked"
"L0001467","CMP0027","2025-06-26T06:54:08","1292.19","demo_booked"
"L0001470","CMP0012","2025-07-12T04:05:48","1246.06","demo_booked"
"L0001471","CMP0019","2025-06-19T14:34:58","780.97","meeting_scheduled"
"L0001473","CMP0022","2025-08-16T03:02:10","1791.03","purchase"
"L0001476","CMP0030","2025-08-25T14:14:56","1393.95","trial_started"
"L0001478","CMP0019","2025-06-04T09:26:26","393.74","demo_booked"
"L0001479","CMP0009","2025-06-08T18:03:14","234.47","trial_started"
"L0001480","CMP0025","2025-08-04T12:07:22","1357.58","trial_started"
"L0001490","CMP0011","2025-08-02T08:23:25","1483.81","purchase"
"L0001500","CMP0029","2025-06-24T15:35:08","1935.52","purchase"
"L0001510","CMP0002","2025-05-28T19:29:18","1278.39","meeting_scheduled"
"L0001511","CMP0003","2025-08-18T05:18:15","365.5","demo_booked"
"L0001516","CMP0021","2025-07-30T16:12:21","366.01","meeting_scheduled"
"L0001518","CMP0007","2025-07-16T16:53:07","834.0","trial_started"
"L0001521","CMP0023","2025-07-12T00:06:26","1859.41","purchase"
"L0001522","CMP0001","2025-08-19T02:48:11","572.06","demo_booked"
"L0001524","CMP0001","2025-07-31T11:24:58","1268.44","meeting_scheduled"
"L0001531","CMP0011","2025-05-21T00:26:53","1453.36","meeting_scheduled"
"L0001535","CMP0007","2025-06-23T13:26:26","850.42","meeting_scheduled"
"L0001539","CMP0028","2025-06-10T18:25:00","1489.84","trial_started"
"L0001544","CMP0002","2025-08-24T15:15:08","711.06","trial_started"
"L0001546","CMP0014","2025-08-18T10:58:30","1192.82","demo_booked"
"L0001547","CMP0028","2025-07-23T23:11:19","1179.62","demo_booked"
"L0001549","CMP0013","2025-06-07T17:10:59","1617.82","meeting_scheduled"
"L0001550","CMP0017","2025-07-23T02:12:32","754.35","trial_started"
"L0001556","CMP0022","2025-08-10T05:26:28","1400.52","demo_booked"
"L0001557","CMP0014","2025-05-11T07:33:32","870.25","purchase"
"L0001563","CMP0014","2025-08-13T22:58:09","104.76","trial_started"
"L0001566","CMP0021","2025-08-15T17:41:45","556.9","demo_booked"
"L0001568","CMP0019","2025-08-01T15:35:30","1307.46","demo_booked"
"L0001572","CMP0001","2025-08-19T11:30:05","270.2","purchase"
"L0001582","CMP0022","2025-07-23T10:25:57","72.61","trial_started"
"L0001591","CMP0016","2025-08-18T08:16:00","1047.62","meeting_scheduled"
"L0001599","CMP0030","2025-06-26T15:49:57","857.99","meeting_scheduled"
"L0001602","CMP0008","2025-07-23T20:23:26","1459.63","demo_booked"
"L0001605","CMP0025","2025-08-12T00:23:15","1561.07","demo_booked"
"L0001609","CMP0023","2025-07-24T13:18:59","1310.42","demo_booked"
"L0001612","CMP0021","2025-08-05T04:32:58","690.13","purchase"
"L0001617","CMP0015","2025-06-22T19:29:24","301.4","purchase"
"L0001625","CMP0001","2025-05-04T16:29:38","1568.73","meeting_scheduled"
"L0001627","CMP0017","2025-07-27T02:25:53","385.94","demo_booked"
"L0001634","CMP0009","2025-07-29T10:01:03","1363.12","trial_started"
"L0001640","CMP0014","2025-07-22T20:07:53","280.18","trial_started"
"L0001645","CMP0002","2025-08-06T04:18:16","1917.04","meeting_scheduled"
"L0001646","CMP0028","2025-08-03T00:00:21","575.08","purchase"
"L0001661","CMP0029","2025-08-24T20:16:24","935.74","demo_booked"
"L0001670","CMP0007","2025-08-23T20:44:46","256.58","demo_booked"
"L0001672","CMP0019","2025-05-24T21:44:19","1509.78","meeting_scheduled"
"L0001682","CMP0004","2025-07-25T16:29:36","1349.9","demo_booked"
"L0001693","CMP0018","2025-08-02T17:27:22","521.32","demo_booked"
"L0001695","CMP0019","2025-07-08T17:24:33","1430.71","meeting_scheduled"
"L0001700","CMP0005","2025-05-21T01:45:05","1171.14","purchase"
"L0001702","CMP0012","2025-07-27T08:57:18","234.24","demo_booked"
"L0001704","CMP0008","2025-08-15T19:00:40","1142.07","purchase"
"L0001709","CMP0003","2025-07-31T11:49:47","410.23","meeting_scheduled"
"L0001711","CMP0015","2025-08-19T01:33:13","581.73","demo_booked"
"L0001717","CMP0014","2025-06-24T21:24:18","492.35","demo_booked"
"L0001726","CMP0030","2025-06-19T01:11:44","1915.97","demo_booked"
"L0001729","CMP0020","2025-08-10T12:04:10","1065.6","meeting_scheduled"
"L0001735","CMP0021","2025-08-22T18:51:01","1788.39","demo_booked"
"L0001757","CMP0013","2025-06-11T11:07:29","293.6","meeting_scheduled"
"L0001758","CMP0020","2025-08-05T21:16:41","460.67","purchase"
"L0001777","CMP0024","2025-06-21T18:55:42","187.3","demo_booked"
"L0001778","CMP0021","2025-06-01T09:03:02","88.7","purchase"
"L0001779","CMP0010","2025-07-30T15:15:20","417.81","demo_booked"
"L0001780","CMP0022","2025-06-11T10:52:55","368.17","purchase"
"L0001781","CMP0004","2025-07-01T17:47:39","1351.9","trial_started"
"L0001785","CMP0026","2025-06-27T16:57:01","1002.82","meeting_scheduled"
"L0001790","CMP0028","2025-07-13T08:49:35","1937.42","meeting_scheduled"
"L0001795","CMP0018","2025-07-31T20:01:34","1708.85","trial_started"
"L0001810","CMP0027","2025-08-09T22:44:51","749.03","demo_booked"
"L0001814","CMP0022","2025-06-11T03:30:51","221.97","purchase"
"L0001827","CMP0007","2025-07-22T23:50:39","1737.2","purchase"
"L0001828","CMP0003","2025-07-23T22:24:38","1881.47","meeting_scheduled"
"L0001838","CMP0010","2025-07-26T13:01:18","1635.98","meeting_scheduled"
"L0001841","CMP0021","2025-08-11T15:04:04","1726.42","trial_started"
"L0001844","CMP0026","2025-08-12T16:35:58","127.43","trial_started"
"L0001845","CMP0005","2025-08-03T17:37:39","1431.36","demo_booked"
"L0001850","CMP0004","2025-05-09T18:45:36","278.82","purchase"
"L0001851","CMP0001","2025-07-01T15:56:04","1925.93","trial_started"
"L0001858","CMP0008","2025-08-09T03:55:00","1317.97","meeting_scheduled"
"L0001860","CMP0017","2025-05-29T19:21:22","305.7","demo_booked"
"L0001865","CMP0008","2025-08-16T12:45:15","1936.29","meeting_scheduled"
"L0001888","CMP0029","2025-07-02T15:54:18","1929.16","purchase"
"L0001892","CMP0029","2025-07-16T06:30:17","1453.6","demo_booked"
"L0001902","CMP0015","2025-06-24T04:12:49","1878.53","trial_started"
"L0001904","CMP0028","2025-08-18T07:21:59","1463.73","demo_booked"
"L0001905","CMP0008","2025-06-27T14:09:41","184.59","meeting_scheduled"
"L0001906","CMP0015","2025-08-25T04:27:00","1758.72","trial_started"
"L0001910","CMP0003","2025-07-28T12:22:20","1453.16","trial_started"
"L0001924","CMP0009","2025-08-03T20:54:13","1947.59","purchase"
"L0001925","CMP0023","2025-08-15T21:18:44","1894.93","purchase"
"L0001939","CMP0020","2025-07-18T02:46:49","230.95","purchase"
"L0001946","CMP0018","2025-06-29T13:36:34","614.99","meeting_scheduled"
"L0001953","CMP0017","2025-08-02T14:34:12","1182.92","meeting_scheduled"
"L0001955","CMP0016","2025-08-01T20:27:45","230.46","purchase"
"L0001960","CMP0023","2025-08-04T00:13:59","254.81","demo_booked"
"L0001969","CMP0009","2025-07-22T21:42:25","1331.71","purchase"
"L0001971","CMP0008","2025-08-15T12:25:47","1764.92","demo_booked"
"L0001975","CMP0002","2025-08-10T07:21:46","1774.35","purchase"
"L0001983","CMP0023","2025-07-28T21:59:16","372.03","meeting_scheduled"
"L0001987","CMP0016","2025-07-02T04:13:56","1483.84","trial_started"
"L0001992","CMP0019","2025-05-11T09:33:07","1642.33","meeting_scheduled"
"L0001993","CMP0007","2025-07-11T00:52:39","308.57","trial_started"
"L0001998","CMP0004","2025-08-11T01:14:31","1128.76","meeting_scheduled"
"L0002001","CMP0012","2025-08-20T14:19:20","357.74","trial_started"
"L0002005","CMP0014","2025-07-02T12:17:04","187.21","meeting_scheduled"
"L0002009","CMP0011","2025-05-29T18:32:42","585.94","trial_started"
"L0002010","CMP0012","2025-07-24T11:08:53","1699.99","demo_booked"
"L0002013","CMP0018","2025-08-27T22:58:08","1891.16","meeting_scheduled"
"L0002024","CMP0018","2025-08-02T12:14:14","936.45","meeting_scheduled"
"L0002030","CMP0023","2025-08-01T02:34:35","1188.33","meeting_scheduled"
"L0002033","CMP0026","2025-08-01T02:57:49","1396.18","demo_booked"
"L0002035","CMP0008","2025-08-26T23:58:47","677.81","demo_booked"
