"event_id","timestamp","principal","auth_mechanism","scope","result","ip"
"AUTH00072","2025-05-17T17:42:51","svc-optimizer","APIKey","campaigns:write","success","10.224.184.105"
"AUTH00073","2025-07-19T06:43:12","svc-optimizer","mTLS","memory:rw","denied","10.104.252.100"
"AUTH00074","2025-06-13T09:39:52","svc-optimizer","OIDC","analytics:read","failure","10.47.66.118"
"AUTH00075","2025-06-14T20:09:31","svc-mcp","OIDC","campaigns:read","failure","10.60.91.91"
"AUTH00076","2025-08-28T06:05:58","analyst-ui","mTLS","leads:write","failure","10.155.88.143"
"AUTH00077","2025-07-31T07:08:36","svc-optimizer","APIKey","leads:write","expired","10.177.125.171"
"AUTH00078","2025-06-12T09:36:46","analyst-ui","mTLS","leads:write","expired","10.90.251.207"
"AUTH00079","2025-06-08T00:30:55","svc-mcp","mTLS","analytics:read","success","10.33.45.192"
"AUTH00080","2025-05-13T05:55:32","analyst-ui","OIDC","leads:read","denied","10.204.66.77"
"AUTH00081","2025-05-01T08:25:54","analyst-ui","mTLS","memory:rw","denied","10.54.16.246"
"AUTH00082","2025-06-07T23:10:04","svc-optimizer","OIDC","analytics:read","denied","10.113.93.10"
"AUTH00083","2025-08-14T06:48:47","svc-optimizer","mTLS","memory:rw","failure","10.106.116.40"
"AUTH00084","2025-05-11T23:52:40","svc-mcp","mTLS","leads:write","denied","10.233.208.124"
"AUTH00085","2025-08-03T09:30:28","svc-mcp","OIDC","leads:read","denied","10.246.147.137"
"AUTH00086","2025-07-25T03:19:55","svc-optimizer","mTLS","campaigns:write","expired","10.38.204.90"
"AUTH00087","2025-05-02T02:04:55","svc-optimizer","APIKey","leads:write","expired","10.232.205.97"
"AUTH00088","2025-05-06T19:01:14","svc-optimizer","OIDC","campaigns:read","failure","10.34.116.189"
"AUTH00089","2025-08-18T19:45:02","analyst-ui","mTLS","campaigns:write","success","10.170.66.128"
"AUTH00090","2025-07-09T02:32:14","svc-mcp","APIKey","campaigns:write","expired","10.151.138.98"
"AUTH00091","2025-06-25T11:22:55","svc-optimizer","APIKey","leads:write","denied","10.209.89.93"
"AUTH00092","2025-06-04T20:46:38","analyst-ui","OIDC","campaigns:read","expired","10.69.109.60"
"AUTH00093","2025-05-03T18:38:40","analyst-ui","mTLS","campaigns:write","expired","10.142.92.241"
"AUTH00094","2025-08-14T22:30:40","svc-engagement","mTLS","analytics:read","success","10.126.22.5"
"AUTH00095","2025-06-10T07:41:13","svc-mcp","mTLS","memory:rw","denied","10.189.56.128"
"AUTH00096","2025-06-22T23:54:33","svc-optimizer","mTLS","campaigns:write","denied","10.121.127.136"
"AUTH00097","2025-08-10T04:44:56","analyst-ui","APIKey","memory:rw","success","10.231.221.2"
"AUTH00098","2025-07-18T08:46:53","analyst-ui","APIKey","memory:rw","failure","10.161.60.228"
"AUTH00099","2025-07-22T18:22:25","analyst-ui","mTLS","campaigns:read","failure","10.59.160.184"
"AUTH00100","2025-08-10T04:27:05","svc-engagement","APIKey","campaigns:read","denied","10.148.4.181"
"AUTH00101","2025-07-13T10:41:18","svc-optimizer","OIDC","campaigns:read","success","10.120.21.142"
"AUTH00102","2025-07-05T20:41:31","svc-engagement","APIKey","leads:read","denied","10.69.214.174"
"AUTH00103","2025-05-18T20:35:36","svc-optimizer","APIKey","campaigns:write","denied","10.251.43.169"
"AUTH00104","2025-06-19T10:41:08","svc-optimizer","mTLS","analytics:read","expired","10.119.94.159"
"AUTH00105","2025-07-16T13:48:21","svc-engagement","OIDC","analytics:read","expired","10.58.206.74"
"AUTH00106","2025-06-28T08:48:29","svc-optimizer","OIDC","campaigns:read","success","10.128.182.227"
"AUTH00107","2025-07-06T06:08:36","svc-engagement","mTLS","leads:read","denied","10.47.81.179"
"AUTH00108","2025-06-29T16:08:48","analyst-ui","APIKey","leads:read","success","10.223.89.190"
"AUTH00109","2025-08-02T01:28:20","svc-mcp","APIKey","analytics:read","denied","10.214.227.230"
"AUTH00110","2025-05-18T09:54:12","svc-engagement","mTLS","leads:read","denied","10.21.8.203"
"AUTH00111","2025-08-22T11:50:54","svc-mcp","OIDC","memory:rw","failure","10.66.6.116"
"AUTH00112","2025-05-13T14:36:05","svc-mcp","APIKey","leads:read","expired","10.6.102.142"
"AUTH00113","2025-07-23T14:44:44","svc-engagement","OIDC","memory:rw","success","10.9.117.213"
"AUTH00114","2025-06-05T13:44:55","svc-mcp","APIKey","analytics:read","denied","10.65.147.174"
"AUTH00115","2025-06-13T20:16:01","analyst-ui","APIKey","campaigns:read","success","10.8.169.160"
"AUTH00116","2025-08-15T17:51:48","svc-mcp","OIDC","leads:write","expired","10.186.197.158"
"AUTH00117","2025-05-26T18:11:47","svc-engagement","OIDC","campaigns:write","success","10.45.176.26"
"AUTH00118","2025-07-09T08:47:01","analyst-ui","mTLS","leads:read","expired","10.240.205.85"
"AUTH00119","2025-06-22T13:54:52","svc-engagement","mTLS","campaigns:write","success","10.61.188.50"
"AUTH00120","2025-07-07T01:18:45","svc-mcp","OIDC","leads:write","denied","10.33.48.48"
"AUTH00121","2025-07-11T21:42:38","analyst-ui","mTLS","campaigns:read","success","10.37.234.9"
"AUTH00122","2025-06-21T15:40:34","analyst-ui","mTLS","analytics:read","failure","10.61.142.3"
"AUTH00123","2025-07-28T09:27:56","svc-engagement","APIKey","memory:rw","success","10.223.227.237"
"AUTH00124","2025-05-14T09:06:08","svc-optimizer","OIDC","leads:write","expired","10.170.115.37"
"AUTH00125","2025-06-25T15:36:33","svc-mcp","OIDC","campaigns:write","expired","10.249.197.114"
"AUTH00126","2025-06-15T05:06:57","analyst-ui","mTLS","leads:read","success","10.249.137.154"
"AUTH00127","2025-05-04T11:06:46","svc-engagement","mTLS","campaigns:read","success","10.103.216.9"
"AUTH00128","2025-08-10T18:40:01","svc-mcp","mTLS","analytics:read","denied","10.226.53.96"
"AUTH00129","2025-08-24T22:43:27","svc-mcp","APIKey","analytics:read","failure","10.156.126.70"
"AUTH00130","2025-07-20T10:55:15","svc-mcp","OIDC","leads:read","expired","10.129.150.79"
"AUTH00131","2025-06-17T05:10:34","svc-optimizer","APIKey","campaigns:read","failure","10.72.240.126"
"AUTH00132","2025-05-15T22:47:49","svc-optimizer","APIKey","memory:rw","denied","10.176.136.73"
"AUTH00133","2025-06-04T15:06:20","svc-engagement","mTLS","memory:rw","denied","10.90.169.27"
"AUTH00134","2025-06-27T22:39:29","analyst-ui","APIKey","analytics:read","failure","10.12.151.101"
"AUTH00135","2025-05-12T12:19:01","svc-engagement","mTLS","campaigns:write","success","10.14.26.211"
"AUTH00136","2025-07-08T11:38:54","analyst-ui","mTLS","leads:read","denied","10.22.229.31"
"AUTH00137","2025-08-12T02:20:20","svc-mcp","APIKey","leads:write","failure","10.233.11.134"
"AUTH00138","2025-07-12T21:23:34","analyst-ui","mTLS","campaigns:read","expired","10.23.134.126"
"AUTH00139","2025-07-15T16:32:46","svc-mcp","APIKey","leads:write","denied","10.69.227.152"
"AUTH00140","2025-07-09T10:21:11","svc-mcp","mTLS","campaigns:read","denied","10.151.238.228"
"AUTH00141","2025-08-28T14:01:43","svc-engagement","APIKey","analytics:read","success","10.168.180.6"
"AUTH00142","2025-05-15T16:43:03","svc-optimizer","OIDC","leads:write","expired","10.56.114.18"
"AUTH00143","2025-08-19T11:55:54","svc-optimizer","OIDC","leads:read","expired","10.154.224.234"
"AUTH00144","2025-05-14T01:55:00","analyst-ui","OIDC","leads:write","expired","10.205.123.168"
"AUTH00145","2025-07-22T00:26:53","analyst-ui","OIDC","memory:rw","expired","10.3.47.225"
"AUTH00146","2025-08-12T09:46:49","svc-optimizer","OIDC","leads:read","expired","10.89.59.254"
"AUTH00147","2025-07-08T15:26:25","svc-engagement","mTLS","memory:rw","failure","10.113.103.37"
"AUTH00148","2025-05-08T14:55:58","svc-mcp","APIKey","leads:write","success","10.24.249.70"
"AUTH00149","2025-06-17T20:51:57","svc-optimizer","APIKey","leads:read","success","10.48.77.149"
"AUTH00150","2025-05-04T21:36:19","analyst-ui","APIKey","campaigns:write","denied","10.98.203.42"
"AUTH00151","2025-06-23T04:43:24","analyst-ui","OIDC","analytics:read","denied","10.182.187.112"
"AUTH00152","2025-06-08T15:00:48","analyst-ui","APIKey","analytics:read","success","10.250.33.222"
"AUTH00153","2025-07-02T00:29:39","analyst-ui","mTLS","memory:rw","failure","10.168.49.235"
"AUTH00154","2025-08-12T04:51:37","svc-mcp","OIDC","leads:write","success","10.88.77.207"
"AUTH00155","2025-06-27T23:55:08","svc-mcp","mTLS","campaigns:write","expired","10.153.191.202"
"AUTH00156","2025-07-04T23:33:29","svc-mcp","mTLS","memory:rw","denied","10.126.246.98"
"AUTH00157","2025-05-19T08:13:24","svc-mcp","mTLS","analytics:read","success","10.73.181.9"
"AUTH00158","2025-08-06T03:39:08","analyst-ui","mTLS","memory:rw","expired","10.127.96.236"
"AUTH00159","2025-08-06T22:05:30","svc-optimizer","APIKey","leads:write","success","10.125.134.98"
"AUTH00160","2025-06-09T01:36:49","analyst-ui","mTLS","leads:read","failure","10.210.75.44"
"AUTH00161","2025-05-17T12:44:28","analyst-ui","APIKey","leads:write","success","10.142.152.70"
"AUTH00162","2025-07-15T05:16:52","svc-engagement","OIDC","campaigns:read","expired","10.33.125.32"
"AUTH00163","2025-07-06T00:21:21","svc-mcp","OIDC","memory:rw","failure","10.25.25.100"
"AUTH00164","2025-07-12T03:50:39","svc-mcp","mTLS","memory:rw","success","10.117.12.142"
"AUTH00165","2025-08-24T13:53:49","svc-engagement","OIDC","leads:write","expired","10.82.69.153"
"AUTH00166","2025-07-24T04:48:08","svc-optimizer","APIKey","memory:rw","denied","10.76.43.56"
"AUTH00167","2025-06-24T03:50:30","analyst-ui","APIKey","memory:rw","success","10.33.59.249"
"AUTH00168","2025-05-18T23:29:17","svc-engagement","APIKey","memory:rw","expired","10.123.49.148"
"AUTH00169","2025-05-27T22:22:33","svc-optimizer","APIKey","leads:read","expired","10.150.112.195"
"AUTH00170","2025-05-16T15:23:39","svc-engagement","APIKey","campaigns:read","success","10.151.36.232"
"AUTH00171","2025-05-26T17:34:14","svc-mcp","mTLS","leads:read","denied","10.166.188.45"
"AUTH00172","2025-08-09T22:40:44","svc-engagement","OIDC","campaigns:read","expired","10.193.238.247"
"AUTH00173","2025-08-15T21:17:11","svc-mcp","APIKey","leads:write","expired","10.149.132.168"
"AUTH00174","2025-07-15T22:14:21","analyst-ui","OIDC","campaigns:read","success","10.190.72.118"
"AUTH00175","2025-06-23T19:37:16","svc-mcp","OIDC","campaigns:read","denied","10.51.32.245"
"AUTH00176","2025-06-01T20:56:31","svc-mcp","APIKey","analytics:read","expired","10.17.10.170"
"AUTH00177","2025-05-08T14:08:58","svc-mcp","OIDC","memory:rw","expired","10.249.108.55"
"AUTH00178","2025-07-18T01:14:16","svc-mcp","APIKey","campaigns:write","expired","10.110.55.113"
"AUTH00179","2025-07-13T09:11:13","svc-mcp","mTLS","analytics:read","expired","10.239.68.149"
"AUTH00180","2025-06-11T09:29:14","svc-optimizer","OIDC","campaigns:read","failure","10.149.185.206"
"AUTH00181","2025-07-21T07:17:20","svc-mcp","OIDC","analytics:read","success","10.102.45.24"
"AUTH00182","2025-06-28T13:40:32","svc-mcp","OIDC","leads:write","failure","10.252.62.69"
"AUTH00183","2025-05-19T02:06:35","svc-mcp","APIKey","memory:rw","success","10.187.255.43"
"AUTH00184","2025-06-20T08:33:44","svc-optimizer","mTLS","analytics:read","expired","10.60.189.107"
"AUTH00185","2025-06-07T11:14:30","svc-mcp","OIDC","campaigns:write","success","10.96.203.32"
"AUTH00186","2025-07-03T17:11:23","svc-mcp","mTLS","analytics:read","failure","10.81.185.59"
"AUTH00187","2025-08-13T07:22:44","svc-engagement","mTLS","campaigns:write","expired","10.150.121.181"
"AUTH00188","2025-06-26T16:49:58","svc-engagement","OIDC","campaigns:read","expired","10.251.234.3"
"AUTH00189","2025-05-29T16:17:09","svc-optimizer","OIDC","analytics:read","failure","10.180.135.231"
"AUTH00190","2025-07-22T22:31:25","svc-mcp","mTLS","leads:write","expired","10.119.167.90"
"AUTH00191","2025-05-26T00:35:53","svc-optimizer","APIKey","leads:write","expired","10.228.82.215"
"AUTH00192","2025-08-11T23:55:31","analyst-ui","mTLS","campaigns:write","expired","10.8.229.50"
"AUTH00193","2025-06-01T19:33:15","svc-mcp","mTLS","campaigns:write","expired","10.7.31.40"
"AUTH00194","2025-06-13T06:15:57","svc-optimizer","OIDC","leads:write","denied","10.247.71.20"
"AUTH00195","2025-07-13T14:33:33","svc-engagement","mTLS","leads:write","denied","10.181.48.37"
"AUTH00196","2025-05-05T14:29:40","svc-mcp","mTLS","campaigns:read","denied","10.230.101.154"
"AUTH00197","2025-05-22T22:35:55","svc-optimizer","APIKey","analytics:read","denied","10.115.161.95"
"AUTH00198","2025-05-07T00:09:04","svc-mcp","OIDC","analytics:read","success","10.41.200.88"
"AUTH00199","2025-07-27T10:11:28","svc-mcp","APIKey","memory:rw","failure","10.141.68.142"
"AUTH00200","2025-05-01T14:12:11","svc-engagement","mTLS","campaigns:read","failure","10.204.83.199"
"AUTH00201","2025-08-18T14:07:37","analyst-ui","mTLS","leads:write","success","10.180.14.190"
"AUTH00202","2025-06-08T04:02:45","svc-engagement","OIDC","memory:rw","expired","10.150.45.252"
"AUTH00203","2025-07-20T10:12:11","svc-optimizer","OIDC","leads:write","success","10.51.64.221"
"AUTH00204","2025-08-16T19:05:57","svc-engagement","OIDC","leads:read","denied","10.206.93.184"
"AUTH00205","2025-07-01T02:40:32","svc-mcp","OIDC","analytics:read","success","10.12.216.45"
"AUTH00206","2025-06-07T07:31:19","svc-optimizer","APIKey","leads:read","failure","10.210.203.160"
"AUTH00207","2025-05-13T20:07:18","svc-optimizer","OIDC","memory:rw","failure","10.83.198.97"
"AUTH00208","2025-05-26T11:06:26","svc-engagement","mTLS","campaigns:read","failure","10.67.159.119"
"AUTH00209","2025-06-22T16:02:34","svc-optimizer","mTLS","analytics:read","success","10.102.162.114"
"AUTH00210","2025-05-13T06:16:47","analyst-ui","OIDC","memory:rw","failure","10.229.205.79"
"AUTH00211","2025-06-21T04:35:19","svc-optimizer","OIDC","campaigns:write","failure","10.38.244.222"
"AUTH00212","2025-05-15T03:36:23","svc-engagement","APIKey","leads:read","failure","10.255.183.239"
"AUTH00213","2025-05-02T18:21:24","svc-engagement","mTLS","leads:read","success","10.47.1.47"
"AUTH00214","2025-05-03T21:57:53","svc-optimizer","APIKey","campaigns:write","expired","10.139.155.201"
"AUTH00215","2025-06-07T22:36:06","svc-engagement","mTLS","leads:write","denied","10.112.133.79"
"AUTH00216","2025-06-02T12:21:29","svc-mcp","OIDC","leads:write","denied","10.81.29.36"
"AUTH00217","2025-05-14T19:09:54","svc-mcp","OIDC","campaigns:write","failure","10.99.193.18"
"AUTH00218","2025-05-22T23:04:42","analyst-ui","APIKey","leads:read","expired","10.213.121.214"
"AUTH00219","2025-08-24T08:32:45","svc-mcp","mTLS","memory:rw","denied","10.201.199.28"
"AUTH00220","2025-06-18T12:27:14","svc-engagement","mTLS","campaigns:write","expired","10.97.142.174"
"AUTH00221","2025-07-13T07:24:57","svc-engagement","OIDC","campaigns:read","success","10.201.206.207"
"AUTH00222","2025-07-10T18:09:23","svc-mcp","mTLS","campaigns:read","expired","10.175.96.133"
"AUTH00223","2025-08-20T07:24:51","svc-mcp","mTLS","campaigns:read","denied","10.219.62.166"
"AUTH00224","2025-06-17T11:34:23","svc-mcp","mTLS","memory:rw","success","10.248.39.20"
"AUTH00225","2025-05-27T12:09:39","svc-engagement","APIKey","leads:write","expired","10.152.216.177"
"AUTH00226","2025-08-17T15:01:52","svc-mcp","OIDC","leads:read","expired","10.205.16.133"
"AUTH00227","2025-08-12T22:03:34","svc-optimizer","APIKey","leads:write","failure","10.134.214.127"
"AUTH00228","2025-08-27T09:36:04","svc-optimizer","APIKey","leads:read","expired","10.157.105.43"
"AUTH00229","2025-08-23T22:14:17","svc-engagement","mTLS","memory:rw","success","10.29.190.47"
"AUTH00230","2025-07-14T21:03:07","svc-engagement","OIDC","leads:read","failure","10.23.79.131"
"AUTH00231","2025-07-19T10:41:03","svc-mcp","mTLS","memory:rw","success","10.36.175.168"
"AUTH00232","2025-07-27T23:13:02","svc-optimizer","mTLS","campaigns:read","denied","10.177.72.62"
"AUTH00233","2025-06-30T06:22:31","svc-engagement","mTLS","analytics:read","failure","10.191.33.185"
"AUTH00234","2025-08-28T22:21:39","analyst-ui","APIKey","leads:read","failure","10.251.19.187"
"AUTH00235","2025-06-04T07:35:16","svc-mcp","OIDC","campaigns:write","success","10.253.164.236"
"AUTH00236","2025-06-20T05:02:10","analyst-ui","OIDC","analytics:read","denied","10.18.86.86"
"AUTH00237","2025-07-13T08:09:15","analyst-ui","OIDC","campaigns:read","success","10.48.58.247"
"AUTH00238","2025-05-15T13:55:40","svc-optimizer","APIKey","leads:read","denied","10.203.0.86"
"AUTH00239","2025-06-05T10:57:29","svc-mcp","OIDC","campaigns:read","expired","10.168.170.38"
"AUTH00240","2025-05-03T00:54:07","svc-optimizer","mTLS","analytics:read","denied","10.77.140.210"
"AUTH00241","2025-06-04T19:47:41","svc-engagement","APIKey","analytics:read","success","10.184.198.38"
"AUTH00242","2025-07-14T15:57:59","svc-engagement","OIDC","campaigns:write","failure","10.8.168.230"
"AUTH00243","2025-07-18T07:34:46","svc-optimizer","mTLS","leads:read","success","10.81.169.117"
"AUTH00244","2025-08-21T02:17:11","svc-optimizer","OIDC","leads:read","success","10.176.178.219"
"AUTH00245","2025-06-12T22:06:07","svc-mcp","OIDC","campaigns:write","success","10.90.195.53"
"AUTH00246","2025-08-19T01:50:28","svc-mcp","OIDC","leads:read","denied","10.102.193.36"
"AUTH00247","2025-07-30T14:12:56","svc-mcp","OIDC","leads:read","failure","10.123.216.97"
"AUTH00248","2025-07-29T01:58:08","analyst-ui","OIDC","leads:write","failure","10.126.237.23"
"AUTH00249","2025-07-05T04:16:32","svc-engagement","APIKey","campaigns:write","failure","10.200.150.19"
"AUTH00250","2025-05-13T04:50:33","svc-optimizer","mTLS","campaigns:read","failure","10.13.173.212"
"AUTH00251","2025-08-26T19:59:04","svc-optimizer","APIKey","memory:rw","success","10.68.2.251"
"AUTH00252","2025-08-21T02:11:57","analyst-ui","APIKey","campaigns:write","denied","10.156.222.178"
"AUTH00253","2025-05-27T05:58:27","svc-engagement","mTLS","leads:write","failure","10.6.138.102"
"AUTH00254","2025-07-27T23:46:26","svc-mcp","mTLS","analytics:read","denied","10.46.209.167"
"AUTH00255","2025-07-27T13:41:22","svc-mcp","OIDC","campaigns:read","failure","10.175.45.71"
"AUTH00256","2025-08-17T11:42:22","svc-mcp","APIKey","analytics:read","success","10.127.27.17"
"AUTH00257","2025-07-28T15:25:01","svc-mcp","mTLS","campaigns:read","denied","10.171.84.172"
"AUTH00258","2025-05-12T10:19:18","analyst-ui","APIKey","leads:write","failure","10.142.8.165"
"AUTH00259","2025-05-12T18:05:08","analyst-ui","OIDC","leads:read","expired","10.209.249.150"
"AUTH00260","2025-06-25T22:48:56","analyst-ui","APIKey","campaigns:write","failure","10.166.114.200"
"AUTH00261","2025-08-24T11:25:57","svc-engagement","mTLS","leads:write","denied","10.97.50.115"
"AUTH00262","2025-07-22T10:05:40","analyst-ui","mTLS","campaigns:read","expired","10.150.9.145"
"AUTH00263","2025-08-14T05:57:31","analyst-ui","mTLS","campaigns:write","denied","10.109.180.84"
"AUTH00264","2025-06-25T19:03:38","analyst-ui","OIDC","campaigns:read","expired","10.95.183.20"
"AUTH00265","2025-07-23T01:54:05","analyst-ui","APIKey","memory:rw","expired","10.177.152.234"
"AUTH00266","2025-08-06T05:04:40","svc-mcp","mTLS","campaigns:read","success","10.198.132.236"
"AUTH00267","2025-08-02T21:21:30","svc-engagement","APIKey","analytics:read","denied","10.110.176.65"
"AUTH00268","2025-05-01T09:56:15","analyst-ui","OIDC","leads:write","failure","10.80.133.129"
"AUTH00269","2025-08-21T01:31:29","svc-optimizer","APIKey","campaigns:read","denied","10.69.26.175"
"AUTH00270","2025-08-26T08:04:19","analyst-ui","APIKey","leads:read","success","10.194.175.181"
"AUTH00271","2025-08-23T05:18:21","analyst-ui","mTLS","memory:rw","expired","10.7.13.212"
"AUTH00272","2025-05-04T04:00:28","svc-engagement","mTLS","leads:write","expired","10.143.144.37"
"AUTH00273","2025-06-16T19:12:45","svc-optimizer","mTLS","analytics:read","failure","10.183.66.113"
