"resource_uri","timestamp","scope","operation","success","actor"
"db://campaigns","2025-06-10T22:48:04","search","QUERY","True","Agent-Client"
"db://leads","2025-06-28T03:47:53","search","MERGE","True","Optimizer-Worker"
"analytics://events","2025-05-02T04:58:11","consolidate","QUERY","True","Optimizer-Worker"
"kg://graph","2025-07-20T06:44:29","write","UPSERT","True","Agent-Client"
"db://campaigns","2025-08-13T19:28:00","write","MERGE","False","MCP-Server"
"db://interactions","2025-07-12T12:18:54","write","MERGE","False","Optimizer-Worker"
"kg://graph","2025-05-17T12:15:01","search","SELECT","True","MCP-Server"
"kg://graph","2025-06-28T05:22:03","read","UPDATE","True","Agent-Client"
"db://leads","2025-07-15T13:59:30","search","QUERY","True","Agent-Client"
"db://interactions","2025-07-12T01:58:22","write","QUERY","False","Optimizer-Worker"
"db://interactions","2025-07-13T15:43:49","read","QUERY","False","Agent-Client"
"db://campaigns","2025-05-04T02:14:21","search","UPSERT","True","Optimizer-Worker"
"cache://memory","2025-06-08T05:35:47","write","UPDATE","True","MCP-Server"
"cache://memory","2025-07-10T18:17:45","write","MERGE","True","Optimizer-Worker"
"cache://memory","2025-06-22T17:38:38","read","UPSERT","True","Agent-Client"
"db://leads","2025-05-28T22:28:47","consolidate","UPSERT","True","Agent-Client"
"cache://memory","2025-07-04T12:25:51","consolidate","MERGE","True","Optimizer-Worker"
"db://leads","2025-06-03T01:10:32","read","SELECT","True","Agent-Client"
"kg://graph","2025-08-26T11:23:26","write","SELECT","True","Optimizer-Worker"
"db://interactions","2025-07-10T13:55:32","consolidate","QUERY","True","Agent-Client"
"db://leads","2025-06-17T05:14:58","write","SELECT","True","Optimizer-Worker"
"analytics://events","2025-06-05T10:07:11","consolidate","INSERT","True","MCP-Server"
"db://leads","2025-08-19T22:36:05","search","MERGE","True","MCP-Server"
"db://leads","2025-06-07T10:16:07","write","SELECT","False","Agent-Client"
"analytics://events","2025-08-16T03:10:36","search","INSERT","False","Optimizer-Worker"
"cache://memory","2025-06-01T18:33:12","consolidate","UPDATE","True","MCP-Server"
"db://campaigns","2025-05-14T05:04:40","search","UPDATE","True","MCP-Server"
"db://campaigns","2025-07-31T01:32:25","search","UPDATE","False","Optimizer-Worker"
"analytics://events","2025-06-20T05:58:15","write","INSERT","True","Agent-Client"
"analytics://events","2025-05-18T10:37:01","write","UPDATE","True","MCP-Server"
"db://interactions","2025-08-25T22:26:30","read","QUERY","True","Optimizer-Worker"
"analytics://events","2025-06-15T17:35:23","search","INSERT","True","MCP-Server"
"kg://graph","2025-08-07T01:03:52","search","MERGE","True","Optimizer-Worker"
"kg://graph","2025-07-18T02:38:15","read","UPDATE","False","MCP-Server"
"db://campaigns","2025-07-19T19:51:52","write","MERGE","False","MCP-Server"
"analytics://events","2025-07-28T23:00:09","read","MERGE","True","MCP-Server"
"db://interactions","2025-07-29T11:22:02","read","MERGE","True","Agent-Client"
"kg://graph","2025-05-07T18:41:06","consolidate","UPDATE","False","Agent-Client"
"cache://memory","2025-08-26T18:36:56","read","INSERT","True","Agent-Client"
"kg://graph","2025-05-13T03:43:50","search","MERGE","True","MCP-Server"
"kg://graph","2025-05-08T12:52:40","consolidate","UPDATE","False","Optimizer-Worker"
"db://interactions","2025-06-11T22:35:19","search","UPSERT","True","Optimizer-Worker"
"cache://memory","2025-06-16T15:50:03","consolidate","UPSERT","True","Optimizer-Worker"
"kg://graph","2025-06-02T12:34:00","consolidate","UPDATE","False","MCP-Server"
"db://leads","2025-06-08T12:40:51","read","UPDATE","False","Agent-Client"
"cache://memory","2025-05-03T00:44:59","write","INSERT","True","Agent-Client"
"kg://graph","2025-06-03T19:16:31","consolidate","QUERY","True","Optimizer-Worker"
"analytics://events","2025-06-12T13:42:45","write","INSERT","True","Optimizer-Worker"
"kg://graph","2025-05-21T11:55:46","search","QUERY","True","Agent-Client"
"db://campaigns","2025-05-23T04:14:08","write","QUERY","True","Agent-Client"
"cache://memory","2025-06-21T03:34:38","search","SELECT","False","Agent-Client"
"kg://graph","2025-05-29T12:34:33","consolidate","INSERT","True","MCP-Server"
"analytics://events","2025-08-21T23:08:01","read","SELECT","False","Optimizer-Worker"
"analytics://events","2025-06-09T07:35:55","read","UPSERT","False","MCP-Server"
"kg://graph","2025-05-12T04:16:28","read","QUERY","True","Agent-Client"
"cache://memory","2025-07-06T03:07:26","consolidate","SELECT","True","Optimizer-Worker"
"kg://graph","2025-08-22T12:38:55","consolidate","QUERY","True","Optimizer-Worker"
"analytics://events","2025-05-31T20:18:00","write","INSERT","True","Agent-Client"
"db://campaigns","2025-05-10T20:22:26","read","SELECT","False","Optimizer-Worker"
"analytics://events","2025-05-15T20:14:10","read","SELECT","True","MCP-Server"
"db://leads","2025-07-05T13:01:00","write","UPSERT","True","MCP-Server"
"analytics://events","2025-06-29T05:38:39","consolidate","MERGE","True","Optimizer-Worker"
"kg://graph","2025-05-16T14:07:26","consolidate","MERGE","True","MCP-Server"
"db://leads","2025-05-07T17:44:37","consolidate","INSERT","True","Agent-Client"
"db://interactions","2025-07-09T06:05:10","read","INSERT","True","Optimizer-Worker"
"db://interactions","2025-05-25T10:10:22","search","MERGE","True","MCP-Server"
"kg://graph","2025-05-03T20:05:41","write","UPDATE","True","Optimizer-Worker"
"analytics://events","2025-07-15T04:52:44","search","UPSERT","True","Optimizer-Worker"
"db://leads","2025-06-17T06:47:36","search","UPSERT","False","Agent-Client"
"db://campaigns","2025-08-12T05:12:23","consolidate","UPSERT","True","Optimizer-Worker"
"cache://memory","2025-07-08T15:07:05","consolidate","MERGE","True","MCP-Server"
"kg://graph","2025-08-13T07:47:45","write","UPSERT","True","Optimizer-Worker"
"db://leads","2025-05-24T12:53:53","read","QUERY","True","MCP-Server"
"analytics://events","2025-05-10T14:00:38","write","MERGE","True","Optimizer-Worker"
"db://campaigns","2025-05-31T01:01:31","consolidate","UPSERT","True","Optimizer-Worker"
"cache://memory","2025-07-27T15:57:19","read","UPSERT","False","Optimizer-Worker"
"analytics://events","2025-05-16T19:12:39","search","UPDATE","False","MCP-Server"
"db://campaigns","2025-08-19T04:09:41","write","MERGE","False","Optimizer-Worker"
"db://campaigns","2025-08-07T07:49:03","consolidate","MERGE","False","Agent-Client"
"analytics://events","2025-06-01T05:11:08","search","QUERY","False","Agent-Client"
"db://campaigns","2025-05-27T23:13:17","read","UPSERT","True","Optimizer-Worker"
"db://leads","2025-06-25T23:11:49","search","QUERY","True","MCP-Server"
"db://campaigns","2025-06-09T12:10:41","write","SELECT","True","Agent-Client"
"db://interactions","2025-08-28T19:14:59","search","INSERT","True","Optimizer-Worker"
"db://leads","2025-07-03T17:35:05","consolidate","INSERT","True","MCP-Server"
"db://interactions","2025-05-01T04:55:22","consolidate","UPDATE","False","Agent-Client"
"cache://memory","2025-07-14T14:56:11","consolidate","UPDATE","True","MCP-Server"
"cache://memory","2025-05-11T09:17:27","write","INSERT","True","MCP-Server"
"cache://memory","2025-06-18T00:48:25","write","INSERT","False","MCP-Server"
"db://interactions","2025-05-06T05:44:58","consolidate","MERGE","True","MCP-Server"
"cache://memory","2025-07-14T14:35:11","read","QUERY","True","Optimizer-Worker"
"kg://graph","2025-07-16T01:36:41","search","UPSERT","True","Agent-Client"
"db://campaigns","2025-05-27T22:39:23","read","SELECT","True","Agent-Client"
"db://campaigns","2025-07-27T11:16:39","write","MERGE","True","Agent-Client"
"cache://memory","2025-07-09T04:10:12","consolidate","MERGE","True","Optimizer-Worker"
"db://leads","2025-08-12T16:26:18","consolidate","UPDATE","True","Agent-Client"
"kg://graph","2025-07-28T23:14:30","search","INSERT","True","MCP-Server"
"db://campaigns","2025-06-03T23:09:13","write","MERGE","True","Agent-Client"
"kg://graph","2025-05-06T11:46:48","search","UPDATE","True","Agent-Client"
"db://leads","2025-07-29T17:23:25","search","UPDATE","True","MCP-Server"
"db://campaigns","2025-08-14T14:15:27","search","UPDATE","True","MCP-Server"
"kg://graph","2025-08-09T15:32:32","consolidate","SELECT","False","Optimizer-Worker"
"cache://memory","2025-08-13T15:33:08","search","UPDATE","True","Optimizer-Worker"
"analytics://events","2025-05-06T14:18:15","read","UPDATE","True","MCP-Server"
"analytics://events","2025-07-10T01:25:26","write","UPSERT","True","MCP-Server"
"kg://graph","2025-07-16T03:08:27","read","UPDATE","True","Optimizer-Worker"
"cache://memory","2025-08-27T14:12:23","consolidate","INSERT","False","MCP-Server"
"db://leads","2025-05-17T01:00:08","write","QUERY","True","Optimizer-Worker"
"kg://graph","2025-08-23T11:06:37","search","INSERT","True","Agent-Client"
"db://interactions","2025-05-04T14:20:15","search","QUERY","True","MCP-Server"
"db://interactions","2025-06-20T02:41:35","search","INSERT","False","Agent-Client"
"db://leads","2025-07-01T19:10:43","search","SELECT","False","MCP-Server"
"kg://graph","2025-05-01T07:25:17","consolidate","UPDATE","True","MCP-Server"
"cache://memory","2025-08-03T09:10:21","consolidate","SELECT","False","MCP-Server"
"analytics://events","2025-06-05T03:14:29","search","INSERT","True","Agent-Client"
"db://campaigns","2025-06-03T19:15:42","search","UPDATE","False","Optimizer-Worker"
"db://interactions","2025-05-05T05:57:46","search","UPSERT","True","Optimizer-Worker"
"db://leads","2025-06-07T17:31:19","write","MERGE","True","MCP-Server"
"kg://graph","2025-07-11T20:16:23","consolidate","UPSERT","True","MCP-Server"
"analytics://events","2025-07-29T01:16:57","search","MERGE","True","Agent-Client"
"db://interactions","2025-08-05T17:23:40","search","INSERT","True","Agent-Client"
"kg://graph","2025-07-26T17:40:34","search","SELECT","False","Optimizer-Worker"
"analytics://events","2025-08-14T16:19:40","write","QUERY","True","Optimizer-Worker"
"db://campaigns","2025-05-31T08:27:20","write","UPSERT","True","Agent-Client"
"db://interactions","2025-05-29T21:11:02","read","INSERT","True","MCP-Server"
"db://campaigns","2025-08-18T12:06:58","search","UPDATE","True","Agent-Client"
"db://campaigns","2025-08-09T20:13:15","read","UPDATE","True","MCP-Server"
"cache://memory","2025-05-26T08:25:14","read","UPSERT","True","Optimizer-Worker"
"analytics://events","2025-06-01T08:36:00","search","MERGE","True","Agent-Client"
"kg://graph","2025-07-26T06:34:10","write","UPSERT","True","Optimizer-Worker"
"analytics://events","2025-08-19T20:59:43","write","SELECT","True","Optimizer-Worker"
"kg://graph","2025-08-10T19:05:50","read","INSERT","True","Optimizer-Worker"
"db://interactions","2025-07-06T11:32:07","search","QUERY","True","Optimizer-Worker"
"kg://graph","2025-07-19T17:25:29","read","MERGE","True","MCP-Server"
"db://campaigns","2025-07-07T05:50:08","consolidate","INSERT","True","Agent-Client"
"kg://graph","2025-05-17T10:40:13","read","INSERT","True","Optimizer-Worker"
"cache://memory","2025-05-13T12:54:32","search","SELECT","True","MCP-Server"
"db://leads","2025-07-16T06:54:25","read","UPDATE","False","Optimizer-Worker"
"analytics://events","2025-05-22T21:00:38","consolidate","UPDATE","False","Agent-Client"
"analytics://events","2025-05-18T11:51:00","read","UPSERT","True","MCP-Server"
"db://leads","2025-05-13T06:57:21","search","UPDATE","True","Optimizer-Worker"
"analytics://events","2025-05-06T19:48:46","consolidate","SELECT","False","MCP-Server"
"db://interactions","2025-07-18T04:42:22","write","INSERT","True","Optimizer-Worker"
"kg://graph","2025-07-06T04:54:18","consolidate","UPSERT","True","MCP-Server"
"analytics://events","2025-08-04T22:55:55","consolidate","QUERY","True","Optimizer-Worker"
"db://campaigns","2025-07-27T09:10:21","read","SELECT","True","Agent-Client"
"db://leads","2025-05-16T09:23:59","search","SELECT","True","Optimizer-Worker"
"cache://memory","2025-07-03T01:44:23","search","UPSERT","True","Agent-Client"
"db://leads","2025-07-10T18:24:36","consolidate","MERGE","False","MCP-Server"
"db://interactions","2025-06-02T01:04:32","read","SELECT","True","Optimizer-Worker"
"db://campaigns","2025-07-20T16:44:56","write","QUERY","True","Agent-Client"
"analytics://events","2025-08-03T17:09:54","read","SELECT","False","MCP-Server"
"db://campaigns","2025-05-31T12:19:56","consolidate","UPDATE","True","MCP-Server"
"kg://graph","2025-05-28T15:01:01","read","QUERY","True","Agent-Client"
"db://leads","2025-08-16T16:08:26","write","INSERT","False","Agent-Client"
"db://interactions","2025-06-02T00:22:34","read","UPDATE","True","Agent-Client"
"cache://memory","2025-06-01T17:49:26","search","QUERY","True","MCP-Server"
"db://interactions","2025-05-07T08:07:30","read","MERGE","False","Optimizer-Worker"
"db://interactions","2025-07-20T22:27:40","write","MERGE","True","Agent-Client"
"kg://graph","2025-08-05T18:43:25","search","QUERY","False","Agent-Client"
"analytics://events","2025-05-25T05:45:26","consolidate","UPDATE","True","Agent-Client"
"db://leads","2025-07-23T21:29:28","search","UPSERT","True","Agent-Client"
"kg://graph","2025-07-08T14:26:38","consolidate","QUERY","True","Optimizer-Worker"
"db://leads","2025-07-20T17:28:17","write","UPDATE","True","Agent-Client"
"cache://memory","2025-06-02T18:02:17","write","SELECT","True","MCP-Server"
"cache://memory","2025-08-10T11:55:48","search","UPDATE","True","MCP-Server"
"cache://memory","2025-07-14T19:29:50","read","UPSERT","True","Optimizer-Worker"
"cache://memory","2025-05-22T21:38:59","write","QUERY","False","Agent-Client"
"kg://graph","2025-07-07T11:37:22","search","SELECT","True","MCP-Server"
"kg://graph","2025-05-14T02:36:18","consolidate","SELECT","True","MCP-Server"
"db://leads","2025-08-13T01:27:01","read","QUERY","True","Optimizer-Worker"
"cache://memory","2025-07-06T19:35:51","consolidate","UPSERT","False","MCP-Server"
"kg://graph","2025-07-08T04:44:05","consolidate","SELECT","True","MCP-Server"
"db://campaigns","2025-06-02T21:59:00","write","UPSERT","True","MCP-Server"
"db://leads","2025-05-22T00:25:07","consolidate","MERGE","True","Optimizer-Worker"
"db://interactions","2025-08-16T23:33:46","consolidate","UPDATE","True","Optimizer-Worker"
"analytics://events","2025-06-22T01:13:33","search","INSERT","False","Agent-Client"
"kg://graph","2025-05-28T19:54:02","consolidate","QUERY","True","MCP-Server"
"db://interactions","2025-06-03T22:19:06","consolidate","QUERY","True","Optimizer-Worker"
"db://campaigns","2025-05-21T21:14:21","consolidate","UPDATE","True","MCP-Server"
"db://leads","2025-05-11T12:44:25","read","INSERT","True","MCP-Server"
"cache://memory","2025-05-18T07:37:12","search","QUERY","False","Optimizer-Worker"
"db://interactions","2025-08-10T03:47:31","read","UPSERT","True","MCP-Server"
"db://leads","2025-06-01T10:02:36","consolidate","QUERY","True","MCP-Server"
"cache://memory","2025-07-22T09:36:27","write","QUERY","True","MCP-Server"
"db://leads","2025-05-08T10:51:06","write","INSERT","True","Optimizer-Worker"
"db://leads","2025-08-22T11:20:23","consolidate","SELECT","True","Optimizer-Worker"
"db://campaigns","2025-08-16T20:51:41","search","UPDATE","True","Agent-Client"
"db://leads","2025-06-30T01:09:25","search","QUERY","False","Optimizer-Worker"
"analytics://events","2025-05-13T17:06:47","write","QUERY","True","MCP-Server"
"cache://memory","2025-08-03T20:38:13","consolidate","QUERY","False","Optimizer-Worker"
"db://interactions","2025-05-31T13:08:12","consolidate","UPDATE","True","Agent-Client"
"db://interactions","2025-07-19T13:08:38","read","INSERT","True","Agent-Client"
"db://interactions","2025-05-03T19:44:42","search","UPDATE","True","Agent-Client"
"kg://graph","2025-05-30T13:21:56","read","UPDATE","True","MCP-Server"
"cache://memory","2025-08-28T09:14:12","write","QUERY","False","MCP-Server"
"cache://memory","2025-05-28T14:36:53","search","MERGE","True","Optimizer-Worker"
"db://interactions","2025-07-29T01:47:35","write","INSERT","False","Agent-Client"
"db://leads","2025-06-25T22:36:21","write","INSERT","False","Agent-Client"
"kg://graph","2025-07-06T16:48:00","read","QUERY","True","Agent-Client"
"db://campaigns","2025-06-06T05:42:02","read","UPDATE","True","Optimizer-Worker"
"analytics://events","2025-07-25T05:03:33","search","MERGE","True","MCP-Server"
"analytics://events","2025-08-08T00:48:07","search","UPSERT","False","MCP-Server"
"analytics://events","2025-05-04T01:18:46","read","UPDATE","True","MCP-Server"
"kg://graph","2025-05-17T00:42:41","consolidate","QUERY","True","Optimizer-Worker"
"kg://graph","2025-05-24T19:34:46","write","QUERY","True","MCP-Server"
"cache://memory","2025-08-16T06:11:40","consolidate","MERGE","False","Agent-Client"
"db://interactions","2025-05-19T18:47:32","search","QUERY","True","MCP-Server"
"cache://memory","2025-05-06T00:49:15","read","MERGE","True","Agent-Client"
"kg://graph","2025-07-25T17:55:13","write","UPSERT","True","Agent-Client"
"cache://memory","2025-07-22T10:54:35","consolidate","QUERY","True","MCP-Server"
"cache://memory","2025-08-02T15:00:57","write","UPDATE","True","MCP-Server"
"cache://memory","2025-05-22T16:16:03","read","UPSERT","True","Agent-Client"
"analytics://events","2025-06-04T14:14:05","consolidate","UPSERT","True","Optimizer-Worker"
"cache://memory","2025-05-22T07:41:24","search","UPSERT","False","Agent-Client"
"cache://memory","2025-06-23T21:32:40","consolidate","QUERY","True","Agent-Client"
"db://interactions","2025-06-05T18:59:39","search","UPDATE","True","MCP-Server"
"kg://graph","2025-05-23T17:08:11","search","MERGE","False","MCP-Server"
"analytics://events","2025-05-09T02:32:55","write","UPSERT","False","Optimizer-Worker"
"db://leads","2025-05-26T17:04:22","read","UPDATE","True","MCP-Server"
"db://interactions","2025-05-20T18:01:36","read","UPSERT","True","MCP-Server"
"cache://memory","2025-08-19T00:31:46","consolidate","QUERY","True","Optimizer-Worker"
"db://campaigns","2025-07-06T08:00:53","read","UPSERT","True","Agent-Client"
"kg://graph","2025-07-28T02:15:01","write","SELECT","True","Optimizer-Worker"
"kg://graph","2025-07-20T22:16:34","write","UPDATE","True","Agent-Client"
"db://campaigns","2025-05-30T08:17:08","search","QUERY","True","Agent-Client"
"cache://memory","2025-06-11T01:18:10","read","UPSERT","True","MCP-Server"
"db://interactions","2025-08-05T11:06:54","write","UPDATE","True","Optimizer-Worker"
"cache://memory","2025-05-27T00:43:50","write","UPSERT","True","MCP-Server"
"kg://graph","2025-06-05T07:10:59","consolidate","QUERY","True","Optimizer-Worker"
"db://campaigns","2025-07-27T00:05:53","search","QUERY","True","Agent-Client"
"db://campaigns","2025-07-14T22:57:48","read","QUERY","True","Agent-Client"
"cache://memory","2025-06-10T15:39:38","read","UPDATE","True","Optimizer-Worker"
"db://leads","2025-05-14T12:05:10","search","QUERY","False","Optimizer-Worker"
"db://campaigns","2025-07-24T12:46:25","search","UPSERT","True","Optimizer-Worker"
"db://interactions","2025-06-23T21:32:05","consolidate","SELECT","True","Agent-Client"
"kg://graph","2025-06-07T23:27:21","consolidate","INSERT","True","Agent-Client"
"db://leads","2025-08-02T10:53:35","read","MERGE","True","MCP-Server"
"cache://memory","2025-07-05T04:43:31","consolidate","SELECT","True","Agent-Client"
"db://campaigns","2025-05-02T03:09:46","consolidate","INSERT","True","Optimizer-Worker"
"db://leads","2025-06-12T21:10:05","search","UPSERT","False","MCP-Server"
"db://campaigns","2025-07-09T13:56:57","search","UPDATE","False","Optimizer-Worker"
"db://leads","2025-07-11T15:10:32","write","QUERY","True","Agent-Client"
"db://leads","2025-06-09T23:59:31","read","UPDATE","True","MCP-Server"
"kg://graph","2025-06-17T12:16:29","search","MERGE","True","Optimizer-Worker"
"db://leads","2025-07-17T16:47:02","search","UPSERT","False","Optimizer-Worker"
"analytics://events","2025-06-25T10:34:09","search","UPSERT","False","Agent-Client"
"kg://graph","2025-05-13T11:55:41","write","SELECT","False","MCP-Server"
"db://campaigns","2025-07-12T13:09:23","consolidate","UPSERT","True","Optimizer-Worker"
"db://interactions","2025-07-19T21:34:01","search","SELECT","False","MCP-Server"
"db://leads","2025-05-10T17:49:37","read","QUERY","True","MCP-Server"
"db://interactions","2025-07-29T03:36:30","write","UPDATE","True","Optimizer-Worker"
"kg://graph","2025-08-14T11:35:51","search","MERGE","False","Optimizer-Worker"
"db://campaigns","2025-06-27T11:58:26","consolidate","UPSERT","True","Agent-Client"
"db://interactions","2025-06-22T04:38:38","search","UPDATE","True","Optimizer-Worker"
"cache://memory","2025-07-16T21:45:39","search","INSERT","True","MCP-Server"
"db://interactions","2025-07-12T11:56:52","consolidate","UPSERT","True","Optimizer-Worker"
"db://leads","2025-05-18T22:07:38","read","MERGE","True","MCP-Server"
"db://interactions","2025-07-26T04:59:29","write","INSERT","True","Optimizer-Worker"
"kg://graph","2025-08-05T17:03:44","write","INSERT","True","Optimizer-Worker"
"db://leads","2025-05-27T23:37:00","write","UPDATE","True","MCP-Server"
"cache://memory","2025-07-21T04:46:43","consolidate","INSERT","False","Agent-Client"
"analytics://events","2025-08-09T06:27:43","read","UPSERT","True","MCP-Server"
"db://leads","2025-05-18T17:50:34","consolidate","MERGE","False","Optimizer-Worker"
"analytics://events","2025-05-14T04:32:10","search","SELECT","True","MCP-Server"
"kg://graph","2025-08-01T14:36:09","search","UPDATE","True","Optimizer-Worker"
"db://leads","2025-05-30T10:23:40","consolidate","SELECT","True","MCP-Server"
"cache://memory","2025-08-18T04:25:29","consolidate","UPDATE","True","Optimizer-Worker"
"db://campaigns","2025-07-23T17:51:38","consolidate","QUERY","True","MCP-Server"
"db://leads","2025-07-26T12:05:31","write","UPSERT","True","Agent-Client"
"db://leads","2025-07-04T16:42:30","write","QUERY","True","Optimizer-Worker"
"kg://graph","2025-07-08T10:37:34","search","SELECT","False","MCP-Server"
"kg://graph","2025-08-21T19:12:16","search","UPSERT","True","MCP-Server"
"analytics://events","2025-07-07T12:57:32","consolidate","INSERT","True","Agent-Client"
"kg://graph","2025-07-15T13:10:25","write","MERGE","False","Optimizer-Worker"
"kg://graph","2025-08-13T20:55:25","write","UPDATE","True","Optimizer-Worker"
"db://interactions","2025-07-31T05:05:30","search","UPSERT","True","MCP-Server"
"analytics://events","2025-07-05T15:35:01","write","QUERY","False","MCP-Server"
"db://leads","2025-07-16T04:17:33","read","UPDATE","True","Agent-Client"
"kg://graph","2025-08-13T16:47:39","read","QUERY","True","Agent-Client"
"db://interactions","2025-08-11T21:10:22","search","MERGE","False","Optimizer-Worker"
"db://leads","2025-07-18T17:07:45","write","SELECT","True","Optimizer-Worker"
"db://campaigns","2025-06-18T16:18:59","consolidate","MERGE","True","Optimizer-Worker"
"db://interactions","2025-08-10T01:21:34","read","SELECT","False","Optimizer-Worker"
"kg://graph","2025-06-18T17:48:28","consolidate","MERGE","True","Optimizer-Worker"
"db://leads","2025-07-23T18:48:28","consolidate","QUERY","True","Agent-Client"
"db://campaigns","2025-07-10T23:09:14","search","UPDATE","True","Agent-Client"
"db://interactions","2025-07-12T23:17:41","read","UPDATE","True","Optimizer-Worker"
"kg://graph","2025-07-28T01:47:17","write","UPSERT","True","Optimizer-Worker"
"db://interactions","2025-05-29T08:41:20","consolidate","SELECT","True","Optimizer-Worker"
"db://leads","2025-07-21T04:00:16","read","QUERY","False","Agent-Client"
"db://interactions","2025-05-15T11:17:11","write","SELECT","True","Optimizer-Worker"
"kg://graph","2025-08-13T04:28:06","write","UPDATE","False","Optimizer-Worker"
"kg://graph","2025-05-01T05:13:49","consolidate","MERGE","True","Agent-Client"
"analytics://events","2025-07-26T18:52:56","search","SELECT","True","MCP-Server"
"cache://memory","2025-08-16T02:54:19","read","UPSERT","True","Optimizer-Worker"
"cache://memory","2025-07-23T10:30:04","search","MERGE","True","Agent-Client"
"db://interactions","2025-08-05T12:56:39","consolidate","UPDATE","True","Optimizer-Worker"
"db://campaigns","2025-05-12T04:29:47","consolidate","INSERT","True","Optimizer-Worker"
"cache://memory","2025-06-28T06:31:31","search","SELECT","True","Agent-Client"
"db://interactions","2025-06-08T15:24:31","search","QUERY","True","MCP-Server"
"db://leads","2025-05-23T18:47:17","write","INSERT","True","MCP-Server"
"kg://graph","2025-06-13T10:20:42","consolidate","QUERY","False","Optimizer-Worker"
"kg://graph","2025-06-08T09:21:29","search","MERGE","True","Agent-Client"
"db://interactions","2025-06-06T10:54:19","write","INSERT","True","Optimizer-Worker"
"db://campaigns","2025-06-21T18:58:11","search","UPDATE","False","MCP-Server"
"cache://memory","2025-07-08T22:42:19","search","UPSERT","False","MCP-Server"
"db://interactions","2025-05-07T18:12:14","consolidate","UPDATE","True","MCP-Server"
"cache://memory","2025-08-13T20:04:11","write","INSERT","True","Optimizer-Worker"
"db://interactions","2025-06-24T03:53:29","write","INSERT","True","Agent-Client"
"analytics://events","2025-06-11T05:40:11","search","UPSERT","True","MCP-Server"
"analytics://events","2025-08-05T14:11:29","write","UPSERT","False","MCP-Server"
"kg://graph","2025-07-07T01:52:11","search","MERGE","True","Optimizer-Worker"
"db://interactions","2025-05-12T16:42:43","read","INSERT","True","Agent-Client"
"kg://graph","2025-05-14T00:05:00","write","UPSERT","True","Agent-Client"
"kg://graph","2025-07-27T02:18:46","read","MERGE","True","Agent-Client"
"kg://graph","2025-08-13T00:17:38","read","QUERY","True","Optimizer-Worker"
"db://interactions","2025-08-18T08:23:38","search","INSERT","False","Agent-Client"
"db://interactions","2025-07-22T22:19:05","consolidate","QUERY","True","MCP-Server"
"db://campaigns","2025-05-25T04:07:22","read","MERGE","True","Optimizer-Worker"
"db://leads","2025-05-26T03:10:42","write","UPSERT","True","MCP-Server"
"db://campaigns","2025-08-05T16:56:36","search","INSERT","False","Agent-Client"
"analytics://events","2025-06-02T20:10:03","search","INSERT","True","Agent-Client"
"cache://memory","2025-06-13T22:05:20","write","INSERT","False","Agent-Client"
"db://campaigns","2025-07-26T08:34:22","search","INSERT","True","Agent-Client"
