"campaign_id","date","impressions","clicks","ctr","leads_created","conversions","cost_usd","revenue_usd","cpl_usd","roas"
"CMP0003","2025-07-19T00:00:00","2429","72","0.0296","7","1","88.97","185.13","12.71","2.08"
"CMP0003","2025-07-20T00:00:00","2400","74","0.0308","11","0","30.38","0.0","2.76","0.0"
"CMP0003","2025-07-21T00:00:00","1785","52","0.0291","9","0","49.49","0.0","5.5","0.0"
"CMP0003","2025-07-22T00:00:00","1028","37","0.036","9","1","13.01","229.88","1.45","17.67"
"CMP0003","2025-07-23T00:00:00","1816","63","0.0347","9","0","37.96","0.0","4.22","0.0"
"CMP0003","2025-07-24T00:00:00","480","23","0.0479","4","0","8.58","0.0","2.15","0.0"
"CMP0003","2025-07-25T00:00:00","1331","43","0.0323","11","2","160.77","741.17","14.62","4.61"
"CMP0003","2025-07-26T00:00:00","1866","54","0.0289","10","1","70.02","51.93","7.0","0.74"
"CMP0004","2025-08-13T00:00:00","2156","57","0.0264","8","2","120.37","365.87","15.05","3.04"
"CMP0004","2025-08-14T00:00:00","3834","96","0.025","18","4","27.47","1211.23","1.53","44.09"
"CMP0004","2025-08-15T00:00:00","2501","78","0.0312","19","6","38.36","1694.99","2.02","44.19"
"CMP0004","2025-08-16T00:00:00","1199","48","0.04","11","3","42.37","262.89","3.85","6.2"
"CMP0004","2025-08-17T00:00:00","2861","74","0.0259","8","1","85.89","224.08","10.74","2.61"
"CMP0004","2025-08-18T00:00:00","2809","82","0.0292","17","2","115.52","313.62","6.8","2.71"
"CMP0004","2025-08-19T00:00:00","2801","88","0.0314","17","3","73.7","476.41","4.34","6.46"
"CMP0004","2025-08-20T00:00:00","1162","35","0.0301","9","1","150.0","396.14","16.67","2.64"
"CMP0004","2025-08-21T00:00:00","792","25","0.0316","3","1","120.32","104.44","40.11","0.87"
"CMP0005","2025-05-16T00:00:00","1961","63","0.0321","8","0","24.02","0.0","3.0","0.0"
"CMP0005","2025-05-17T00:00:00","2764","83","0.03","18","4","3.52","1053.63","0.2","299.33"
"CMP0005","2025-05-18T00:00:00","1506","61","0.0405","15","2","59.46","142.35","3.96","2.39"
"CMP0005","2025-05-19T00:00:00","1024","34","0.0332","3","0","100.83","0.0","33.61","0.0"
"CMP0005","2025-05-20T00:00:00","1798","49","0.0273","9","1","47.65","82.05","5.29","1.72"
"CMP0005","2025-05-21T00:00:00","48","3","0.0625","0","0","167.34","0.0","","0.0"
"CMP0005","2025-05-22T00:00:00","3580","111","0.031","21","2","83.5","403.4","3.98","4.83"
"CMP0005","2025-05-23T00:00:00","2106","60","0.0285","10","1","177.31","55.91","17.73","0.32"
"CMP0005","2025-05-24T00:00:00","3141","86","0.0274","19","5","11.42","1271.81","0.6","111.37"
"CMP0005","2025-05-25T00:00:00","2310","64","0.0277","15","4","90.09","1272.6","6.01","14.13"
"CMP0005","2025-05-26T00:00:00","2839","88","0.031","17","3","15.73","856.64","0.93","54.46"
"CMP0005","2025-05-27T00:00:00","2459","89","0.0362","20","4","60.86","1222.38","3.04","20.09"
"CMP0005","2025-05-28T00:00:00","3356","116","0.0346","33","7","204.59","2341.01","6.2","11.44"
"CMP0005","2025-05-29T00:00:00","3010","94","0.0312","17","4","39.37","1130.92","2.32","28.73"
"CMP0005","2025-05-30T00:00:00","2085","57","0.0273","12","0","105.51","0.0","8.79","0.0"
"CMP0005","2025-05-31T00:00:00","87","3","0.0345","1","0","58.41","0.0","58.41","0.0"
"CMP0005","2025-06-01T00:00:00","2316","74","0.032","12","0","30.92","0.0","2.58","0.0"
"CMP0005","2025-06-02T00:00:00","2241","51","0.0228","14","1","116.03","368.2","8.29","3.17"
"CMP0005","2025-06-03T00:00:00","2926","98","0.0335","29","12","60.88","1009.47","2.1","16.58"
"CMP0005","2025-06-04T00:00:00","2495","71","0.0285","7","1","74.9","298.48","10.7","3.99"
"CMP0005","2025-06-05T00:00:00","2030","57","0.0281","9","0","26.26","0.0","2.92","0.0"
"CMP0005","2025-06-06T00:00:00","2558","69","0.027","12","2","37.4","655.23","3.12","17.52"
"CMP0005","2025-06-07T00:00:00","1863","62","0.0333","10","3","67.88","759.55","6.79","11.19"
"CMP0005","2025-06-08T00:00:00","2243","65","0.029","8","2","18.21","570.25","2.28","31.32"
"CMP0005","2025-06-09T00:00:00","1424","49","0.0344","13","1","109.7","106.57","8.44","0.97"
"CMP0005","2025-06-10T00:00:00","2437","76","0.0312","19","1","30.2","217.12","1.59","7.19"
"CMP0005","2025-06-11T00:00:00","989","28","0.0283","5","1","25.04","232.37","5.01","9.28"
"CMP0005","2025-06-12T00:00:00","915","26","0.0284","5","2","144.74","709.4","28.95","4.9"
"CMP0005","2025-06-13T00:00:00","2126","58","0.0273","10","1","73.69","397.79","7.37","5.4"
"CMP0005","2025-06-14T00:00:00","1170","27","0.0231","7","1","21.03","244.34","3.0","11.62"
"CMP0005","2025-06-15T00:00:00","1523","50","0.0328","9","2","151.07","110.95","16.79","0.73"
"CMP0005","2025-06-16T00:00:00","2306","66","0.0286","13","2","160.98","589.18","12.38","3.66"
"CMP0005","2025-06-17T00:00:00","650","17","0.0262","4","0","29.14","0.0","7.29","0.0"
"CMP0005","2025-06-18T00:00:00","2073","74","0.0357","18","0","35.42","0.0","1.97","0.0"
"CMP0005","2025-06-19T00:00:00","2312","63","0.0272","9","0","49.4","0.0","5.49","0.0"
"CMP0005","2025-06-20T00:00:00","3389","95","0.028","17","3","59.2","1049.86","3.48","17.73"
"CMP0005","2025-06-21T00:00:00","1847","49","0.0265","12","2","15.84","434.78","1.32","27.45"
"CMP0005","2025-06-22T00:00:00","2646","78","0.0295","16","2","72.33","312.55","4.52","4.32"
"CMP0005","2025-06-23T00:00:00","1897","50","0.0264","12","3","149.04","659.53","12.42","4.43"
"CMP0005","2025-06-24T00:00:00","1768","46","0.026","6","3","23.04","491.35","3.84","21.33"
"CMP0005","2025-06-25T00:00:00","2529","76","0.0301","15","3","145.37","287.36","9.69","1.98"
"CMP0005","2025-06-26T00:00:00","2604","62","0.0238","9","2","24.94","718.83","2.77","28.82"
"CMP0005","2025-06-27T00:00:00","1763","56","0.0318","13","1","30.17","206.86","2.32","6.86"
"CMP0005","2025-06-28T00:00:00","2073","51","0.0246","13","1","62.44","182.56","4.8","2.92"
"CMP0005","2025-06-29T00:00:00","2386","70","0.0293","9","2","110.73","471.68","12.3","4.26"
"CMP0005","2025-06-30T00:00:00","1324","37","0.0279","10","2","33.61","144.86","3.36","4.31"
"CMP0005","2025-07-01T00:00:00","1965","54","0.0275","13","3","113.89","317.85","8.76","2.79"
"CMP0005","2025-07-02T00:00:00","2857","82","0.0287","18","6","25.55","714.99","1.42","27.98"
"CMP0005","2025-07-03T00:00:00","1935","43","0.0222","8","2","16.31","399.35","2.04","24.48"
"CMP0005","2025-07-04T00:00:00","1741","61","0.035","12","4","79.87","1348.98","6.66","16.89"
"CMP0005","2025-07-05T00:00:00","2866","116","0.0405","21","4","71.99","932.32","3.43","12.95"
"CMP0005","2025-07-06T00:00:00","2810","68","0.0242","10","2","71.65","709.97","7.17","9.91"
"CMP0005","2025-07-07T00:00:00","1341","45","0.0336","14","3","25.15","434.96","1.8","17.29"
"CMP0006","2025-06-03T00:00:00","2779","79","0.0284","18","2","12.87","588.96","0.71","45.76"
"CMP0006","2025-06-04T00:00:00","210","7","0.0333","2","0","135.22","0.0","67.61","0.0"
"CMP0006","2025-06-05T00:00:00","2301","63","0.0274","20","4","131.84","1488.56","6.59","11.29"
"CMP0006","2025-06-06T00:00:00","1291","38","0.0294","6","3","77.06","384.06","12.84","4.98"
"CMP0006","2025-06-07T00:00:00","1284","36","0.028","6","0","68.22","0.0","11.37","0.0"
"CMP0006","2025-06-08T00:00:00","1579","42","0.0266","14","2","47.66","454.35","3.4","9.53"
"CMP0006","2025-06-09T00:00:00","1701","50","0.0294","8","1","66.0","185.64","8.25","2.81"
"CMP0006","2025-06-10T00:00:00","1075","35","0.0326","9","2","42.0","561.65","4.67","13.37"
"CMP0006","2025-06-11T00:00:00","1865","48","0.0257","12","1","85.26","357.08","7.11","4.19"
"CMP0006","2025-06-12T00:00:00","1174","28","0.0239","5","1","54.14","83.39","10.83","1.54"
"CMP0006","2025-06-13T00:00:00","2704","72","0.0266","14","2","31.23","376.84","2.23","12.07"
"CMP0006","2025-06-14T00:00:00","1860","67","0.036","13","1","23.18","323.9","1.78","13.97"
"CMP0006","2025-06-15T00:00:00","1730","48","0.0277","9","1","133.94","366.26","14.88","2.73"
"CMP0006","2025-06-16T00:00:00","3190","88","0.0276","19","3","31.69","753.23","1.67","23.77"
"CMP0006","2025-06-17T00:00:00","1753","46","0.0262","12","0","32.05","0.0","2.67","0.0"
"CMP0006","2025-06-18T00:00:00","1052","35","0.0333","9","0","136.46","0.0","15.16","0.0"
"CMP0006","2025-06-19T00:00:00","2417","63","0.0261","13","2","24.58","327.69","1.89","13.33"
"CMP0006","2025-06-20T00:00:00","2215","74","0.0334","16","4","61.74","817.4","3.86","13.24"
"CMP0006","2025-06-21T00:00:00","2132","61","0.0286","14","1","88.99","57.02","6.36","0.64"
"CMP0006","2025-06-22T00:00:00","3424","98","0.0286","23","2","24.75","563.57","1.08","22.77"
"CMP0006","2025-06-23T00:00:00","2427","74","0.0305","12","0","70.65","0.0","5.89","0.0"
"CMP0006","2025-06-24T00:00:00","2056","58","0.0282","10","2","33.31","767.12","3.33","23.03"
"CMP0006","2025-06-25T00:00:00","2601","81","0.0311","12","2","225.32","510.85","18.78","2.27"
"CMP0006","2025-06-26T00:00:00","1724","46","0.0267","11","4","17.98","1018.89","1.63","56.67"
"CMP0006","2025-06-27T00:00:00","2031","52","0.0256","7","2","96.4","377.46","13.77","3.92"
"CMP0006","2025-06-28T00:00:00","2711","92","0.0339","21","3","72.41","525.17","3.45","7.25"
"CMP0006","2025-06-29T00:00:00","2228","66","0.0296","10","1","21.18","274.88","2.12","12.98"
"CMP0006","2025-06-30T00:00:00","2221","63","0.0284","13","1","88.16","185.2","6.78","2.1"
"CMP0006","2025-07-01T00:00:00","1452","43","0.0296","9","2","142.63","681.66","15.85","4.78"
"CMP0006","2025-07-02T00:00:00","3085","80","0.0259","20","6","43.6","1082.23","2.18","24.82"
"CMP0006","2025-07-03T00:00:00","3469","119","0.0343","21","1","97.38","177.84","4.64","1.83"
"CMP0006","2025-07-04T00:00:00","2385","72","0.0302","14","3","14.05","734.86","1.0","52.3"
"CMP0006","2025-07-05T00:00:00","1300","36","0.0277","6","1","24.64","77.24","4.11","3.13"
"CMP0006","2025-07-06T00:00:00","876","22","0.0251","4","0","63.41","0.0","15.85","0.0"
"CMP0006","2025-07-07T00:00:00","708","25","0.0353","7","0","92.31","0.0","13.19","0.0"
"CMP0006","2025-07-08T00:00:00","2486","81","0.0326","19","5","80.42","1356.74","4.23","16.87"
"CMP0006","2025-07-09T00:00:00","2046","62","0.0303","11","1","103.73","331.4","9.43","3.19"
"CMP0006","2025-07-10T00:00:00","625","20","0.032","3","1","48.92","397.19","16.31","8.12"
"CMP0006","2025-07-11T00:00:00","2241","64","0.0286","12","2","206.84","343.31","17.24","1.66"
"CMP0006","2025-07-12T00:00:00","2012","64","0.0318","7","1","104.62","357.59","14.95","3.42"
"CMP0006","2025-07-13T00:00:00","1997","67","0.0336","14","1","76.86","394.04","5.49","5.13"
"CMP0006","2025-07-14T00:00:00","3001","108","0.036","24","3","16.02","208.1","0.67","12.99"
"CMP0006","2025-07-15T00:00:00","2288","72","0.0315","9","2","70.84","779.22","7.87","11.0"
"CMP0006","2025-07-16T00:00:00","1385","36","0.026","8","2","134.26","267.8","16.78","1.99"
"CMP0006","2025-07-17T00:00:00","1480","52","0.0351","8","0","72.01","0.0","9.0","0.0"
"CMP0006","2025-07-18T00:00:00","1688","48","0.0284","6","1","127.95","63.47","21.32","0.5"
"CMP0006","2025-07-19T00:00:00","1818","62","0.0341","12","1","103.85","154.8","8.65","1.49"
"CMP0006","2025-07-20T00:00:00","2099","71","0.0338","17","5","195.35","1160.07","11.49","5.94"
"CMP0006","2025-07-21T00:00:00","2205","63","0.0286","15","0","18.68","0.0","1.25","0.0"
"CMP0006","2025-07-22T00:00:00","1479","51","0.0345","12","1","90.76","143.81","7.56","1.58"
"CMP0006","2025-07-23T00:00:00","1337","31","0.0232","10","2","48.95","737.35","4.9","15.06"
"CMP0006","2025-07-24T00:00:00","2627","76","0.0289","20","4","25.13","312.75","1.26","12.45"
"CMP0006","2025-07-25T00:00:00","2301","61","0.0265","8","1","158.69","166.58","19.84","1.05"
"CMP0006","2025-07-26T00:00:00","1589","54","0.034","13","4","79.17","1435.87","6.09","18.14"
"CMP0006","2025-07-27T00:00:00","1888","61","0.0323","10","1","131.5","213.75","13.15","1.63"
"CMP0006","2025-07-28T00:00:00","1000","48","0.048","10","2","84.5","363.32","8.45","4.3"
"CMP0006","2025-07-29T00:00:00","739","23","0.0311","4","0","45.96","0.0","11.49","0.0"
"CMP0006","2025-07-30T00:00:00","1306","43","0.0329","9","0","85.34","0.0","9.48","0.0"
"CMP0006","2025-07-31T00:00:00","2024","68","0.0336","16","1","40.48","355.57","2.53","8.78"
"CMP0006","2025-08-01T00:00:00","0","0","0.0","0","0","52.85","0.0","","0.0"
"CMP0007","2025-07-01T00:00:00","2841","79","0.0278","13","2","5.34","678.97","0.41","127.15"
"CMP0007","2025-07-02T00:00:00","2850","78","0.0274","17","2","98.12","461.94","5.77","4.71"
"CMP0007","2025-07-03T00:00:00","2494","68","0.0273","15","1","153.38","56.35","10.23","0.37"
"CMP0007","2025-07-04T00:00:00","1787","43","0.0241","7","2","62.85","310.73","8.98","4.94"
"CMP0007","2025-07-05T00:00:00","1672","52","0.0311","14","0","60.34","0.0","4.31","0.0"
"CMP0007","2025-07-06T00:00:00","1472","47","0.0319","13","3","34.11","155.93","2.62","4.57"
"CMP0007","2025-07-07T00:00:00","3392","108","0.0318","18","3","10.7","1007.7","0.59","94.18"
"CMP0007","2025-07-08T00:00:00","1919","56","0.0292","7","1","24.68","219.0","3.53","8.87"
"CMP0007","2025-07-09T00:00:00","1523","54","0.0355","11","3","41.96","1194.7","3.81","28.47"
"CMP0007","2025-07-10T00:00:00","1976","60","0.0304","6","0","19.58","0.0","3.26","0.0"
"CMP0007","2025-07-11T00:00:00","2021","69","0.0341","11","2","111.64","545.65","10.15","4.89"
"CMP0007","2025-07-12T00:00:00","1875","54","0.0288","13","3","16.47","1062.05","1.27","64.48"
"CMP0007","2025-07-13T00:00:00","1916","59","0.0308","12","0","179.71","0.0","14.98","0.0"
"CMP0007","2025-07-14T00:00:00","2285","61","0.0267","15","0","23.7","0.0","1.58","0.0"
"CMP0007","2025-07-15T00:00:00","2500","72","0.0288","13","4","44.3","1151.79","3.41","26.0"
"CMP0007","2025-07-16T00:00:00","3264","89","0.0273","13","0","109.39","0.0","8.41","0.0"
"CMP0007","2025-07-17T00:00:00","1806","57","0.0316","9","0","96.28","0.0","10.7","0.0"
"CMP0007","2025-07-18T00:00:00","2181","64","0.0293","13","4","26.48","1317.67","2.04","49.76"
"CMP0007","2025-07-19T00:00:00","4829","142","0.0294","29","4","315.81","1589.05","10.89","5.03"
"CMP0007","2025-07-20T00:00:00","3033","100","0.033","26","5","63.62","1886.39","2.45","29.65"
"CMP0007","2025-07-21T00:00:00","2163","69","0.0319","13","0","41.8","0.0","3.22","0.0"
"CMP0007","2025-07-22T00:00:00","3079","86","0.0279","17","3","16.15","497.59","0.95","30.81"
"CMP0007","2025-07-23T00:00:00","2002","55","0.0275","11","1","47.66","238.78","4.33","5.01"
"CMP0007","2025-07-24T00:00:00","1948","63","0.0323","12","1","54.4","170.68","4.53","3.14"
"CMP0007","2025-07-25T00:00:00","1740","46","0.0264","7","0","79.31","0.0","11.33","0.0"
"CMP0007","2025-07-26T00:00:00","2228","57","0.0256","19","2","118.57","686.17","6.24","5.79"
"CMP0007","2025-07-27T00:00:00","965","28","0.029","4","0","63.64","0.0","15.91","0.0"
"CMP0007","2025-07-28T00:00:00","1996","73","0.0366","15","3","36.33","286.78","2.42","7.89"
"CMP0007","2025-07-29T00:00:00","575","15","0.0261","2","0","50.81","0.0","25.41","0.0"
"CMP0007","2025-07-30T00:00:00","2086","64","0.0307","18","5","11.07","1087.37","0.61","98.23"
"CMP0007","2025-07-31T00:00:00","1361","41","0.0301","10","0","95.37","0.0","9.54","0.0"
"CMP0007","2025-08-01T00:00:00","1893","54","0.0285","8","1","30.84","167.37","3.85","5.43"
"CMP0007","2025-08-02T00:00:00","2088","65","0.0311","6","1","65.22","219.76","10.87","3.37"
"CMP0007","2025-08-03T00:00:00","1778","48","0.027","13","2","139.47","326.02","10.73","2.34"
"CMP0007","2025-08-04T00:00:00","3156","71","0.0225","15","2","98.48","283.72","6.57","2.88"
"CMP0007","2025-08-05T00:00:00","2377","68","0.0286","17","2","104.27","220.54","6.13","2.12"
"CMP0007","2025-08-06T00:00:00","1252","38","0.0304","10","0","58.77","0.0","5.88","0.0"
"CMP0007","2025-08-07T00:00:00","3336","94","0.0282","17","1","157.99","183.61","9.29","1.16"
"CMP0007","2025-08-08T00:00:00","2499","68","0.0272","10","1","98.87","55.84","9.89","0.56"
"CMP0007","2025-08-09T00:00:00","2273","77","0.0339","16","6","94.54","1383.2","5.91","14.63"
"CMP0007","2025-08-10T00:00:00","1720","56","0.0326","5","0","69.54","0.0","13.91","0.0"
"CMP0007","2025-08-11T00:00:00","1336","43","0.0322","8","2","58.24","741.05","7.28","12.72"
"CMP0007","2025-08-12T00:00:00","2566","77","0.03","13","1","58.72","223.81","4.52","3.81"
"CMP0007","2025-08-13T00:00:00","2071","61","0.0295","13","0","110.92","0.0","8.53","0.0"
"CMP0007","2025-08-14T00:00:00","767","21","0.0274","4","1","62.59","101.34","15.65","1.62"
"CMP0007","2025-08-15T00:00:00","1792","43","0.024","8","1","85.98","305.15","10.75","3.55"
"CMP0007","2025-08-16T00:00:00","1936","54","0.0279","10","2","20.06","528.62","2.01","26.35"
"CMP0008","2025-08-13T00:00:00","1719","43","0.025","10","1","5.37","248.77","0.54","46.33"
"CMP0008","2025-08-14T00:00:00","3378","97","0.0287","22","2","23.58","716.87","1.07","30.4"
"CMP0008","2025-08-15T00:00:00","937","26","0.0277","4","1","50.65","191.81","12.66","3.79"
"CMP0008","2025-08-16T00:00:00","1278","39","0.0305","7","0","57.93","0.0","8.28","0.0"
"CMP0008","2025-08-17T00:00:00","2249","67","0.0298","16","2","42.05","140.32","2.63","3.34"
"CMP0008","2025-08-18T00:00:00","1789","59","0.033","19","5","179.11","966.39","9.43","5.4"
"CMP0008","2025-08-19T00:00:00","1577","42","0.0266","6","1","59.75","131.14","9.96","2.19"
"CMP0008","2025-08-20T00:00:00","811","23","0.0284","2","0","111.24","0.0","55.62","0.0"
"CMP0008","2025-08-21T00:00:00","2660","82","0.0308","21","3","272.7","429.66","12.99","1.58"
"CMP0008","2025-08-22T00:00:00","1516","38","0.0251","6","1","89.65","373.54","14.94","4.17"
"CMP0008","2025-08-23T00:00:00","2783","58","0.0208","12","1","27.16","355.17","2.26","13.08"
"CMP0009","2025-07-21T00:00:00","953","26","0.0273","5","0","76.45","0.0","15.29","0.0"
"CMP0009","2025-07-22T00:00:00","1290","39","0.0302","13","2","26.31","676.06","2.02","25.7"
"CMP0009","2025-07-23T00:00:00","611","11","0.018","3","0","14.87","0.0","4.96","0.0"
"CMP0009","2025-07-24T00:00:00","2962","89","0.03","11","4","34.93","758.14","3.18","21.7"
"CMP0009","2025-07-25T00:00:00","1539","55","0.0357","14","2","28.67","466.09","2.05","16.26"
"CMP0009","2025-07-26T00:00:00","2795","93","0.0333","28","8","15.81","812.92","0.56","51.42"
"CMP0009","2025-07-27T00:00:00","1261","42","0.0333","7","2","59.27","228.21","8.47","3.85"
"CMP0009","2025-07-28T00:00:00","2438","76","0.0312","14","2","51.2","290.54","3.66","5.67"
"CMP0009","2025-07-29T00:00:00","2112","63","0.0298","12","2","94.84","408.4","7.9","4.31"
"CMP0009","2025-07-30T00:00:00","2085","72","0.0345","9","3","145.84","1055.55","16.2","7.24"
"CMP0009","2025-07-31T00:00:00","2949","79","0.0268","14","4","22.68","891.17","1.62","39.29"
"CMP0009","2025-08-01T00:00:00","2180","78","0.0358","16","4","93.23","1257.14","5.83","13.48"
"CMP0009","2025-08-02T00:00:00","2395","58","0.0242","10","4","7.71","555.54","0.77","72.05"
"CMP0009","2025-08-03T00:00:00","1937","55","0.0284","10","3","26.59","273.47","2.66","10.28"
"CMP0009","2025-08-04T00:00:00","545","18","0.033","8","1","30.41","254.11","3.8","8.36"
"CMP0009","2025-08-05T00:00:00","1482","44","0.0297","8","2","146.01","705.14","18.25","4.83"
"CMP0009","2025-08-06T00:00:00","2429","89","0.0366","17","2","53.45","657.49","3.14","12.3"
"CMP0009","2025-08-07T00:00:00","1112","38","0.0342","7","2","46.33","359.51","6.62","7.76"
"CMP0009","2025-08-08T00:00:00","1175","45","0.0383","9","0","76.29","0.0","8.48","0.0"
"CMP0009","2025-08-09T00:00:00","1332","38","0.0285","7","2","75.85","576.6","10.84","7.6"
"CMP0009","2025-08-10T00:00:00","2350","67","0.0285","14","2","103.15","664.54","7.37","6.44"
"CMP0009","2025-08-11T00:00:00","1926","71","0.0369","15","1","47.56","224.18","3.17","4.71"
"CMP0009","2025-08-12T00:00:00","3789","108","0.0285","16","1","85.45","86.65","5.34","1.01"
"CMP0009","2025-08-13T00:00:00","2659","90","0.0338","18","1","50.36","175.67","2.8","3.49"
"CMP0009","2025-08-14T00:00:00","2118","75","0.0354","16","0","45.75","0.0","2.86","0.0"
"CMP0009","2025-08-15T00:00:00","1536","47","0.0306","12","1","52.76","233.3","4.4","4.42"
"CMP0009","2025-08-16T00:00:00","1881","60","0.0319","7","1","54.46","88.42","7.78","1.62"
"CMP0009","2025-08-17T00:00:00","768","18","0.0234","4","0","32.61","0.0","8.15","0.0"
"CMP0009","2025-08-18T00:00:00","2876","86","0.0299","21","4","40.7","969.22","1.94","23.81"
"CMP0009","2025-08-19T00:00:00","829","32","0.0386","5","0","107.43","0.0","21.49","0.0"
