"rpc_id","timestamp","transport","method","params_bytes","duration_ms","status_code","source_agent_type","target_resource"
"RPC000024","2025-06-19T12:42:29","HTTP","storeMemory","3809","804","401","Optimizer","db://leads"
"RPC000025","2025-05-11T20:28:13","HTTP","recommendAction","4773","918","500","LeadTriage","db://leads"
"RPC000026","2025-07-22T00:19:44","HTTP","searchGraph","3845","879","400","Optimizer","db://interactions"
"RPC000027","2025-06-11T03:53:47","WebSocket","recommendAction","474","213","200","Optimizer","db://leads"
"RPC000028","2025-08-08T00:51:02","HTTP","consolidateMemory","1748","1421","401","Optimizer","kg://graph"
"RPC000029","2025-07-13T06:17:54","WebSocket","optimizeCampaign","1699","480","500","Optimizer","analytics://events"
"RPC000030","2025-07-01T07:08:23","WebSocket","recommendAction","3457","1228","200","Optimizer","db://interactions"
"RPC000031","2025-08-02T06:30:52","HTTP","trackEvent","457","1383","200","LeadTriage","cache://memory"
"RPC000032","2025-06-10T22:48:04","WebSocket","searchGraph","796","94","200","LeadTriage","analytics://events"
"RPC000033","2025-06-28T03:47:53","WebSocket","updateLead","2370","1079","400","Optimizer","analytics://events"
"RPC000034","2025-05-02T04:58:11","HTTP","storeMemory","3530","1374","403","LeadTriage","db://interactions"
"RPC000035","2025-07-20T06:44:29","HTTP","recommendAction","4323","442","200","LeadTriage","cache://memory"
"RPC000036","2025-08-13T19:28:00","HTTP","consolidateMemory","3747","64","200","Engagement","db://interactions"
"RPC000037","2025-07-12T12:18:54","HTTP","optimizeCampaign","2190","199","200","LeadTriage","kg://graph"
"RPC000038","2025-05-17T12:15:01","WebSocket","getLead","935","749","200","LeadTriage","db://interactions"
"RPC000039","2025-06-28T05:22:03","WebSocket","consolidateMemory","2754","703","500","Engagement","kg://graph"
"RPC000040","2025-07-15T13:59:30","HTTP","fetchMemory","2492","663","403","Engagement","db://interactions"
"RPC000041","2025-07-12T01:58:22","WebSocket","storeMemory","4889","897","401","Engagement","cache://memory"
"RPC000042","2025-07-13T15:43:49","WebSocket","optimizeCampaign","1749","1330","400","Engagement","db://interactions"
"RPC000043","2025-05-04T02:14:21","HTTP","consolidateMemory","630","1368","400","Optimizer","analytics://events"
"RPC000044","2025-06-08T05:35:47","HTTP","trackEvent","3709","1184","200","LeadTriage","cache://memory"
"RPC000045","2025-07-10T18:17:45","HTTP","recommendAction","3744","365","500","LeadTriage","cache://memory"
"RPC000046","2025-06-22T17:38:38","HTTP","recommendAction","2096","1274","200","Optimizer","db://leads"
"RPC000047","2025-05-28T22:28:47","WebSocket","searchGraph","4287","1429","403","LeadTriage","cache://memory"
"RPC000048","2025-07-04T12:25:51","WebSocket","trackEvent","4154","1137","200","Engagement","kg://graph"
"RPC000049","2025-06-03T01:10:32","HTTP","updateLead","4101","804","200","Optimizer","kg://graph"
"RPC000050","2025-08-26T11:23:26","WebSocket","fetchMemory","1991","1009","500","Engagement","kg://graph"
"RPC000051","2025-07-10T13:55:32","HTTP","trackEvent","4328","565","500","Engagement","analytics://events"
"RPC000052","2025-06-17T05:14:58","HTTP","getLead","755","438","200","LeadTriage","kg://graph"
"RPC000053","2025-06-05T10:07:11","WebSocket","trackEvent","1565","1006","200","LeadTriage","db://leads"
"RPC000054","2025-08-19T22:36:05","HTTP","recommendAction","4768","1276","200","LeadTriage","kg://graph"
"RPC000055","2025-06-07T10:16:07","HTTP","updateLead","1968","721","200","Optimizer","cache://memory"
"RPC000056","2025-08-16T03:10:36","WebSocket","searchGraph","1383","108","200","Engagement","db://interactions"
"RPC000057","2025-06-01T18:33:12","HTTP","trackEvent","2738","1273","403","LeadTriage","db://leads"
"RPC000058","2025-05-14T05:04:40","WebSocket","optimizeCampaign","2416","265","500","LeadTriage","analytics://events"
"RPC000059","2025-07-31T01:32:25","HTTP","optimizeCampaign","2791","567","401","Engagement","kg://graph"
"RPC000060","2025-06-20T05:58:15","WebSocket","trackEvent","1486","62","200","Engagement","db://leads"
"RPC000061","2025-05-18T10:37:01","WebSocket","getLead","4376","419","500","LeadTriage","kg://graph"
"RPC000062","2025-08-25T22:26:30","HTTP","optimizeCampaign","2376","602","403","LeadTriage","db://leads"
"RPC000063","2025-06-15T17:35:23","WebSocket","trackEvent","2769","366","200","Optimizer","kg://graph"
"RPC000064","2025-08-07T01:03:52","WebSocket","storeMemory","4696","92","401","LeadTriage","db://interactions"
"RPC000065","2025-07-18T02:38:15","WebSocket","fetchMemory","3640","200","403","LeadTriage","db://leads"
"RPC000066","2025-07-19T19:51:52","HTTP","getLead","1288","474","200","Engagement","cache://memory"
"RPC000067","2025-07-28T23:00:09","HTTP","consolidateMemory","4182","1202","401","LeadTriage","cache://memory"
"RPC000068","2025-07-29T11:22:02","WebSocket","storeMemory","2432","207","200","Optimizer","db://interactions"
"RPC000069","2025-05-07T18:41:06","HTTP","trackEvent","558","1003","200","Engagement","cache://memory"
"RPC000070","2025-08-26T18:36:56","HTTP","trackEvent","1359","229","200","Optimizer","analytics://events"
"RPC000071","2025-05-13T03:43:50","HTTP","consolidateMemory","501","127","401","LeadTriage","db://interactions"
"RPC000072","2025-05-08T12:52:40","WebSocket","trackEvent","2465","972","400","Engagement","db://interactions"
"RPC000073","2025-06-11T22:35:19","HTTP","storeMemory","2559","673","401","Engagement","kg://graph"
"RPC000074","2025-06-16T15:50:03","HTTP","recommendAction","3980","67","200","Optimizer","db://interactions"
"RPC000075","2025-06-02T12:34:00","WebSocket","recommendAction","4004","1437","403","LeadTriage","db://interactions"
"RPC000076","2025-06-08T12:40:51","WebSocket","searchGraph","4504","449","401","LeadTriage","analytics://events"
"RPC000077","2025-05-03T00:44:59","HTTP","trackEvent","777","1091","401","Engagement","kg://graph"
"RPC000078","2025-06-03T19:16:31","HTTP","recommendAction","4855","137","500","Optimizer","db://interactions"
"RPC000079","2025-06-12T13:42:45","HTTP","trackEvent","649","85","400","Engagement","analytics://events"
"RPC000080","2025-05-21T11:55:46","WebSocket","updateLead","2719","426","200","LeadTriage","analytics://events"
"RPC000081","2025-05-23T04:14:08","WebSocket","storeMemory","4890","112","500","Optimizer","db://interactions"
"RPC000082","2025-06-21T03:34:38","HTTP","consolidateMemory","1095","13","200","Engagement","db://interactions"
"RPC000083","2025-05-29T12:34:33","WebSocket","recommendAction","1506","72","401","LeadTriage","kg://graph"
"RPC000084","2025-08-21T23:08:01","HTTP","storeMemory","3391","1436","200","Optimizer","analytics://events"
"RPC000085","2025-06-09T07:35:55","WebSocket","optimizeCampaign","2325","46","200","Engagement","kg://graph"
"RPC000086","2025-05-12T04:16:28","WebSocket","searchGraph","2968","404","400","Engagement","db://leads"
"RPC000087","2025-07-06T03:07:26","HTTP","searchGraph","1068","1487","400","LeadTriage","db://leads"
"RPC000088","2025-08-22T12:38:55","HTTP","searchGraph","2093","705","500","Engagement","db://interactions"
"RPC000089","2025-05-31T20:18:00","HTTP","consolidateMemory","4186","980","200","Engagement","cache://memory"
"RPC000090","2025-05-10T20:22:26","WebSocket","updateLead","644","583","401","Engagement","cache://memory"
"RPC000091","2025-05-15T20:14:10","HTTP","recommendAction","494","530","200","Optimizer","cache://memory"
"RPC000092","2025-07-05T13:01:00","HTTP","getLead","3180","1095","200","Engagement","analytics://events"
"RPC000093","2025-06-29T05:38:39","WebSocket","updateLead","4182","1293","200","Engagement","analytics://events"
"RPC000094","2025-05-16T14:07:26","HTTP","fetchMemory","3198","1244","200","LeadTriage","db://leads"
"RPC000095","2025-05-07T17:44:37","HTTP","updateLead","819","1085","401","Optimizer","db://leads"
"RPC000096","2025-07-09T06:05:10","WebSocket","fetchMemory","588","230","500","Engagement","db://interactions"
"RPC000097","2025-05-25T10:10:22","HTTP","storeMemory","4697","547","200","Optimizer","cache://memory"
"RPC000098","2025-05-03T20:05:41","HTTP","fetchMemory","736","905","403","Engagement","kg://graph"
"RPC000099","2025-07-15T04:52:44","WebSocket","consolidateMemory","310","315","200","LeadTriage","analytics://events"
"RPC000100","2025-06-17T06:47:36","WebSocket","consolidateMemory","3640","1061","200","Optimizer","cache://memory"
"RPC000101","2025-08-12T05:12:23","HTTP","getLead","236","1286","401","LeadTriage","db://leads"
"RPC000102","2025-07-08T15:07:05","HTTP","storeMemory","4410","301","200","Engagement","db://interactions"
"RPC000103","2025-08-13T07:47:45","HTTP","updateLead","1571","369","400","LeadTriage","analytics://events"
"RPC000104","2025-05-24T12:53:53","WebSocket","updateLead","4472","812","200","Engagement","db://leads"
"RPC000105","2025-05-10T14:00:38","HTTP","updateLead","4609","112","200","Optimizer","cache://memory"
"RPC000106","2025-05-31T01:01:31","HTTP","recommendAction","3856","1416","401","Optimizer","db://interactions"
"RPC000107","2025-07-27T15:57:19","HTTP","optimizeCampaign","4286","987","200","LeadTriage","db://leads"
"RPC000108","2025-05-16T19:12:39","HTTP","trackEvent","3814","1285","200","LeadTriage","kg://graph"
"RPC000109","2025-08-19T04:09:41","WebSocket","storeMemory","2752","75","403","Engagement","db://interactions"
"RPC000110","2025-08-07T07:49:03","WebSocket","getLead","4228","665","200","Engagement","analytics://events"
"RPC000111","2025-06-01T05:11:08","WebSocket","recommendAction","524","176","401","Engagement","cache://memory"
"RPC000112","2025-05-27T23:13:17","WebSocket","consolidateMemory","3539","218","400","Engagement","db://leads"
"RPC000113","2025-06-25T23:11:49","HTTP","optimizeCampaign","4647","916","200","LeadTriage","db://interactions"
"RPC000114","2025-06-09T12:10:41","WebSocket","trackEvent","4028","321","200","LeadTriage","db://leads"
"RPC000115","2025-08-28T19:14:59","WebSocket","trackEvent","2056","1421","500","Optimizer","kg://graph"
"RPC000116","2025-07-03T17:35:05","HTTP","recommendAction","2786","293","403","Engagement","db://interactions"
"RPC000117","2025-05-01T04:55:22","HTTP","consolidateMemory","2431","1482","403","Optimizer","analytics://events"
"RPC000118","2025-07-14T14:56:11","HTTP","fetchMemory","3945","957","400","Optimizer","kg://graph"
"RPC000119","2025-05-11T09:17:27","WebSocket","updateLead","1877","1205","200","Optimizer","db://leads"
"RPC000120","2025-06-18T00:48:25","WebSocket","consolidateMemory","1549","585","200","LeadTriage","analytics://events"
"RPC000121","2025-05-06T05:44:58","WebSocket","updateLead","1751","995","200","Engagement","kg://graph"
"RPC000122","2025-07-14T14:35:11","HTTP","trackEvent","4605","1258","200","Optimizer","kg://graph"
"RPC000123","2025-07-16T01:36:41","HTTP","optimizeCampaign","2657","315","403","LeadTriage","kg://graph"
"RPC000124","2025-05-27T22:39:23","WebSocket","trackEvent","1525","1382","200","Engagement","db://leads"
"RPC000125","2025-07-27T11:16:39","HTTP","consolidateMemory","1845","97","200","Optimizer","kg://graph"
"RPC000126","2025-07-09T04:10:12","WebSocket","searchGraph","1672","608","401","LeadTriage","kg://graph"
"RPC000127","2025-08-12T16:26:18","HTTP","searchGraph","4035","1063","200","Engagement","db://leads"
"RPC000128","2025-07-28T23:14:30","WebSocket","trackEvent","2011","1223","200","Optimizer","kg://graph"
"RPC000129","2025-06-03T23:09:13","WebSocket","searchGraph","1709","366","400","Engagement","cache://memory"
"RPC000130","2025-05-06T11:46:48","HTTP","updateLead","2336","1249","400","Optimizer","cache://memory"
"RPC000131","2025-07-29T17:23:25","HTTP","updateLead","3316","212","200","LeadTriage","db://interactions"
"RPC000132","2025-08-14T14:15:27","HTTP","recommendAction","3230","1035","200","Optimizer","cache://memory"
"RPC000133","2025-08-09T15:32:32","WebSocket","recommendAction","4825","619","401","LeadTriage","db://interactions"
"RPC000134","2025-08-13T15:33:08","WebSocket","trackEvent","973","32","403","Optimizer","db://interactions"
"RPC000135","2025-05-06T14:18:15","HTTP","recommendAction","4486","405","200","LeadTriage","cache://memory"
"RPC000136","2025-07-10T01:25:26","WebSocket","fetchMemory","2798","188","200","Engagement","cache://memory"
"RPC000137","2025-07-16T03:08:27","HTTP","trackEvent","429","596","200","LeadTriage","db://leads"
"RPC000138","2025-08-27T14:12:23","HTTP","searchGraph","4206","249","403","LeadTriage","db://interactions"
"RPC000139","2025-05-17T01:00:08","WebSocket","searchGraph","3282","826","200","LeadTriage","cache://memory"
"RPC000140","2025-08-23T11:06:37","HTTP","getLead","4495","1116","200","Optimizer","analytics://events"
"RPC000141","2025-05-04T14:20:15","WebSocket","storeMemory","4582","151","200","Engagement","analytics://events"
"RPC000142","2025-06-20T02:41:35","WebSocket","consolidateMemory","4865","522","200","Engagement","analytics://events"
"RPC000143","2025-07-01T19:10:43","HTTP","trackEvent","2976","1027","200","LeadTriage","db://leads"
"RPC000144","2025-05-01T07:25:17","WebSocket","trackEvent","1163","1178","200","LeadTriage","kg://graph"
"RPC000145","2025-08-03T09:10:21","HTTP","searchGraph","3316","7","401","LeadTriage","analytics://events"
"RPC000146","2025-06-05T03:14:29","WebSocket","recommendAction","2050","449","200","LeadTriage","db://leads"
"RPC000147","2025-06-03T19:15:42","WebSocket","trackEvent","3138","388","401","LeadTriage","kg://graph"
"RPC000148","2025-05-05T05:57:46","HTTP","consolidateMemory","1649","788","200","Engagement","analytics://events"
"RPC000149","2025-06-07T17:31:19","WebSocket","recommendAction","4502","1239","401","Optimizer","cache://memory"
"RPC000150","2025-07-11T20:16:23","HTTP","getLead","4211","243","400","LeadTriage","analytics://events"
"RPC000151","2025-07-29T01:16:57","HTTP","consolidateMemory","2033","1387","200","Engagement","kg://graph"
"RPC000152","2025-08-05T17:23:40","WebSocket","trackEvent","731","506","500","LeadTriage","kg://graph"
"RPC000153","2025-07-26T17:40:34","WebSocket","recommendAction","577","1128","200","LeadTriage","db://leads"
"RPC000154","2025-08-14T16:19:40","WebSocket","getLead","2895","1430","401","Optimizer","db://leads"
"RPC000155","2025-05-31T08:27:20","WebSocket","fetchMemory","266","956","200","Optimizer","cache://memory"
"RPC000156","2025-05-29T21:11:02","WebSocket","fetchMemory","1302","634","400","Optimizer","db://leads"
"RPC000157","2025-08-18T12:06:58","WebSocket","trackEvent","3193","1193","200","Engagement","db://interactions"
"RPC000158","2025-08-09T20:13:15","HTTP","fetchMemory","779","1208","200","Optimizer","db://leads"
"RPC000159","2025-05-26T08:25:14","HTTP","recommendAction","3127","743","500","Optimizer","kg://graph"
"RPC000160","2025-06-01T08:36:00","HTTP","optimizeCampaign","4742","1424","401","Engagement","db://leads"
"RPC000161","2025-07-26T06:34:10","HTTP","consolidateMemory","2363","1074","403","Engagement","db://leads"
"RPC000162","2025-08-19T20:59:43","HTTP","fetchMemory","4948","152","400","Engagement","cache://memory"
"RPC000163","2025-08-10T19:05:50","HTTP","consolidateMemory","1731","1401","200","Optimizer","kg://graph"
"RPC000164","2025-07-06T11:32:07","WebSocket","updateLead","1804","1419","200","Engagement","db://interactions"
"RPC000165","2025-07-19T17:25:29","HTTP","updateLead","3866","1052","400","Optimizer","db://leads"
"RPC000166","2025-07-07T05:50:08","HTTP","searchGraph","4975","237","500","Engagement","cache://memory"
"RPC000167","2025-05-17T10:40:13","HTTP","fetchMemory","1887","777","500","LeadTriage","db://leads"
"RPC000168","2025-05-13T12:54:32","WebSocket","getLead","4527","417","200","Engagement","analytics://events"
"RPC000169","2025-07-16T06:54:25","WebSocket","searchGraph","983","766","500","Optimizer","kg://graph"
"RPC000170","2025-05-22T21:00:38","HTTP","storeMemory","2137","439","200","LeadTriage","analytics://events"
"RPC000171","2025-05-18T11:51:00","WebSocket","searchGraph","4563","38","200","LeadTriage","analytics://events"
"RPC000172","2025-05-13T06:57:21","HTTP","fetchMemory","4495","1435","200","Optimizer","analytics://events"
"RPC000173","2025-05-06T19:48:46","WebSocket","getLead","4342","313","200","LeadTriage","analytics://events"
"RPC000174","2025-07-18T04:42:22","WebSocket","searchGraph","797","1115","200","LeadTriage","cache://memory"
"RPC000175","2025-07-06T04:54:18","HTTP","updateLead","2669","1422","401","LeadTriage","db://leads"
"RPC000176","2025-08-04T22:55:55","WebSocket","recommendAction","3634","918","200","Optimizer","db://interactions"
"RPC000177","2025-07-27T09:10:21","WebSocket","recommendAction","3987","74","200","Engagement","cache://memory"
"RPC000178","2025-05-16T09:23:59","HTTP","consolidateMemory","2204","1400","500","Engagement","analytics://events"
"RPC000179","2025-07-03T01:44:23","WebSocket","recommendAction","4982","1366","401","Engagement","cache://memory"
"RPC000180","2025-07-10T18:24:36","HTTP","updateLead","785","818","200","LeadTriage","analytics://events"
"RPC000181","2025-06-02T01:04:32","HTTP","getLead","229","272","200","Optimizer","analytics://events"
"RPC000182","2025-07-20T16:44:56","HTTP","updateLead","1239","87","200","LeadTriage","db://leads"
"RPC000183","2025-08-03T17:09:54","HTTP","getLead","4673","709","401","LeadTriage","analytics://events"
"RPC000184","2025-05-31T12:19:56","WebSocket","fetchMemory","3176","811","403","LeadTriage","db://leads"
"RPC000185","2025-05-28T15:01:01","WebSocket","fetchMemory","3342","265","200","LeadTriage","kg://graph"
"RPC000186","2025-08-16T16:08:26","WebSocket","fetchMemory","3793","1302","200","Optimizer","analytics://events"
"RPC000187","2025-06-02T00:22:34","WebSocket","optimizeCampaign","3203","1157","200","LeadTriage","kg://graph"
"RPC000188","2025-06-01T17:49:26","HTTP","searchGraph","3073","807","400","LeadTriage","kg://graph"
"RPC000189","2025-05-07T08:07:30","HTTP","getLead","2231","690","200","Engagement","kg://graph"
"RPC000190","2025-07-20T22:27:40","WebSocket","consolidateMemory","1416","777","401","Optimizer","kg://graph"
"RPC000191","2025-08-05T18:43:25","WebSocket","fetchMemory","2890","874","401","Engagement","db://interactions"
"RPC000192","2025-05-25T05:45:26","WebSocket","fetchMemory","2139","1086","200","LeadTriage","db://leads"
"RPC000193","2025-07-23T21:29:28","WebSocket","getLead","3176","1082","400","Engagement","cache://memory"
"RPC000194","2025-07-08T14:26:38","HTTP","searchGraph","1328","1003","500","Optimizer","kg://graph"
"RPC000195","2025-07-20T17:28:17","WebSocket","consolidateMemory","2011","1124","400","LeadTriage","cache://memory"
"RPC000196","2025-06-02T18:02:17","WebSocket","trackEvent","4973","778","200","LeadTriage","db://leads"
"RPC000197","2025-08-10T11:55:48","HTTP","trackEvent","3414","889","200","Engagement","kg://graph"
"RPC000198","2025-07-14T19:29:50","HTTP","optimizeCampaign","4843","8","200","Optimizer","cache://memory"
"RPC000199","2025-05-22T21:38:59","WebSocket","searchGraph","1461","1363","200","Engagement","cache://memory"
"RPC000200","2025-07-07T11:37:22","HTTP","searchGraph","3161","820","403","LeadTriage","kg://graph"
"RPC000201","2025-05-14T02:36:18","HTTP","updateLead","4932","856","500","LeadTriage","cache://memory"
"RPC000202","2025-08-13T01:27:01","WebSocket","storeMemory","916","534","200","LeadTriage","kg://graph"
"RPC000203","2025-07-06T19:35:51","WebSocket","consolidateMemory","537","641","500","Optimizer","kg://graph"
"RPC000204","2025-07-08T04:44:05","HTTP","recommendAction","4215","1114","200","Engagement","kg://graph"
"RPC000205","2025-06-02T21:59:00","WebSocket","updateLead","591","1352","200","Optimizer","db://interactions"
"RPC000206","2025-05-22T00:25:07","HTTP","searchGraph","3488","265","200","Engagement","cache://memory"
"RPC000207","2025-08-16T23:33:46","HTTP","fetchMemory","2113","1045","200","Engagement","cache://memory"
"RPC000208","2025-06-22T01:13:33","WebSocket","storeMemory","1321","274","400","Optimizer","analytics://events"
"RPC000209","2025-05-28T19:54:02","HTTP","searchGraph","4454","1148","403","Optimizer","analytics://events"
"RPC000210","2025-06-03T22:19:06","WebSocket","updateLead","3762","1454","200","Engagement","db://interactions"
"RPC000211","2025-05-21T21:14:21","HTTP","storeMemory","1441","1033","401","Engagement","analytics://events"
"RPC000212","2025-05-11T12:44:25","HTTP","getLead","2931","1068","400","LeadTriage","db://interactions"
"RPC000213","2025-05-18T07:37:12","HTTP","recommendAction","3021","81","401","LeadTriage","db://leads"
"RPC000214","2025-08-10T03:47:31","WebSocket","storeMemory","247","465","200","LeadTriage","db://interactions"
"RPC000215","2025-06-01T10:02:36","WebSocket","searchGraph","1212","539","200","Optimizer","analytics://events"
"RPC000216","2025-07-22T09:36:27","WebSocket","recommendAction","606","61","401","LeadTriage","db://leads"
"RPC000217","2025-05-08T10:51:06","HTTP","optimizeCampaign","2626","213","401","Engagement","analytics://events"
"RPC000218","2025-08-22T11:20:23","WebSocket","fetchMemory","2807","249","200","Engagement","db://interactions"
"RPC000219","2025-08-16T20:51:41","HTTP","consolidateMemory","3519","1032","200","Optimizer","db://leads"
"RPC000220","2025-06-30T01:09:25","WebSocket","fetchMemory","466","1390","500","Optimizer","kg://graph"
"RPC000221","2025-05-13T17:06:47","HTTP","consolidateMemory","3069","183","200","LeadTriage","db://leads"
"RPC000222","2025-08-03T20:38:13","HTTP","fetchMemory","3183","987","200","Engagement","db://interactions"
"RPC000223","2025-05-31T13:08:12","HTTP","recommendAction","2391","983","200","Optimizer","db://leads"
"RPC000224","2025-07-19T13:08:38","WebSocket","recommendAction","1705","1272","200","LeadTriage","db://leads"
"RPC000225","2025-05-03T19:44:42","WebSocket","storeMemory","4357","939","400","LeadTriage","analytics://events"
"RPC000226","2025-05-30T13:21:56","HTTP","getLead","1989","557","403","Optimizer","db://leads"
"RPC000227","2025-08-28T09:14:12","WebSocket","getLead","2741","1415","401","Engagement","analytics://events"
"RPC000228","2025-05-28T14:36:53","HTTP","optimizeCampaign","232","302","403","Optimizer","db://interactions"
"RPC000229","2025-07-29T01:47:35","WebSocket","searchGraph","2216","1003","401","Engagement","db://interactions"
"RPC000230","2025-06-25T22:36:21","HTTP","trackEvent","3559","974","200","Optimizer","db://leads"
"RPC000231","2025-07-06T16:48:00","WebSocket","searchGraph","424","834","400","Optimizer","kg://graph"
"RPC000232","2025-06-06T05:42:02","WebSocket","storeMemory","3894","1105","400","Optimizer","cache://memory"
"RPC000233","2025-07-25T05:03:33","HTTP","recommendAction","1084","365","200","LeadTriage","cache://memory"
"RPC000234","2025-08-08T00:48:07","HTTP","recommendAction","2242","455","401","Engagement","analytics://events"
"RPC000235","2025-05-04T01:18:46","HTTP","recommendAction","2753","219","403","LeadTriage","db://interactions"
"RPC000236","2025-05-17T00:42:41","HTTP","updateLead","3394","683","500","LeadTriage","db://interactions"
"RPC000237","2025-05-24T19:34:46","HTTP","consolidateMemory","2260","1473","200","Engagement","analytics://events"
"RPC000238","2025-08-16T06:11:40","WebSocket","getLead","235","704","200","Optimizer","db://leads"
"RPC000239","2025-05-19T18:47:32","HTTP","getLead","969","1146","500","Engagement","kg://graph"
"RPC000240","2025-05-06T00:49:15","HTTP","fetchMemory","2803","106","200","LeadTriage","analytics://events"
"RPC000241","2025-07-25T17:55:13","HTTP","updateLead","991","305","403","Engagement","analytics://events"
"RPC000242","2025-07-22T10:54:35","WebSocket","recommendAction","4344","969","200","Engagement","db://leads"
"RPC000243","2025-08-02T15:00:57","HTTP","updateLead","2619","1345","200","Engagement","analytics://events"
"RPC000244","2025-05-22T16:16:03","WebSocket","fetchMemory","4210","1031","200","Engagement","cache://memory"
"RPC000245","2025-06-04T14:14:05","WebSocket","recommendAction","2697","453","401","Optimizer","db://interactions"
"RPC000246","2025-05-22T07:41:24","HTTP","storeMemory","3703","816","401","Engagement","cache://memory"
"RPC000247","2025-06-23T21:32:40","WebSocket","optimizeCampaign","859","907","400","Optimizer","db://interactions"
"RPC000248","2025-06-05T18:59:39","HTTP","trackEvent","1749","101","401","Engagement","db://leads"
"RPC000249","2025-05-23T17:08:11","HTTP","updateLead","2937","38","401","Optimizer","analytics://events"
"RPC000250","2025-05-09T02:32:55","WebSocket","storeMemory","2994","536","500","Engagement","cache://memory"
"RPC000251","2025-05-26T17:04:22","HTTP","trackEvent","3182","1473","200","LeadTriage","db://interactions"
"RPC000252","2025-05-20T18:01:36","HTTP","fetchMemory","597","1255","500","Optimizer","cache://memory"
"RPC000253","2025-08-19T00:31:46","HTTP","recommendAction","2126","271","403","Optimizer","db://leads"
"RPC000254","2025-07-06T08:00:53","WebSocket","updateLead","4014","247","200","Optimizer","cache://memory"
"RPC000255","2025-07-28T02:15:01","HTTP","consolidateMemory","477","330","200","LeadTriage","cache://memory"
"RPC000256","2025-07-20T22:16:34","WebSocket","optimizeCampaign","4096","288","200","Engagement","db://leads"
"RPC000257","2025-05-30T08:17:08","WebSocket","trackEvent","1619","1498","200","LeadTriage","db://leads"
"RPC000258","2025-06-11T01:18:10","HTTP","getLead","3135","959","403","Optimizer","analytics://events"
"RPC000259","2025-08-05T11:06:54","HTTP","fetchMemory","1714","1172","200","Engagement","analytics://events"
"RPC000260","2025-05-27T00:43:50","WebSocket","fetchMemory","3660","98","401","LeadTriage","kg://graph"
"RPC000261","2025-06-05T07:10:59","WebSocket","trackEvent","1932","169","403","LeadTriage","kg://graph"
"RPC000262","2025-07-27T00:05:53","HTTP","searchGraph","254","987","200","Engagement","cache://memory"
"RPC000263","2025-07-14T22:57:48","HTTP","trackEvent","405","887","401","Engagement","cache://memory"
"RPC000264","2025-06-10T15:39:38","WebSocket","trackEvent","1973","501","400","LeadTriage","db://interactions"
"RPC000265","2025-05-14T12:05:10","HTTP","recommendAction","2151","1452","200","Engagement","analytics://events"
"RPC000266","2025-07-24T12:46:25","HTTP","recommendAction","1562","1091","200","LeadTriage","cache://memory"
"RPC000267","2025-06-23T21:32:05","HTTP","trackEvent","4897","609","200","LeadTriage","cache://memory"
"RPC000268","2025-06-07T23:27:21","WebSocket","optimizeCampaign","2570","1496","200","Engagement","cache://memory"
