"campaign_id","name","objective","start_date","end_date","channel_mix","daily_budget_usd","total_budget_usd","owner_email","primary_region","target_personas","kpi"
"CMP0017","Echo Nurture Ramp","Lead Gen","2025-05-20T00:17:15","2025-05-31T22:10:00","[""Web"", ""Email"", ""Call"", ""SMS""]","1178.3925","14140.71","mgr_08@purplemerit.example","EU","[""Founder"", ""Sales Lead""]","MQL Volume"
"CMP0018","Nurture Spark Wave","Retention","2025-07-28T08:29:33","2025-08-18T04:49:54","[""Call"", ""Web"", ""SMS""]","633.3414285714285","13300.17","mgr_05@purplemerit.example","LATAM","[""Engineer""]","MQL Volume"
"CMP0019","Synergy Velocity Blast","Upsell","2025-05-12T02:24:34","2025-05-28T20:05:22","[""SMS"", ""Web"", ""Social"", ""Email""]","4243.344705882353","72136.86","mgr_02@purplemerit.example","US","[""CMO"", ""Sales Lead"", ""Founder""]","ROAS"
"CMP0020","Fusion Growth Pilot","Awareness","2025-06-17T19:26:48","2025-08-20T00:25:33","[""Email"", ""Web"", ""Call"", ""Social""]","781.06625","49988.24","mgr_10@purplemerit.example","India","[""Marketing Manager"", ""CMO"", ""Engineer""]","Revenue"
"CMP0021","Lumen Merit Blast","Upsell","2025-05-26T09:56:13","2025-08-06T15:05:18","[""Ads"", ""SMS"", ""Call"", ""Email""]","36.7127397260274","2680.03","mgr_10@purplemerit.example","EU","[""Marketing Manager"", ""CMO"", ""Engineer""]","CPL"
"CMP0022","Fusion Green Wave","Nurture","2025-06-17T10:26:52","2025-07-30T07:30:29","[""Social"", ""SMS"", ""Ads""]","1084.9413953488372","46652.48","mgr_11@purplemerit.example","India","[""CMO""]","MQL Volume"
"CMP0023","Flare Nurture Pilot","Awareness","2025-05-23T09:56:11","2025-08-24T19:07:02","[""Call"", ""Web""]","141.99680851063832","13347.7","mgr_05@purplemerit.example","India","[""Marketing Manager"", ""Procurement"", ""Sales Lead""]","MQL Volume"
"CMP0024","Pulse Apollo Series","Retention","2025-05-10T20:44:24","2025-06-04T18:52:55","[""SMS"", ""Ads"", ""Email"", ""Call""]","1053.9852","26349.63","mgr_03@purplemerit.example","MEA","[""Engineer"", ""Sales Lead"", ""Founder""]","CPL"
"CMP0025","Pilot Bridge Blast","Nurture","2025-05-15T14:39:42","2025-06-20T13:18:17","[""Email"", ""Ads"", ""Social"", ""SMS""]","313.9866666666667","11303.52","mgr_05@purplemerit.example","EU","[""CMO"", ""Founder"", ""Marketing Manager""]","ROAS"
"CMP0026","Velocity Ember Pilot","Re‑engagement","2025-07-18T21:51:21","2025-08-25T00:58:44","[""Social"", ""Call"", ""Web"", ""Email""]","1745.8784210526317","66343.38","mgr_01@purplemerit.example","India","[""CMO"", ""Marketing Manager"", ""Engineer""]","CPL"
"CMP0027","Orbit Green Series","Re‑engagement","2025-07-14T06:46:25","2025-07-23T03:53:27","[""Social"", ""Call"", ""SMS""]","3058.34","27525.06","mgr_04@purplemerit.example","APAC","[""Founder"", ""Marketing Manager""]","MQL Volume"
"CMP0028","Velocity Lumen Pilot","Lead Gen","2025-08-07T22:00:09","2025-08-24T14:49:55","[""Web"", ""Ads"", ""Email"", ""SMS""]","3883.752941176471","66023.8","mgr_05@purplemerit.example","US","[""Sales Lead"", ""Marketing Manager"", ""Procurement""]","Revenue"
"CMP0029","Green Fusion Wave","Retention","2025-08-08T07:24:15","2025-08-18T02:46:21","[""Web"", ""Social"", ""Ads""]","524.022","5240.22","mgr_07@purplemerit.example","India","[""Engineer"", ""CMO"", ""Marketing Manager""]","Revenue"
"CMP0030","Growth Alpha Pilot","Upsell","2025-05-14T14:06:05","2025-07-24T16:56:42","[""Ads"", ""Email"", ""Call"", ""SMS""]","341.35805555555555","24577.78","mgr_07@purplemerit.example","EU","[""Sales Lead""]","Revenue"
