"subject","predicate","object","weight","source"
"CaseStudy2","targets","FeatureX","0.382","analyst"
"FeatureY","targets","Enterprise","0.972","imported"
"Lead","interested_in","ProductB","0.732","heuristic"
"Lead","preferred_channel","FeatureX","0.613","docs"
"APAC","related_to","SMS","0.566","heuristic"
"Integration","boosts","Ads","0.759","analyst"
"ROI","located_in","Social","0.601","heuristic"
"Integration","targets","APAC","0.109","imported"
"ProductA","related_to","FeatureY","0.343","imported"
"CaseStudy1","similar_to","FeatureX","0.28","docs"
"Onboarding","interested_in","Lead","0.177","heuristic"
"APAC","interested_in","FeatureX","0.3","analyst"
"Email","similar_to","Social","0.92","analyst"
"Campaign","boosts","Enterprise","0.243","imported"
"EU","located_in","CaseStudy1","0.949","imported"
"Enterprise","similar_to","ProductB","0.862","imported"
"FeatureX","targets","Ads","0.52","docs"
"ProductB","targets","ProductA","0.617","docs"
"Email","located_in","SMB","0.445","heuristic"
"Onboarding","interested_in","Enterprise","0.339","docs"
"Campaign","requires","EU","0.305","imported"
"SMB","interested_in","FeatureY","0.929","analyst"
"Ads","preferred_channel","ProductB","0.375","analyst"
"APAC","located_in","Enterprise","0.189","heuristic"
"Security","located_in","ProductB","0.134","analyst"
"Email","requires","Campaign","0.734","imported"
"Email","requires","SMS","0.232","analyst"
"CaseStudy2","interested_in","CaseStudy1","0.755","analyst"
"Lead","similar_to","Social","0.731","analyst"
"FeatureX","related_to","Email","0.647","analyst"
"Enterprise","preferred_channel","Onboarding","0.191","docs"
"ROI","targets","SMB","0.424","docs"
"CaseStudy1","preferred_channel","EU","0.442","docs"
"Social","similar_to","Onboarding","0.855","docs"
"CaseStudy2","boosts","ProductA","0.306","analyst"
"Lead","interested_in","FeatureX","0.31","analyst"
"ProductA","similar_to","FeatureX","0.221","heuristic"
"APAC","boosts","ProductA","0.165","heuristic"
"FeatureX","similar_to","Security","0.841","imported"
"ROI","interested_in","EU","0.201","imported"
"Email","located_in","Integration","0.3","analyst"
"SMB","requires","Lead","0.948","heuristic"
"APAC","similar_to","Ads","0.17","docs"
"ProductA","similar_to","Security","0.497","imported"
"Social","similar_to","ProductA","0.846","heuristic"
"Campaign","targets","Security","0.394","imported"
"APAC","requires","SMB","0.289","analyst"
"Security","related_to","Onboarding","0.532","heuristic"
"Onboarding","related_to","Email","0.416","heuristic"
"FeatureX","requires","SMB","0.197","imported"
"FeatureY","preferred_channel","Social","0.193","analyst"
"ProductB","requires","Lead","0.339","heuristic"
"CaseStudy1","requires","ProductB","0.672","imported"
"CaseStudy1","boosts","Lead","0.845","imported"
"Security","interested_in","Onboarding","0.61","analyst"
"Email","interested_in","SMS","0.131","heuristic"
"Email","related_to","Integration","0.477","imported"
"CaseStudy2","interested_in","Lead","0.906","docs"
"FeatureY","interested_in","EU","0.802","heuristic"
"Onboarding","requires","SMS","0.626","imported"
"FeatureY","boosts","CaseStudy2","0.422","docs"
"Lead","requires","CaseStudy1","0.188","docs"
"ProductB","preferred_channel","Email","0.446","imported"
"APAC","located_in","Lead","0.654","docs"
"CaseStudy1","interested_in","ProductB","0.521","heuristic"
"CaseStudy2","preferred_channel","Social","0.517","analyst"
"Campaign","requires","Email","0.129","imported"
"SMS","located_in","ProductA","0.422","imported"
"Social","preferred_channel","Enterprise","0.379","analyst"
"ProductB","similar_to","CaseStudy2","0.627","heuristic"
"SMS","located_in","FeatureX","0.955","heuristic"
"FeatureY","boosts","CaseStudy2","0.987","imported"
"Enterprise","boosts","FeatureY","0.948","heuristic"
"CaseStudy2","requires","FeatureY","0.503","heuristic"
"ROI","boosts","Email","0.713","imported"
"FeatureX","related_to","Campaign","0.207","imported"
"Enterprise","boosts","EU","0.641","docs"
"CaseStudy1","targets","Security","0.395","imported"
"SMB","targets","FeatureY","0.303","docs"
"Security","targets","Email","0.186","docs"
"Campaign","similar_to","Integration","0.701","imported"
"ROI","related_to","SMB","0.939","docs"
"EU","located_in","Campaign","0.514","heuristic"
"APAC","similar_to","ProductA","0.524","docs"
"FeatureX","targets","FeatureY","0.368","docs"
"Security","requires","Ads","0.38","heuristic"
"CaseStudy1","related_to","Email","0.793","heuristic"
"ProductA","targets","Onboarding","0.502","heuristic"
"ROI","requires","FeatureY","0.391","docs"
"Campaign","interested_in","Security","0.885","docs"
"ROI","preferred_channel","ProductA","0.631","docs"
"FeatureY","preferred_channel","ROI","0.649","imported"
"CaseStudy1","requires","Campaign","0.581","heuristic"
"ProductB","located_in","Enterprise","0.85","imported"
"FeatureY","targets","APAC","0.545","imported"
"SMB","boosts","Ads","0.834","analyst"
"SMS","similar_to","FeatureX","0.633","analyst"
"ProductB","requires","APAC","0.93","analyst"
"Ads","targets","FeatureY","0.672","docs"
"Enterprise","preferred_channel","Campaign","0.297","imported"
"APAC","boosts","CaseStudy2","0.834","heuristic"
"Enterprise","requires","Social","0.719","heuristic"
"Lead","located_in","ProductA","0.309","heuristic"
"SMB","boosts","Social","0.753","docs"
"EU","requires","FeatureX","0.652","imported"
"ProductB","targets","ProductA","0.356","docs"
"Enterprise","requires","Onboarding","0.793","docs"
"ProductA","requires","APAC","0.298","imported"
"Enterprise","similar_to","SMS","0.411","analyst"
"EU","located_in","Social","0.589","heuristic"
"Ads","targets","ProductB","0.927","imported"
"APAC","related_to","Email","0.498","imported"
"SMB","similar_to","Integration","0.374","docs"
"Onboarding","boosts","SMB","0.123","heuristic"
"Email","related_to","FeatureY","0.855","docs"
"SMS","similar_to","CaseStudy2","0.899","imported"
"EU","related_to","ROI","0.764","docs"
"FeatureX","interested_in","Campaign","0.391","docs"
"CaseStudy2","related_to","SMB","0.426","docs"
"CaseStudy1","similar_to","ROI","0.59","heuristic"
"Onboarding","boosts","CaseStudy2","0.886","analyst"
"ROI","requires","Ads","0.542","docs"
"Social","requires","Ads","0.374","heuristic"
"Lead","boosts","SMB","0.153","analyst"
"APAC","boosts","ProductB","0.418","heuristic"
"Enterprise","boosts","FeatureX","0.653","docs"
"EU","boosts","Security","0.205","analyst"
"Ads","related_to","Social","0.916","docs"
"Onboarding","preferred_channel","Integration","0.244","docs"
"ROI","boosts","Integration","0.299","docs"
"Lead","located_in","Integration","0.143","heuristic"
"Enterprise","requires","ROI","0.735","docs"
"FeatureY","related_to","Onboarding","0.827","imported"
"SMB","requires","ProductB","0.421","analyst"
"ROI","located_in","ProductA","0.948","docs"
"Campaign","interested_in","ROI","0.643","analyst"
"EU","interested_in","Onboarding","0.948","docs"
"Social","similar_to","ProductA","0.45","heuristic"
"Lead","preferred_channel","FeatureX","0.897","heuristic"
"ProductB","similar_to","Integration","0.284","docs"
"CaseStudy2","preferred_channel","Social","0.632","docs"
"ProductB","similar_to","Campaign","0.506","imported"
"Lead","related_to","EU","0.252","heuristic"
"SMB","related_to","ROI","0.616","analyst"
"Security","requires","EU","0.487","imported"
"CaseStudy1","similar_to","Onboarding","0.26","docs"
"ROI","requires","SMS","0.373","imported"
"Lead","located_in","CaseStudy2","0.484","imported"
"APAC","located_in","ProductB","0.355","docs"
"Integration","located_in","Enterprise","0.513","imported"
"CaseStudy2","interested_in","ProductA","0.867","analyst"
"Email","interested_in","ROI","0.58","imported"
"APAC","boosts","FeatureY","0.465","analyst"
"ProductB","targets","FeatureX","0.319","docs"
"ProductA","located_in","Enterprise","0.373","docs"
"SMB","related_to","ProductB","0.102","docs"
"Social","targets","Enterprise","0.196","imported"
"Social","related_to","APAC","0.323","analyst"
"CaseStudy1","boosts","Campaign","0.466","heuristic"
"FeatureX","boosts","Campaign","0.4","heuristic"
"EU","located_in","Email","0.551","heuristic"
"SMB","boosts","CaseStudy2","0.509","docs"
"Security","preferred_channel","Ads","0.91","analyst"
"SMB","boosts","EU","0.341","analyst"
"Social","targets","CaseStudy1","0.341","docs"
"ROI","similar_to","Ads","0.559","analyst"
"Email","interested_in","CaseStudy1","0.107","heuristic"
"SMB","similar_to","APAC","0.533","analyst"
"CaseStudy1","preferred_channel","FeatureX","0.423","imported"
"EU","requires","Lead","0.325","heuristic"
"Campaign","interested_in","ProductA","0.429","analyst"
"APAC","located_in","Ads","0.189","analyst"
"Ads","requires","ProductB","0.236","analyst"
"Campaign","preferred_channel","Security","0.685","docs"
"Onboarding","preferred_channel","ProductB","0.94","analyst"
"APAC","located_in","CaseStudy1","0.175","analyst"
"Social","targets","SMS","0.369","imported"
"EU","requires","Onboarding","0.324","analyst"
"Social","boosts","Email","0.251","imported"
"FeatureX","preferred_channel","Email","0.999","analyst"
"Integration","preferred_channel","SMB","0.819","docs"
"Lead","located_in","CaseStudy2","0.29","heuristic"
"ProductA","located_in","Security","0.301","docs"
"Lead","boosts","FeatureY","0.927","imported"
"ROI","targets","Lead","0.39","docs"
"SMB","interested_in","Security","0.863","docs"
"Lead","similar_to","EU","0.301","heuristic"
"Email","boosts","Campaign","0.384","analyst"
"ProductA","preferred_channel","SMB","0.184","heuristic"
"ROI","targets","Integration","0.413","imported"
"Integration","related_to","Lead","0.496","heuristic"
"SMS","related_to","ROI","0.734","imported"
"Onboarding","located_in","Security","0.672","heuristic"
"ROI","boosts","Security","0.796","heuristic"
"CaseStudy1","related_to","APAC","0.178","analyst"
"Social","located_in","CaseStudy2","0.659","docs"
"EU","related_to","APAC","0.288","imported"
"Enterprise","related_to","Email","0.499","heuristic"
"Email","boosts","CaseStudy1","0.674","docs"
"FeatureX","located_in","Enterprise","0.862","heuristic"
"SMB","interested_in","CaseStudy2","0.82","heuristic"
"Campaign","targets","ProductA","0.589","imported"
"FeatureX","located_in","Campaign","0.785","analyst"
"Social","related_to","Onboarding","0.454","imported"
"SMS","targets","CaseStudy1","0.683","docs"
"ProductB","related_to","Security","0.833","imported"
"Email","related_to","Security","0.617","docs"
"APAC","requires","Lead","0.742","imported"
"Ads","similar_to","Email","0.124","imported"
"SMS","targets","Social","0.136","analyst"
"Enterprise","targets","SMB","0.439","imported"
"APAC","requires","Onboarding","0.832","docs"
"FeatureY","boosts","EU","0.284","docs"
"FeatureX","located_in","ROI","0.542","docs"
"APAC","boosts","ROI","0.4","imported"
"Integration","preferred_channel","FeatureY","0.725","imported"
"FeatureX","boosts","ProductA","0.173","imported"
"APAC","located_in","Integration","0.772","heuristic"
"CaseStudy2","preferred_channel","Onboarding","0.422","docs"
"CaseStudy2","related_to","Onboarding","0.993","heuristic"
"Lead","similar_to","EU","0.591","heuristic"
"Campaign","related_to","Security","0.792","heuristic"
"FeatureY","requires","APAC","0.262","docs"
"ProductA","targets","ProductB","0.544","analyst"
"Campaign","interested_in","FeatureX","0.711","imported"
"Enterprise","interested_in","Lead","0.419","imported"
"CaseStudy2","requires","ROI","0.44","imported"
"FeatureX","preferred_channel","Ads","0.299","imported"
"ProductA","requires","Ads","0.913","imported"
"Security","boosts","APAC","0.354","docs"
"CaseStudy1","related_to","EU","0.591","imported"
"ProductB","boosts","Security","0.802","imported"
"Ads","interested_in","Onboarding","0.298","analyst"
"ProductB","boosts","FeatureY","0.965","imported"
"FeatureX","located_in","Enterprise","0.838","docs"
"Lead","preferred_channel","ProductB","0.149","analyst"
"CaseStudy1","related_to","Integration","0.253","imported"
"Lead","requires","Onboarding","0.884","imported"
"ProductA","requires","ProductB","0.667","imported"
"SMS","located_in","ProductA","0.729","heuristic"
"Email","boosts","ROI","0.312","analyst"
"SMB","located_in","Lead","0.336","docs"
"Lead","requires","Onboarding","0.465","docs"
"Integration","targets","ROI","0.282","imported"
"Email","similar_to","Social","0.347","analyst"
"ROI","similar_to","FeatureY","0.892","imported"
"Ads","boosts","CaseStudy1","0.416","docs"
"CaseStudy2","located_in","Social","0.533","imported"
"Campaign","related_to","Enterprise","0.868","docs"
"APAC","preferred_channel","ProductA","0.625","docs"
"APAC","related_to","Security","0.965","heuristic"
"ROI","targets","FeatureY","0.777","imported"
"Ads","boosts","EU","0.155","docs"
"Lead","requires","CaseStudy1","0.256","heuristic"
"FeatureX","targets","CaseStudy1","0.995","docs"
"Security","requires","SMS","0.467","imported"
"SMS","located_in","Social","0.525","docs"
"APAC","similar_to","Enterprise","0.568","heuristic"
"FeatureX","targets","FeatureY","0.638","imported"
"CaseStudy2","requires","Lead","0.706","imported"
"ROI","similar_to","FeatureY","0.501","docs"
"Lead","located_in","ROI","0.675","imported"
"Integration","requires","FeatureX","0.343","imported"
"CaseStudy2","located_in","Social","0.404","heuristic"
"Campaign","requires","Enterprise","0.95","docs"
"SMB","interested_in","CaseStudy1","0.105","heuristic"
"Security","requires","SMS","0.954","docs"
"Social","boosts","Campaign","0.867","heuristic"
"Onboarding","interested_in","CaseStudy2","0.464","analyst"
"Ads","similar_to","Lead","0.23","heuristic"
"SMS","requires","Enterprise","0.296","analyst"
"FeatureX","related_to","ProductA","0.691","docs"
"ProductA","requires","ProductB","0.221","imported"
"ProductA","located_in","SMS","0.331","docs"
"SMB","located_in","SMS","0.605","analyst"
"Email","boosts","FeatureX","0.206","analyst"
"SMB","boosts","FeatureY","0.185","analyst"
"SMB","requires","Email","0.801","docs"
"Lead","related_to","SMS","0.671","docs"
"CaseStudy2","similar_to","Ads","0.674","analyst"
"Campaign","related_to","EU","0.368","analyst"
"Integration","boosts","Email","0.294","analyst"
"Campaign","located_in","EU","0.28","analyst"
"Enterprise","located_in","Social","0.754","heuristic"
"CaseStudy2","similar_to","CaseStudy1","0.136","analyst"
"Enterprise","targets","Integration","0.644","imported"
"Social","located_in","Campaign","0.965","docs"
"Social","preferred_channel","FeatureY","0.696","docs"
"APAC","targets","ProductA","0.308","analyst"
"Ads","similar_to","Onboarding","0.81","imported"
"Integration","preferred_channel","CaseStudy2","0.594","docs"
"ProductA","located_in","CaseStudy2","0.257","imported"
"ROI","similar_to","SMS","0.258","heuristic"
"FeatureX","similar_to","ROI","0.404","heuristic"
"Email","located_in","ProductB","0.987","analyst"
"SMS","requires","FeatureY","0.805","imported"
"ProductB","preferred_channel","Ads","0.605","heuristic"
"FeatureX","preferred_channel","Security","0.573","heuristic"
"CaseStudy1","preferred_channel","ROI","0.506","docs"
"CaseStudy1","targets","ROI","0.826","heuristic"
"ROI","requires","Integration","0.342","imported"
"FeatureY","targets","Onboarding","0.538","heuristic"
"Email","interested_in","EU","0.869","analyst"
"Ads","targets","Email","0.274","imported"
"SMS","requires","CaseStudy2","0.747","imported"
"Security","boosts","APAC","0.899","heuristic"
"Campaign","targets","ROI","0.866","heuristic"
"SMS","located_in","ProductA","0.183","heuristic"
"Campaign","interested_in","APAC","0.273","heuristic"
"APAC","targets","ProductB","0.119","docs"
"FeatureY","similar_to","Lead","0.147","imported"
"EU","interested_in","ProductA","0.881","imported"
"CaseStudy1","similar_to","Security","0.551","imported"
"FeatureX","preferred_channel","ProductA","0.173","docs"
"Ads","interested_in","Email","0.725","docs"
"EU","preferred_channel","ROI","0.4","heuristic"
"ProductA","requires","ProductB","0.286","docs"
"Campaign","similar_to","Social","0.459","heuristic"
"Security","located_in","Email","0.138","imported"
"CaseStudy2","located_in","EU","0.7","heuristic"
"SMB","located_in","ProductB","0.135","docs"
"Lead","interested_in","Ads","0.91","heuristic"
"APAC","located_in","Integration","0.67","imported"
"FeatureY","interested_in","EU","0.867","heuristic"
"Ads","similar_to","Campaign","0.749","imported"
"ProductB","located_in","FeatureX","0.398","imported"
"Email","located_in","CaseStudy2","0.472","imported"
"SMS","requires","ProductA","0.653","heuristic"
"ROI","interested_in","SMS","0.25","analyst"
"ROI","targets","SMS","0.146","imported"
"FeatureY","preferred_channel","Email","0.635","analyst"
"Social","related_to","Campaign","0.123","imported"
"Lead","targets","FeatureX","0.429","imported"
"Ads","targets","APAC","0.382","docs"
"Campaign","targets","Ads","0.805","docs"
"Social","targets","APAC","0.126","docs"
"ROI","requires","Ads","0.809","imported"
"Lead","interested_in","FeatureY","0.248","docs"
"Campaign","similar_to","Ads","0.374","analyst"
"FeatureY","targets","Integration","0.105","docs"
"Integration","requires","ROI","0.245","heuristic"
"CaseStudy1","boosts","Enterprise","0.352","heuristic"
"Security","preferred_channel","ROI","0.567","heuristic"
"Onboarding","related_to","Integration","0.215","analyst"
"ROI","preferred_channel","CaseStudy1","0.724","heuristic"
"SMB","preferred_channel","Integration","0.239","analyst"
"CaseStudy2","similar_to","Social","0.979","docs"
"Onboarding","targets","Enterprise","0.865","imported"
"Email","requires","ProductA","0.922","analyst"
"SMS","boosts","Campaign","0.538","analyst"
"FeatureY","preferred_channel","Social","0.745","docs"
"Integration","located_in","Ads","0.564","docs"
"Onboarding","related_to","ProductB","0.734","analyst"
"FeatureX","interested_in","FeatureY","0.286","docs"
"Lead","boosts","ProductB","0.378","heuristic"
"Integration","similar_to","ProductB","0.542","docs"
"FeatureX","related_to","Ads","0.846","imported"
"FeatureX","preferred_channel","SMB","0.909","analyst"
"CaseStudy2","located_in","Social","0.977","heuristic"
"Social","interested_in","Ads","0.429","docs"
"ProductB","targets","ROI","0.254","docs"
"ProductB","interested_in","Enterprise","0.757","docs"
"SMS","targets","Onboarding","0.576","docs"
"ProductA","located_in","CaseStudy1","0.472","docs"
"SMB","boosts","Enterprise","0.676","docs"
"Campaign","interested_in","Social","0.428","analyst"
"Lead","targets","SMB","0.143","heuristic"
"ROI","similar_to","FeatureY","0.882","imported"
"Social","requires","Security","0.927","docs"
"Integration","requires","Social","0.372","imported"
"Campaign","similar_to","APAC","0.927","docs"
"ROI","boosts","SMB","0.307","heuristic"
"Email","boosts","Social","0.957","imported"
"SMB","preferred_channel","Enterprise","0.507","docs"
"ProductA","related_to","ProductB","0.509","docs"
"Enterprise","requires","FeatureX","0.433","docs"
"Campaign","preferred_channel","Email","0.776","heuristic"
"SMB","requires","APAC","0.708","analyst"
"FeatureX","targets","ProductA","0.895","heuristic"
"CaseStudy2","preferred_channel","ProductA","0.855","analyst"
"FeatureY","boosts","ProductB","0.748","heuristic"
"ProductA","similar_to","Lead","0.859","analyst"
"FeatureY","similar_to","SMB","0.625","imported"
"Campaign","similar_to","Ads","0.416","heuristic"
"SMS","boosts","Campaign","0.56","docs"
"Email","targets","EU","0.625","heuristic"
"FeatureX","located_in","ProductA","0.146","heuristic"
"Lead","interested_in","Email","0.7","docs"
"Lead","boosts","CaseStudy1","0.781","docs"
"Email","interested_in","Social","0.944","imported"
"Integration","preferred_channel","ROI","0.948","imported"
"FeatureY","similar_to","SMS","0.483","docs"
"Lead","requires","CaseStudy2","0.366","docs"
"Onboarding","requires","Ads","0.61","analyst"
"APAC","related_to","Email","0.272","heuristic"
"Enterprise","located_in","ProductB","0.925","heuristic"
"Onboarding","interested_in","SMB","0.921","docs"
"Email","located_in","APAC","0.979","imported"
"SMS","targets","CaseStudy2","0.462","docs"
"APAC","requires","ProductA","0.803","docs"
"Email","located_in","Security","0.912","analyst"
"FeatureY","located_in","SMS","0.575","heuristic"
"ROI","boosts","Email","0.521","heuristic"
"Lead","targets","Email","0.458","imported"
"Email","located_in","CaseStudy2","0.797","imported"
"SMB","preferred_channel","Onboarding","0.155","analyst"
"APAC","similar_to","CaseStudy1","0.415","docs"
"FeatureX","interested_in","APAC","0.351","imported"
"Onboarding","interested_in","ProductB","0.625","heuristic"
"Security","related_to","Onboarding","0.919","imported"
"ROI","related_to","SMS","0.751","docs"
"Lead","located_in","EU","0.95","imported"
"Email","related_to","Ads","0.413","imported"
"Security","targets","EU","0.343","docs"
"CaseStudy1","similar_to","ProductB","0.987","analyst"
"Security","preferred_channel","FeatureX","0.386","heuristic"
"CaseStudy2","similar_to","SMB","0.698","heuristic"
"SMB","related_to","ROI","0.4","docs"
"Email","similar_to","Lead","0.849","imported"
"APAC","targets","CaseStudy1","0.829","imported"
"FeatureX","located_in","Ads","0.621","docs"
"ProductA","related_to","CaseStudy2","0.824","imported"
"FeatureX","requires","APAC","0.954","imported"
"Enterprise","requires","Security","0.597","heuristic"
"Lead","boosts","APAC","0.188","imported"
"CaseStudy1","requires","Ads","0.642","docs"
"Lead","located_in","Enterprise","0.476","imported"
"Onboarding","preferred_channel","SMS","0.296","docs"
"Onboarding","related_to","FeatureX","0.775","heuristic"
"FeatureY","targets","Email","0.136","imported"
"Security","targets","CaseStudy2","0.471","imported"
"Integration","similar_to","FeatureY","0.243","docs"
"Email","preferred_channel","ROI","0.277","imported"
"Campaign","located_in","SMB","0.935","imported"
"Integration","targets","ROI","0.197","analyst"
"Integration","preferred_channel","APAC","0.968","analyst"
"SMB","preferred_channel","Email","0.897","analyst"
"ProductA","interested_in","Ads","0.219","imported"
"ProductA","preferred_channel","Integration","0.921","docs"
"CaseStudy1","located_in","Integration","0.18","imported"
"FeatureY","preferred_channel","Email","0.318","heuristic"
"EU","requires","SMS","0.585","heuristic"
"Campaign","interested_in","FeatureY","0.717","analyst"
"Enterprise","interested_in","Email","0.478","analyst"
"CaseStudy2","boosts","Lead","0.685","imported"
"Ads","interested_in","ProductA","0.163","docs"
"Security","targets","FeatureX","0.534","heuristic"
"ProductA","boosts","FeatureY","0.861","docs"
"Campaign","targets","SMB","0.654","imported"
"FeatureX","related_to","SMB","0.802","analyst"
"Campaign","preferred_channel","SMS","0.634","imported"
"FeatureY","requires","SMB","0.877","analyst"
"SMS","interested_in","ProductA","0.945","heuristic"
"Security","located_in","CaseStudy1","0.201","analyst"
"EU","requires","Ads","0.762","docs"
"CaseStudy2","similar_to","ProductB","0.344","analyst"
"FeatureX","related_to","ProductA","0.173","imported"
"FeatureX","targets","SMS","0.774","imported"
"ROI","similar_to","Ads","0.806","heuristic"
