"action_id","timestamp","conversation_id","lead_id","action_type","source_agent","source_agent_type","dest_agent_type","handoff_context_json","escalation_reason"
"ACT0000063","2025-08-23T14:03:03","C0004178","L0004179","update_template","LT-002","LeadTriage","Engagement","{""summary"": ""handoff with recent events"", ""confidence"": 0.8}","none"
"ACT0000064","2025-08-15T00:22:28","C0004178","L0004179","update_segment","EN-020","Engagement","Manager","{""summary"": ""handoff with recent events"", ""confidence"": 0.93}","complaint"
"ACT0000065","2025-08-13T14:48:17","C0004178","L0004179","update_template","OP-004","Optimizer","Engagement","{""summary"": ""handoff with recent events"", ""confidence"": 0.8}","legal"
"ACT0000066","2025-08-25T10:10:31","C0004254","L0004255","outreach","EN-019","Engagement","Optimizer","{""summary"": ""handoff with recent events"", ""confidence"": 0.7}","complex_request"
"ACT0000067","2025-08-27T04:55:46","C0004254","L0004255","handoff","EN-014","Engagement","Manager","{""summary"": ""handoff with recent events"", ""confidence"": 0.78}","complex_request"
"ACT0000068","2025-08-28T22:21:12","C0004254","L0004255","optimize","OP-004","Optimizer","Optimizer","{""summary"": ""handoff with recent events"", ""confidence"": 0.85}","complaint"
"ACT0000069","2025-08-28T12:47:11","C0004254","L0004255","update_template","LT-006","LeadTriage","LeadTriage","{""summary"": ""handoff with recent events"", ""confidence"": 0.63}","legal"
"ACT0000070","2025-08-27T12:49:41","C0003614","L0003615","consolidate_memory","LT-009","LeadTriage","LeadTriage","{""summary"": ""handoff with recent events"", ""confidence"": 0.7}","legal"
"ACT0000071","2025-08-24T20:00:46","C0003614","L0003615","triage","EN-007","Engagement","Optimizer","{""summary"": ""handoff with recent events"", ""confidence"": 0.64}","complaint"
"ACT0000072","2025-08-26T04:01:31","C0003614","L0003615","handoff","OP-005","Optimizer","Manager","{""summary"": ""handoff with recent events"", ""confidence"": 0.7}","legal"
"ACT0000073","2025-08-25T04:02:54","C0003614","L0003615","escalate","LT-006","LeadTriage","Engagement","{""summary"": ""handoff with recent events"", ""confidence"": 0.79}","high_value"
"ACT0000074","2025-08-08T14:51:56","C0001505","L0001505","handoff","OP-003","Optimizer","LeadTriage","{""summary"": ""handoff with recent events"", ""confidence"": 0.68}","none"
"ACT0000075","2025-08-18T21:18:53","C0001505","L0001505","update_template","OP-003","Optimizer","Optimizer","{""summary"": ""handoff with recent events"", ""confidence"": 0.86}","none"
"ACT0000076","2025-08-03T11:47:05","C0001505","L0001505","outreach","OP-004","Optimizer","Manager","{""summary"": ""handoff with recent events"", ""confidence"": 0.64}","complex_request"
"ACT0000077","2025-07-08T22:08:09","C0001505","L0001505","triage","OP-003","Optimizer","Engagement","{""summary"": ""handoff with recent events"", ""confidence"": 0.95}","legal"
"ACT0000078","2025-06-09T22:47:44","C0002816","L0002817","triage","LT-010","LeadTriage","Optimizer","{""summary"": ""handoff with recent events"", ""confidence"": 0.82}","high_value"
"ACT0000079","2025-06-19T12:55:02","C0002816","L0002817","handoff","EN-008","Engagement","LeadTriage","{""summary"": ""handoff with recent events"", ""confidence"": 0.72}","complex_request"
"ACT0000080","2025-06-30T00:59:33","C0002816","L0002817","escalate","EN-018","Engagement","Engagement","{""summary"": ""handoff with recent events"", ""confidence"": 0.65}","complaint"
"ACT0000081","2025-08-28T01:45:09","C0003249","L0003250","resume_campaign","EN-013","Engagement","Optimizer","{""summary"": ""handoff with recent events"", ""confidence"": 0.75}","high_value"
"ACT0000082","2025-08-28T04:37:08","C0003249","L0003250","outreach","OP-003","Optimizer","Optimizer","{""summary"": ""handoff with recent events"", ""confidence"": 0.74}","high_value"
"ACT0000083","2025-08-27T01:00:36","C0003249","L0003250","handoff","LT-010","LeadTriage","Engagement","{""summary"": ""handoff with recent events"", ""confidence"": 0.65}","legal"
"ACT0000084","2025-08-04T22:49:37","C0003695","L0003696","handoff","LT-003","LeadTriage","LeadTriage","{""summary"": ""handoff with recent events"", ""confidence"": 0.96}","legal"
"ACT0000085","2025-08-24T07:37:54","C0000394","L0000394","consolidate_memory","OP-003","Optimizer","Manager","{""summary"": ""handoff with recent events"", ""confidence"": 0.88}","legal"
"ACT0000086","2025-07-13T00:52:09","C0000030","L0000030","resume_campaign","EN-014","Engagement","LeadTriage","{""summary"": ""handoff with recent events"", ""confidence"": 0.84}","legal"
"ACT0000087","2025-08-11T07:59:22","C0000030","L0000030","escalate","LT-004","LeadTriage","Engagement","{""summary"": ""handoff with recent events"", ""confidence"": 0.7}","legal"
"ACT0000088","2025-08-18T10:58:59","C0004212","L0004213","update_template","EN-011","Engagement","Engagement","{""summary"": ""handoff with recent events"", ""confidence"": 0.82}","complex_request"
"ACT0000089","2025-08-17T13:56:03","C0004212","L0004213","consolidate_memory","LT-003","LeadTriage","Manager","{""summary"": ""handoff with recent events"", ""confidence"": 0.62}","legal"
"ACT0000090","2025-08-17T04:47:00","C0004212","L0004213","resume_campaign","OP-007","Optimizer","Manager","{""summary"": ""handoff with recent events"", ""confidence"": 0.65}","complex_request"
"ACT0000091","2025-08-24T01:10:23","C0004070","L0004071","escalate","OP-003","Optimizer","Manager","{""summary"": ""handoff with recent events"", ""confidence"": 0.89}","none"
"ACT0000092","2025-08-28T17:03:33","C0003265","L0003266","pause_campaign","LT-001","LeadTriage","Manager","{""summary"": ""handoff with recent events"", ""confidence"": 0.94}","high_value"
"ACT0000093","2025-08-08T14:59:32","C0002487","L0002488","escalate","LT-008","LeadTriage","LeadTriage","{""summary"": ""handoff with recent events"", ""confidence"": 0.67}","complex_request"
"ACT0000094","2025-08-28T09:16:53","C0002487","L0002488","consolidate_memory","EN-012","Engagement","Manager","{""summary"": ""handoff with recent events"", ""confidence"": 0.63}","high_value"
"ACT0000095","2025-08-13T15:51:38","C0002487","L0002488","update_template","OP-007","Optimizer","LeadTriage","{""summary"": ""handoff with recent events"", ""confidence"": 0.66}","none"
"ACT0000096","2025-08-13T11:09:05","C0002228","L0002229","triage","OP-005","Optimizer","LeadTriage","{""summary"": ""handoff with recent events"", ""confidence"": 0.7}","legal"
"ACT0000097","2025-08-14T09:59:28","C0002228","L0002229","optimize","EN-015","Engagement","LeadTriage","{""summary"": ""handoff with recent events"", ""confidence"": 0.89}","legal"
"ACT0000098","2025-08-28T04:53:29","C0004359","L0004360","pause_campaign","EN-013","Engagement","LeadTriage","{""summary"": ""handoff with recent events"", ""confidence"": 0.7}","none"
"ACT0000099","2025-08-28T07:19:35","C0004359","L0004360","pause_campaign","EN-009","Engagement","Optimizer","{""summary"": ""handoff with recent events"", ""confidence"": 0.93}","high_value"
"ACT0000100","2025-08-28T19:53:47","C0004359","L0004360","optimize","OP-003","Optimizer","Engagement","{""summary"": ""handoff with recent events"", ""confidence"": 0.79}","none"
"ACT0000101","2025-07-26T15:56:45","C0000498","L0000498","escalate","EN-009","Engagement","LeadTriage","{""summary"": ""handoff with recent events"", ""confidence"": 0.81}","complex_request"
"ACT0000102","2025-07-23T04:31:17","C0000498","L0000498","escalate","LT-002","LeadTriage","Engagement","{""summary"": ""handoff with recent events"", ""confidence"": 0.92}","legal"
"ACT0000103","2025-07-03T06:19:56","C0000498","L0000498","optimize","LT-002","LeadTriage","Optimizer","{""summary"": ""handoff with recent events"", ""confidence"": 0.93}","legal"
"ACT0000104","2025-07-19T06:11:09","C0000498","L0000498","pause_campaign","LT-001","LeadTriage","Engagement","{""summary"": ""handoff with recent events"", ""confidence"": 0.94}","complaint"
"ACT0000105","2025-07-31T06:17:11","C0002681","L0002682","update_template","OP-005","Optimizer","Optimizer","{""summary"": ""handoff with recent events"", ""confidence"": 0.64}","complex_request"
"ACT0000106","2025-08-25T02:15:10","C0002681","L0002682","triage","OP-005","Optimizer","Manager","{""summary"": ""handoff with recent events"", ""confidence"": 0.77}","complex_request"
"ACT0000107","2025-08-25T04:33:18","C0004878","L0004879","outreach","OP-007","Optimizer","LeadTriage","{""summary"": ""handoff with recent events"", ""confidence"": 0.78}","none"
"ACT0000108","2025-07-31T05:50:14","C0004878","L0004879","update_segment","EN-011","Engagement","Optimizer","{""summary"": ""handoff with recent events"", ""confidence"": 0.8}","high_value"
"ACT0000109","2025-08-25T06:05:18","C0004878","L0004879","update_template","LT-004","LeadTriage","Engagement","{""summary"": ""handoff with recent events"", ""confidence"": 0.95}","high_value"
"ACT0000110","2025-06-10T14:55:03","C0001870","L0001870","pause_campaign","OP-002","Optimizer","Optimizer","{""summary"": ""handoff with recent events"", ""confidence"": 0.72}","complex_request"
"ACT0000111","2025-06-20T09:40:39","C0001870","L0001870","resume_campaign","OP-001","Optimizer","LeadTriage","{""summary"": ""handoff with recent events"", ""confidence"": 0.64}","none"
"ACT0000112","2025-07-23T18:23:39","C0001870","L0001870","optimize","EN-004","Engagement","LeadTriage","{""summary"": ""handoff with recent events"", ""confidence"": 0.66}","high_value"
"ACT0000113","2025-08-03T06:59:54","C0001033","L0001033","escalate","OP-005","Optimizer","Optimizer","{""summary"": ""handoff with recent events"", ""confidence"": 0.92}","high_value"
"ACT0000114","2025-08-14T09:22:22","C0000231","L0000231","triage","OP-005","Optimizer","Engagement","{""summary"": ""handoff with recent events"", ""confidence"": 0.7}","complaint"
"ACT0000115","2025-06-13T06:44:43","C0004754","L0004755","resume_campaign","OP-001","Optimizer","Manager","{""summary"": ""handoff with recent events"", ""confidence"": 0.8}","legal"
"ACT0000116","2025-07-18T00:34:51","C0004754","L0004755","pause_campaign","LT-006","LeadTriage","Optimizer","{""summary"": ""handoff with recent events"", ""confidence"": 0.84}","high_value"
"ACT0000117","2025-08-24T10:02:43","C0004754","L0004755","optimize","LT-010","LeadTriage","LeadTriage","{""summary"": ""handoff with recent events"", ""confidence"": 0.8}","complaint"
"ACT0000118","2025-07-11T06:30:09","C0004958","L0004959","update_segment","EN-004","Engagement","Manager","{""summary"": ""handoff with recent events"", ""confidence"": 0.82}","complex_request"
"ACT0000119","2025-07-09T17:29:04","C0004958","L0004959","optimize","OP-005","Optimizer","LeadTriage","{""summary"": ""handoff with recent events"", ""confidence"": 0.84}","high_value"
"ACT0000120","2025-07-23T09:08:28","C0000066","L0000066","outreach","OP-006","Optimizer","LeadTriage","{""summary"": ""handoff with recent events"", ""confidence"": 0.88}","legal"
"ACT0000121","2025-07-08T07:44:59","C0002158","L0002159","pause_campaign","LT-010","LeadTriage","Optimizer","{""summary"": ""handoff with recent events"", ""confidence"": 0.77}","complex_request"
"ACT0000122","2025-07-01T18:45:15","C0002158","L0002159","update_template","LT-004","LeadTriage","Engagement","{""summary"": ""handoff with recent events"", ""confidence"": 0.92}","none"
"ACT0000123","2025-07-13T16:53:03","C0002158","L0002159","triage","LT-001","LeadTriage","Engagement","{""summary"": ""handoff with recent events"", ""confidence"": 0.72}","legal"
"ACT0000124","2025-07-30T01:34:00","C0001035","L0001035","consolidate_memory","EN-010","Engagement","Manager","{""summary"": ""handoff with recent events"", ""confidence"": 0.97}","legal"
"ACT0000125","2025-07-09T08:32:01","C0000024","L0000024","update_segment","EN-003","Engagement","Optimizer","{""summary"": ""handoff with recent events"", ""confidence"": 0.7}","none"
"ACT0000126","2025-08-28T07:32:09","C0003616","L0003617","escalate","OP-003","Optimizer","Optimizer","{""summary"": ""handoff with recent events"", ""confidence"": 0.73}","none"
"ACT0000127","2025-07-07T15:21:56","C0003616","L0003617","optimize","OP-007","Optimizer","Manager","{""summary"": ""handoff with recent events"", ""confidence"": 0.79}","complaint"
"ACT0000128","2025-08-17T18:47:58","C0002659","L0002660","resume_campaign","OP-001","Optimizer","Manager","{""summary"": ""handoff with recent events"", ""confidence"": 0.72}","complex_request"
"ACT0000129","2025-08-17T08:44:01","C0002659","L0002660","update_segment","OP-001","Optimizer","LeadTriage","{""summary"": ""handoff with recent events"", ""confidence"": 0.84}","complex_request"
"ACT0000130","2025-08-21T15:31:35","C0001520","L0001520","optimize","EN-004","Engagement","Engagement","{""summary"": ""handoff with recent events"", ""confidence"": 0.75}","complaint"
"ACT0000131","2025-07-16T22:12:32","C0001527","L0001527","update_template","OP-005","Optimizer","Manager","{""summary"": ""handoff with recent events"", ""confidence"": 0.85}","complaint"
"ACT0000132","2025-08-14T19:30:57","C0001527","L0001527","triage","EN-014","Engagement","Manager","{""summary"": ""handoff with recent events"", ""confidence"": 0.9}","complaint"
"ACT0000133","2025-07-21T16:37:14","C0001527","L0001527","update_template","EN-008","Engagement","Optimizer","{""summary"": ""handoff with recent events"", ""confidence"": 0.86}","complex_request"
"ACT0000134","2025-08-13T07:27:28","C0003250","L0003251","handoff","LT-006","LeadTriage","Optimizer","{""summary"": ""handoff with recent events"", ""confidence"": 0.95}","high_value"
"ACT0000135","2025-08-28T19:23:33","C0003250","L0003251","optimize","LT-010","LeadTriage","Manager","{""summary"": ""handoff with recent events"", ""confidence"": 0.89}","high_value"
"ACT0000136","2025-08-22T03:11:43","C0002708","L0002709","update_template","LT-001","LeadTriage","Manager","{""summary"": ""handoff with recent events"", ""confidence"": 0.85}","complaint"
"ACT0000137","2025-07-11T07:18:24","C0002708","L0002709","optimize","LT-007","LeadTriage","Manager","{""summary"": ""handoff with recent events"", ""confidence"": 0.93}","complex_request"
"ACT0000138","2025-05-31T09:42:54","C0000107","L0000107","outreach","LT-005","LeadTriage","LeadTriage","{""summary"": ""handoff with recent events"", ""confidence"": 0.71}","legal"
"ACT0000139","2025-08-09T10:23:48","C0000107","L0000107","update_template","LT-005","LeadTriage","Optimizer","{""summary"": ""handoff with recent events"", ""confidence"": 0.74}","none"
"ACT0000140","2025-06-03T21:27:40","C0000107","L0000107","update_template","LT-005","LeadTriage","LeadTriage","{""summary"": ""handoff with recent events"", ""confidence"": 0.6}","high_value"
"ACT0000141","2025-06-18T19:04:23","C0002678","L0002679","handoff","LT-006","LeadTriage","Engagement","{""summary"": ""handoff with recent events"", ""confidence"": 0.61}","high_value"
"ACT0000142","2025-07-06T02:27:54","C0004555","L0004556","escalate","OP-006","Optimizer","Manager","{""summary"": ""handoff with recent events"", ""confidence"": 0.93}","none"
"ACT0000143","2025-07-05T15:57:32","C0002587","L0002588","escalate","LT-010","LeadTriage","Manager","{""summary"": ""handoff with recent events"", ""confidence"": 0.8}","complaint"
"ACT0000144","2025-07-14T09:10:09","C0002587","L0002588","outreach","OP-001","Optimizer","Optimizer","{""summary"": ""handoff with recent events"", ""confidence"": 0.76}","none"
"ACT0000145","2025-08-25T05:19:27","C0002587","L0002588","update_template","LT-007","LeadTriage","Optimizer","{""summary"": ""handoff with recent events"", ""confidence"": 0.79}","legal"
"ACT0000146","2025-07-17T00:15:32","C0000473","L0000473","resume_campaign","OP-002","Optimizer","Engagement","{""summary"": ""handoff with recent events"", ""confidence"": 0.93}","none"
"ACT0000147","2025-08-18T00:45:52","C0000473","L0000473","outreach","OP-001","Optimizer","Optimizer","{""summary"": ""handoff with recent events"", ""confidence"": 0.9}","high_value"
"ACT0000148","2025-07-31T02:02:13","C0000473","L0000473","update_segment","OP-001","Optimizer","Engagement","{""summary"": ""handoff with recent events"", ""confidence"": 0.65}","high_value"
"ACT0000149","2025-07-13T22:48:28","C0000677","L0000677","escalate","EN-012","Engagement","LeadTriage","{""summary"": ""handoff with recent events"", ""confidence"": 0.74}","complex_request"
"ACT0000150","2025-07-27T05:13:55","C0002348","L0002349","pause_campaign","OP-004","Optimizer","Optimizer","{""summary"": ""handoff with recent events"", ""confidence"": 0.62}","legal"
"ACT0000151","2025-08-01T06:27:39","C0002348","L0002349","optimize","LT-003","LeadTriage","Optimizer","{""summary"": ""handoff with recent events"", ""confidence"": 0.62}","none"
"ACT0000152","2025-07-31T04:15:51","C0004673","L0004674","optimize","EN-002","Engagement","Manager","{""summary"": ""handoff with recent events"", ""confidence"": 0.68}","complaint"
"ACT0000153","2025-07-30T21:03:48","C0004673","L0004674","handoff","LT-008","LeadTriage","Engagement","{""summary"": ""handoff with recent events"", ""confidence"": 0.7}","complex_request"
"ACT0000154","2025-08-17T17:29:09","C0004673","L0004674","update_segment","EN-010","Engagement","Optimizer","{""summary"": ""handoff with recent events"", ""confidence"": 0.91}","legal"
"ACT0000155","2025-07-13T19:47:52","C0000374","L0000374","consolidate_memory","EN-019","Engagement","Engagement","{""summary"": ""handoff with recent events"", ""confidence"": 0.85}","high_value"
"ACT0000156","2025-06-16T22:58:29","C0000374","L0000374","triage","OP-003","Optimizer","Manager","{""summary"": ""handoff with recent events"", ""confidence"": 0.76}","complaint"
"ACT0000157","2025-06-22T06:46:10","C0000374","L0000374","triage","LT-009","LeadTriage","Manager","{""summary"": ""handoff with recent events"", ""confidence"": 0.93}","complaint"
"ACT0000158","2025-08-06T07:50:01","C0002608","L0002609","triage","EN-014","Engagement","Optimizer","{""summary"": ""handoff with recent events"", ""confidence"": 0.68}","high_value"
"ACT0000159","2025-08-16T08:36:45","C0002608","L0002609","pause_campaign","LT-001","LeadTriage","LeadTriage","{""summary"": ""handoff with recent events"", ""confidence"": 0.89}","legal"
